property_id,sale_price,bedrooms,bathrooms,floor_area_sqm,garden_sqm,age_years,distance_to_station_km,distance_to_school_km,neighbourhood,sale_date,epc_rating
PROP-00102,284865,3,3,96.0,103.0,34,4.7,1.3,Beechwood,2024-07-10,G
PROP-00103,301099,3,2,74.8,41.6,72,5.0,0.3,Uppermill,2022-12-20,A
PROP-00104,159110,2,1,44.1,0.0,18,0.6,0.6,Kingsway,2022-04-18,G
PROP-00105,257219,3,1,69.8,113.0,11,3.0,2.9,Thornton,2022-11-04,D
PROP-00106,534105,5,1,125.8,108.1,49,0.2,0.9,Uppermill,2023-11-04,C
PROP-00107,327539,3,2,77.4,47.1,41,0.9,0.6,Langford,2023-09-25,C
PROP-00108,357190,4,1,92.9,111.8,62,1.2,0.8,Yarrow,2024-12-14,A
PROP-00109,264724,3,3,64.1,0.0,7,1.9,1.0,Elmswood,2022-12-06,F
PROP-00110,342698,3,1,74.1,68.5,13,2.2,0.7,Riverside,2023-05-05,C
PROP-00111,394506,5,1,109.4,90.6,58,2.4,0.8,Northgate,2022-11-28,C
PROP-00112,376725,4,1,97.0,135.8,32,0.3,1.7,Dunmore,2022-09-13,C
PROP-00113,310372,3,2,83.5,131.1,67,3.3,2.3,Northgate,2022-04-20,D
PROP-00114,341476,3,1,93.5,0.0,106,2.8,1.0,Brindley,2022-10-27,C
PROP-00115,139301,1,1,30,63.1,25,1.5,2.1,Ashworth,2023-06-09,C
PROP-00116,346555,4,2,80.7,0.0,13,0.6,0.2,Northgate,2024-07-25,B
PROP-00117,370605,3,1,99.9,85.7,22,1.5,0.4,Northgate,2023-01-19,E
PROP-00118,142995,3,2,55.2,132.6,61,1.2,0.2,Dunmore,2024-08-20,A
PROP-00119,119012,2,1,30,47.2,39,2.3,1.3,Kingsway,2022-10-01,A
PROP-00120,284097,3,1,61.4,48.2,150,1.1,0.4,Eastmoor,2022-05-10,F
PROP-00121,146697,2,1,44.6,0.0,1,4.2,0.8,Chapel End,2024-08-27,C
PROP-00122,159172,2,2,65.9,0.0,42,0.6,1.5,Northgate,2024-03-30,F
PROP-00123,295098,2,1,74.9,40.0,12,0.2,0.6,Northgate,2023-01-05,D
PROP-00124,249449,2,1,55.1,88.5,50,0.4,0.7,Oakfield,2022-03-28,F
PROP-00125,535978,6,1,122.8,139.4,40,0.8,1.5,Victoria,2022-11-24,A
PROP-00126,252317,2,2,61.8,0.0,60,0.8,0.6,Stoneleigh,2022-03-08,E
PROP-00127,208724,2,1,49.8,0.0,5,0.8,0.5,Ironbridge,2023-05-27,B
PROP-00128,80000,1,1,30,0.0,59,1.9,0.4,Thornton,2023-08-08,F
PROP-00129,554608,5,1,136.1,149.1,91,1.0,0.3,Victoria,2023-10-17,E
PROP-00130,233105,3,3,83.5,71.4,40,2.5,0.8,Drayton,2023-02-16,G
PROP-00131,239061,2,2,79.8,75.2,65,1.3,1.0,Castlegate,2022-05-15,C
PROP-00132,340128,3,1,93.2,73.5,15,0.2,0.7,Queensbury,2023-12-07,C
PROP-00133,399794,5,2,108.9,102.8,22,3.7,0.2,Drayton,2024-11-27,C
PROP-00134,502342,5,1,123.4,94.7,3,0.4,2.7,Ironbridge,2022-09-14,E
PROP-00135,202735,2,2,51.9,69.8,6,1.7,1.2,Thornton,2023-11-23,E
PROP-00136,310568,2,2,68.7,68.4,33,1.5,0.2,Elmswood,2023-08-17,E
PROP-00137,586689,6,1,140.7,94.2,3,0.2,0.7,Parkside,2024-08-09,C
PROP-00138,470596,5,1,122.0,100.8,57,1.2,0.3,Hartley,2024-08-13,B
PROP-00139,290522,2,1,71.2,81.8,38,0.5,1.8,Ferndale,2023-11-02,E
PROP-00140,150526,2,2,51.4,91.3,3,0.8,0.7,Hartley,2023-03-17,E
PROP-00141,170171,3,1,48.0,86.7,25,1.3,1.7,Northgate,2022-10-02,C
PROP-00142,254708,3,1,53.8,95.8,3,1.2,1.4,Ironbridge,2022-09-01,C
PROP-00143,575612,6,1,136.8,108.1,56,0.4,0.8,Queensbury,2022-03-24,A
PROP-00144,412037,4,2,102.7,0.0,89,0.3,2.3,Kingsway,2022-11-29,D
PROP-00145,230038,2,1,59.6,31.5,14,2.6,0.6,Victoria,2022-08-13,D
PROP-00146,272269,3,2,75.5,0.0,25,5.0,1.4,Zelton,2023-04-12,F
PROP-00147,194021,2,1,37.3,63.9,19,2.7,0.4,Stoneleigh,2022-08-14,C
PROP-00148,191506,2,2,62.5,78.8,82,2.1,0.3,Eastmoor,2024-11-28,C
PROP-00149,222509,3,3,64.5,88.3,24,1.2,0.8,Victoria,2023-06-26,E
PROP-00150,242638,2,1,64.7,112.7,48,1.9,0.7,Parkside,2023-12-16,D
PROP-00151,548497,5,2,113.9,127.6,19,5.0,1.6,Zelton,2022-10-27,C
PROP-00152,240816,2,2,70.8,69.7,70,0.6,0.9,Ironbridge,2022-10-09,B
PROP-00153,306299,3,2,80.1,122.2,40,0.2,0.6,Westbury,2024-08-25,B
PROP-00154,546822,6,3,125.6,0.0,42,3.3,0.7,Uppermill,2023-02-13,G
PROP-00155,263509,3,3,76.0,0.0,34,1.2,1.2,Foxhall,2022-03-18,C
PROP-00156,439032,5,1,129.1,118.8,55,3.2,0.5,Beechwood,2022-01-19,C
PROP-00157,310648,3,1,91.2,82.8,31,1.1,2.4,Dunmore,2024-10-29,D
PROP-00158,372007,2,2,88.0,69.2,16,0.6,1.1,Gladstone,2022-12-26,E
PROP-00159,440129,5,3,123.4,0.0,44,0.4,0.3,Kingsway,2023-05-24,A
PROP-00160,206657,2,1,61.9,8.0,51,0.1,1.0,Westbury,2023-04-29,A
PROP-00161,153427,2,2,46.4,102.6,46,1.6,2.5,Langford,2023-03-29,C
PROP-00162,363717,6,1,89.8,150.9,48,3.8,1.3,Brindley,2023-03-24,G
PROP-00163,530745,5,1,140.1,112.1,33,0.2,0.8,Queensbury,2023-02-19,E
PROP-00164,376199,3,1,88.9,63.6,50,1.1,2.0,Oakfield,2022-04-24,D
PROP-00165,349461,3,2,90.5,83.1,11,0.1,0.4,Castlegate,2022-04-03,D
PROP-00166,417165,2,1,96.0,0.0,108,0.1,0.6,Zelton,2022-10-05,G
PROP-00167,329678,3,2,93.2,79.5,23,3.8,0.6,Castlegate,2022-09-30,E
PROP-00168,460711,6,1,127.2,0.0,150,2.8,1.3,Jubilee,2024-08-06,E
PROP-00169,274843,3,1,63.5,94.1,83,2.3,0.2,Victoria,2024-05-08,E
PROP-00170,376818,4,3,107.1,0.0,1,1.5,1.2,Beechwood,2023-05-17,F
PROP-00171,80000,1,1,30,44.6,6,5.0,0.4,Foxhall,2023-10-16,E
PROP-00172,124464,2,1,48.1,0.0,43,0.5,0.5,Beechwood,2022-12-25,E
PROP-00173,145033,1,1,30,32.6,47,0.9,0.5,Ferndale,2024-08-27,C
PROP-00174,356274,4,1,89.8,56.3,33,5.0,0.9,Eastmoor,2024-03-06,C
PROP-00175,228082,2,1,74.4,24.2,2,0.8,0.9,Beechwood,2022-05-30,C
PROP-00176,478781,4,2,92.0,84.6,95,0.6,2.1,Gladstone,2023-01-25,F
PROP-00177,507920,3,1,118.7,100.7,32,2.3,0.6,Riverside,2024-01-06,C
PROP-00178,247755,2,2,54.2,70.2,25,2.8,2.2,Langford,2023-10-03,D
PROP-00179,440846,4,1,105.5,65.5,13,0.4,0.4,Stoneleigh,2023-05-19,D
PROP-00180,245665,3,3,65.7,121.2,51,2.1,0.7,Yarrow,2023-12-23,C
PROP-00181,232406,2,2,75.5,99.4,73,0.2,1.6,Beechwood,2022-01-14,D
PROP-00182,279490,2,2,68.8,75.9,24,0.2,1.0,Foxhall,2024-09-16,E
PROP-00183,360169,3,1,79.1,74.3,0,2.6,1.1,Brindley,2023-01-03,B
PROP-00184,427572,5,2,116.2,149.7,17,2.5,0.3,Millbrook,2024-07-29,E
PROP-00185,255719,2,2,84.2,0.0,150,1.7,0.2,Millbrook,2024-02-16,D
PROP-00186,120151,1,1,41.3,14.9,33,3.0,0.3,Queensbury,2022-03-29,C
PROP-00187,268905,2,2,74.0,0.0,3,4.0,2.0,Stoneleigh,2022-03-09,C
PROP-00188,569357,5,1,134.4,107.0,49,0.9,0.3,Ferndale,2023-05-08,E
PROP-00189,440000,5,1,102.2,162.6,51,1.1,3.0,Beechwood,2022-07-20,D
PROP-00190,176134,2,1,44.7,48.8,138,0.7,1.0,Brindley,2024-07-11,D
PROP-00191,407823,3,1,97.9,53.6,14,0.5,0.3,Ironbridge,2022-11-12,D
PROP-00192,361171,4,2,96.1,0.0,0,0.7,0.6,Ironbridge,2022-07-29,C
PROP-00193,146858,2,1,44.2,0.0,3,1.3,0.9,Brindley,2023-10-27,D
PROP-00194,211871,1,1,47.4,15.5,150,0.5,0.8,Victoria,2024-02-19,C
PROP-00195,401085,3,1,88.7,59.7,3,0.5,0.4,Uppermill,2024-10-12,E
PROP-00196,348214,3,1,80.2,87.2,73,0.8,1.8,Oakfield,2023-11-17,D
PROP-00197,379415,6,1,105.8,145.8,15,5.0,3.0,Jubilee,2024-10-02,E
PROP-00198,381267,4,1,92.0,143.1,107,0.4,3.0,Ferndale,2022-02-25,F
PROP-00199,256729,3,1,84.6,103.7,21,1.1,1.0,Hartley,2023-06-02,E
PROP-00200,218708,2,1,49.3,89.1,34,1.2,2.3,Dunmore,2024-05-06,D
PROP-00201,370716,4,2,106.0,110.3,11,1.7,0.3,Thornton,2022-04-01,E
PROP-00202,438488,6,2,112.8,154.6,22,0.1,0.4,Queensbury,2024-11-28,D
PROP-00203,244572,3,1,69.5,60.0,16,0.1,0.3,Northgate,2022-06-25,B
PROP-00204,344413,4,2,89.0,118.7,29,0.7,0.3,Yarrow,2024-07-15,D
PROP-00205,449000,4,1,98.9,134.7,106,2.1,0.8,Riverside,2022-11-24,D
PROP-00206,288211,3,3,80.7,0.0,40,0.9,0.2,Thornton,2023-02-09,D
PROP-00207,250386,3,1,76.1,68.7,66,0.2,0.3,Dunmore,2023-01-18,D
PROP-00208,215013,2,2,75.7,48.4,37,1.4,0.5,Dunmore,2024-07-26,E
PROP-00209,229449,2,2,71.5,16.8,44,0.7,0.4,Drayton,2023-01-10,D
PROP-00210,291189,3,1,62.2,99.0,47,1.7,3.0,Riverside,2022-12-08,D
PROP-00211,199179,2,1,72.4,40.9,121,1.1,0.4,Millbrook,2024-11-01,E
PROP-00212,328823,3,2,79.7,90.4,57,0.6,0.5,Riverside,2023-08-15,C
PROP-00213,398207,4,2,99.5,71.1,34,0.6,0.8,Langford,2022-03-27,G
PROP-00214,434027,6,1,114.5,130.2,150,1.0,0.5,Chapel End,2022-06-28,D
PROP-00215,447848,5,1,118.9,99.1,46,3.1,1.0,Northgate,2022-12-06,E
PROP-00216,281703,2,1,68.8,64.0,15,1.9,0.5,Ironbridge,2024-11-19,E
PROP-00217,381399,4,1,97.0,0.0,12,1.7,1.2,Eastmoor,2023-05-27,C
PROP-00218,426582,4,2,98.6,62.6,34,0.6,0.6,Oakfield,2022-06-04,E
PROP-00219,169609,3,2,54.3,104.7,26,1.4,1.8,Dunmore,2022-07-10,F
PROP-00220,501860,6,2,123.5,83.9,20,5.0,1.6,Parkside,2023-07-04,D
PROP-00221,329778,3,2,67.0,64.0,1,0.3,1.4,Oakfield,2022-02-03,B
PROP-00222,277357,5,1,70.2,135.9,150,3.7,1.9,Jubilee,2022-11-22,C
PROP-00223,242025,2,2,68.8,103.2,51,2.2,0.6,Castlegate,2022-07-14,A
PROP-00224,156505,2,1,45.9,53.2,0,0.7,0.3,Dunmore,2024-05-14,F
PROP-00225,366388,3,2,83.2,0.0,15,3.3,0.3,Zelton,2022-09-30,E
PROP-00226,349204,3,1,78.6,47.8,39,0.3,0.6,Victoria,2024-06-25,C
PROP-00227,206446,2,1,61.3,36.6,132,0.7,0.3,Ironbridge,2022-06-22,C
PROP-00228,231881,3,2,72.3,106.1,14,1.2,0.8,Yarrow,2024-03-13,C
PROP-00229,370640,3,2,82.0,67.2,11,1.6,0.3,Elmswood,2022-01-25,D
PROP-00230,401876,5,2,111.8,97.7,123,2.3,0.2,Castlegate,2022-01-29,C
PROP-00231,190521,2,2,75.3,62.0,49,2.3,0.6,Millbrook,2022-06-18,E
PROP-00232,225717,2,1,56.3,83.2,30,0.8,1.0,Chapel End,2022-05-16,C
PROP-00233,265483,3,2,82.0,0.0,22,1.0,1.0,Jubilee,2022-12-26,B
PROP-00234,209438,1,1,60.5,57.1,29,2.7,0.4,Langford,2022-09-17,F
PROP-00235,380431,5,2,103.4,0.0,65,0.6,0.3,Westbury,2022-06-07,D
PROP-00236,304499,3,2,82.9,84.6,34,2.0,0.4,Queensbury,2022-01-06,A
PROP-00237,469380,5,1,128.7,121.8,7,4.9,0.2,Brindley,2024-05-08,C
PROP-00238,446140,4,1,111.0,0.0,18,1.1,2.1,Ferndale,2023-04-03,G
PROP-00239,251619,3,3,78.5,88.2,3,1.0,0.6,Jubilee,2023-09-15,F
PROP-00240,210265,3,1,64.3,69.1,8,3.6,1.3,Hartley,2022-11-05,A
PROP-00241,264090,3,2,77.6,107.5,56,0.8,1.3,Jubilee,2022-08-01,C
PROP-00242,327503,3,1,73.7,85.4,49,0.2,2.2,Elmswood,2024-11-30,D
PROP-00243,508625,6,1,119.2,0.0,5,2.7,0.3,Stoneleigh,2022-05-08,D
PROP-00244,280641,2,2,54.2,33.1,15,1.0,0.4,Gladstone,2022-10-06,G
PROP-00245,462728,4,1,109.9,116.8,5,0.8,1.4,Oakfield,2023-09-24,D
PROP-00246,208426,2,2,68.5,67.6,72,0.7,0.3,Hartley,2023-12-30,D
PROP-00247,334334,3,2,76.1,0.0,20,1.0,1.3,Hartley,2022-07-13,D
PROP-00248,231523,2,2,64.9,76.2,10,0.4,0.6,Victoria,2022-06-22,E
PROP-00249,140422,2,2,43.7,0.0,41,2.6,0.3,Dunmore,2023-11-11,B
PROP-00250,274637,2,2,65.4,65.2,45,0.4,0.4,Ferndale,2023-07-18,C
PROP-00251,229324,3,1,63.3,62.2,27,3.3,0.7,Castlegate,2023-07-27,D
PROP-00252,464627,5,2,122.6,129.3,150,2.4,0.6,Riverside,2024-09-19,D
PROP-00253,366830,5,2,107.8,125.2,9,3.5,1.4,Beechwood,2024-08-24,D
PROP-00254,265247,2,1,76.5,71.7,62,2.1,1.4,Hartley,2024-03-06,D
PROP-00255,445868,5,3,120.1,131.3,53,0.8,0.9,Westbury,2023-12-22,E
PROP-00256,175043,2,2,53.5,48.5,26,0.2,0.4,Hartley,2022-02-10,D
PROP-00257,138625,3,1,58.5,55.2,7,2.5,1.8,Beechwood,2022-02-14,C
PROP-00258,298538,4,2,79.7,123.4,113,0.9,0.3,Jubilee,2023-10-23,C
PROP-00259,493902,6,2,113.2,143.8,15,1.9,0.9,Elmswood,2024-01-01,C
PROP-00260,273388,3,2,55.3,85.7,48,1.4,1.7,Zelton,2022-03-08,C
PROP-00261,356002,3,3,89.4,81.4,110,0.3,1.3,Hartley,2023-12-12,D
PROP-00262,315780,2,2,88.2,90.6,12,0.5,0.3,Ironbridge,2022-08-10,F
PROP-00263,134797,1,1,38.7,0,27,0.8,0.8,Drayton,2024-09-08,G
PROP-00264,228494,3,1,62.6,0.0,74,0.6,0.5,Drayton,2022-06-01,D
PROP-00265,489817,4,2,109.8,128.0,38,1.1,0.2,Uppermill,2022-12-04,E
PROP-00266,483069,5,1,123.2,0.0,47,2.0,1.2,Ironbridge,2023-07-31,C
PROP-00267,141559,2,1,35.2,0.0,17,0.9,0.5,Victoria,2024-09-10,C
PROP-00268,151354,2,1,34.4,17.6,4,2.4,0.7,Elmswood,2023-06-27,B
PROP-00269,270644,3,1,67.4,0.0,1,1.0,0.4,Chapel End,2023-07-05,E
PROP-00270,281599,3,1,88.5,20.8,35,1.3,1.7,Chapel End,2024-12-06,D
PROP-00271,609119,6,2,151.0,117.3,14,0.9,1.7,Beechwood,2024-10-25,E
PROP-00272,300756,3,2,63.2,0.0,56,0.4,3.0,Gladstone,2023-01-30,C
PROP-00273,323042,3,1,80.6,105.1,15,2.0,1.5,Castlegate,2024-03-05,D
PROP-00274,287224,3,1,76.3,112.3,61,1.6,0.8,Northgate,2022-08-19,D
PROP-00275,312887,3,3,94.7,0.0,4,2.4,1.4,Dunmore,2023-12-06,D
PROP-00276,351703,3,1,100.8,0.0,20,1.5,1.1,Millbrook,2022-03-21,D
PROP-00277,203847,2,2,52.4,74.0,68,0.6,0.5,Parkside,2022-07-21,C
PROP-00278,151511,2,2,34.7,86.4,21,1.7,0.4,Gladstone,2024-04-13,F
PROP-00279,363395,3,1,80.8,121.0,20,2.4,0.8,Stoneleigh,2022-03-01,C
PROP-00280,148444,2,2,66.9,53.8,100,1.9,0.5,Chapel End,2024-08-08,D
PROP-00281,360740,3,1,99.5,25.0,25,1.3,0.5,Chapel End,2023-06-14,F
PROP-00282,351392,4,1,101.7,101.4,60,0.5,0.4,Hartley,2023-02-28,C
PROP-00283,367648,5,3,100.3,101.9,7,2.5,0.4,Thornton,2023-09-18,F
PROP-00284,497497,6,2,120.1,141.2,11,1.0,1.1,Chapel End,2024-03-24,E
PROP-00285,325353,3,2,89.8,64.4,14,0.3,0.3,Ironbridge,2023-10-28,C
PROP-00286,209026,2,2,70.9,0.0,58,3.5,1.5,Brindley,2024-04-07,E
PROP-00287,314210,2,1,78.4,74.7,94,0.9,1.3,Stoneleigh,2023-01-24,D
PROP-00288,245285,3,2,68.5,71.0,74,2.9,1.9,Ferndale,2023-08-25,B
PROP-00289,252855,3,2,76.0,53.4,117,3.5,1.1,Hartley,2023-12-29,C
PROP-00290,331163,4,1,84.2,86.7,25,3.1,0.9,Thornton,2022-05-26,D
PROP-00291,589323,5,2,124.9,96.9,2,3.0,0.3,Gladstone,2023-12-03,D
PROP-00292,478778,6,1,130.5,134.3,16,5.0,0.5,Beechwood,2022-01-10,D
PROP-00293,289845,2,2,73.5,107.1,57,0.2,1.0,Uppermill,2024-05-29,D
PROP-00294,178784,1,1,50.4,105.2,56,1.2,0.2,Ashworth,2023-05-25,C
PROP-00295,267240,3,1,89.2,102.8,7,2.7,0.5,Jubilee,2024-07-22,F
PROP-00296,327766,3,2,76.7,0.0,150,1.1,1.3,Ferndale,2024-04-06,A
