station_id,station_name,country,latitude,longitude,elevation_m,avg_temp_c,avg_humidity_pct,avg_wind_speed_ms,measurement_date
WS024,Bratislava Danube,Slovakia,48.1486,17.1077,134,2.4,84.4,3.4,2023-02-06
WS025,Réval Harbour,Estonia,59.437,24.7536,9,-8.3,58.5,7.1,2023-02-06
WS001,Zürich Central,Switzerland,47.3769,8.5417,408,1.9,35.6,3.9,2023-02-24
WS002,São Paulo Paulista,Brazil,-23.5505,-46.6333,760,30.0,96.9,5.4,2023-02-24
WS003,Malmö Harbour,Sweden,55.605,13.0038,12,-1.3,46.4,1.9,2023-02-24
WS004,London Heathrow,United Kingdom,51.47,-0.4543,25,-0.7,72.5,5.5,2023-02-24
WS005,Düsseldorf Rhine,Germany,51.2277,6.7735,38,-2.2,47.7,2.1,2023-02-24
WS006,Montréal Centre,Canada,45.5017,-73.5673,36,-2.3,74.7,0,2023-02-24
WS007,Göteborg Coast,Sweden,57.7089,11.9746,5,-3.9,71.7,7.8,2023-02-24
WS008,Jyväskylä Lake,Finland,62.2415,25.7209,78,-4.2,80.0,3.0,2023-02-24
WS009,Córdoba Sierra,Spain,37.8882,-4.7794,106,1.5,54.9,7.8,2023-02-24
WS010,Brně South,Czech Republic,49.1951,16.6068,237,2.9,72.3,12.3,2023-02-24
WS011,Würzburg Valley,Germany,49.7913,9.9534,177,-0.4,74.3,4.8,2023-02-24
WS012,Strasbourg Est,France,48.5734,7.7521,142,-0.5,99.7,7.8,2023-02-24
WS013,Kraków Old Town,Poland,50.0647,19.945,219,-4.5,59.0,5.1,2023-02-24
WS014,Reykjavik Port,Iceland,64.1466,-21.9426,14,-2.7,44.8,0,2023-02-24
WS015,Tromso Arctic,Norway,69.6492,18.9553,10,-12.6,63.9,3.7,2023-02-24
WS016,Oulu North,Finland,65.0121,25.4651,15,-4.3,53.5,0.9,2023-02-24
WS017,Cluj-Napoca Centre,Romania,46.7712,23.6236,405,-5.3,69.9,4.9,2023-02-24
WS018,Pôrto Atlantic,Portugal,41.1579,-8.6291,85,5.6,76.9,3.5,2023-02-24
WS019,Thessaloniki Bay,Greece,40.6401,22.9444,5,6.8,63.0,2.3,2023-02-24
WS020,Izmir Coastal,Turkey,38.4192,27.1287,2,2.0,56.2,0,2023-02-24
WS021,Gdansk Baltic,Poland,54.352,18.6466,7,-1.3,68.7,3.1,2023-02-24
WS022,Bergen Fjørd,Norway,60.3913,5.3221,12,-5.9,70.6,8.3,2023-02-24
WS023,Ljubljana Basin,Slovenia,46.0569,14.5058,295,1.1,57.4,2.5,2023-02-24
WS024,Bratislava Danube,Slovakia,48.1486,17.1077,134,0.1,46.0,3.7,2023-02-24
WS025,Réval Harbour,Estonia,59.437,24.7536,9,-3.3,92.7,6.4,2023-02-24
WS001,Zürich Central,Switzerland,47.3769,8.5417,408,7.3,54.3,5.7,2023-03-14
WS002,São Paulo Paulista,Brazil,-23.5505,-46.6333,760,18.7,69.7,5.0,2023-03-14
WS003,Malmö Harbour,Sweden,55.605,13.0038,12,-0.8,95.0,5.4,2023-03-14
WS004,London Heathrow,United Kingdom,51.47,-0.4543,25,-2.9,73.3,3.0,2023-03-14
WS005,Düsseldorf Rhine,Germany,51.2277,6.7735,38,2.9,72.0,5.0,2023-03-14
WS006,Montréal Centre,Canada,45.5017,-73.5673,36,-1.3,47.6,5.9,2023-03-14
WS007,Göteborg Coast,Sweden,57.7089,11.9746,5,4.7,93.5,8.5,2023-03-14
WS008,Jyväskylä Lake,Finland,62.2415,25.7209,78,-6.9,76.5,0,2023-03-14
WS009,Córdoba Sierra,Spain,37.8882,-4.7794,106,12.2,68.8,1.1,2023-03-14
WS010,Brně South,Czech Republic,49.1951,16.6068,237,9.6,74.7,0,2023-03-14
WS011,Würzburg Valley,Germany,49.7913,9.9534,177,4.3,54.0,4.3,2023-03-14
WS012,Strasbourg Est,France,48.5734,7.7521,142,2.4,85.6,0.4,2023-03-14
WS013,Kraków Old Town,Poland,50.0647,19.945,219,4.3,92.2,1.9,2023-03-14
WS014,Reykjavik Port,Iceland,64.1466,-21.9426,14,-0.8,68.0,2.3,2023-03-14
WS015,Tromso Arctic,Norway,69.6492,18.9553,10,-1.3,66.5,1.6,2023-03-14
WS016,Oulu North,Finland,65.0121,25.4651,15,3.6,76.9,3.6,2023-03-14
WS017,Cluj-Napoca Centre,Romania,46.7712,23.6236,405,2.5,53.2,7.1,2023-03-14
WS018,Pôrto Atlantic,Portugal,41.1579,-8.6291,85,5.8,71.9,3.5,2023-03-14
WS019,Thessaloniki Bay,Greece,40.6401,22.9444,5,8.3,63.3,5.9,2023-03-14
WS020,Izmir Coastal,Turkey,38.4192,27.1287,2,6.6,77.4,5.7,2023-03-14
WS021,Gdansk Baltic,Poland,54.352,18.6466,7,1.5,52.1,1.6,2023-03-14
WS022,Bergen Fjørd,Norway,60.3913,5.3221,12,-2.4,50.2,6.2,2023-03-14
WS023,Ljubljana Basin,Slovenia,46.0569,14.5058,295,4.5,88.6,9.7,2023-03-14
WS024,Bratislava Danube,Slovakia,48.1486,17.1077,134,4.0,41.8,3.0,2023-03-14
WS025,Réval Harbour,Estonia,59.437,24.7536,9,-0.0,42.7,3.4,2023-03-14
WS001,Zürich Central,Switzerland,47.3769,8.5417,408,10.1,58.1,2.1,2023-04-01
WS002,São Paulo Paulista,Brazil,-23.5505,-46.6333,760,14.9,91.8,3.6,2023-04-01
WS003,Malmö Harbour,Sweden,55.605,13.0038,12,4.0,59.4,6.4,2023-04-01
WS004,London Heathrow,United Kingdom,51.47,-0.4543,25,5.8,72.2,5.8,2023-04-01
WS005,Düsseldorf Rhine,Germany,51.2277,6.7735,38,10.2,86.0,2.6,2023-04-01
WS006,Montréal Centre,Canada,45.5017,-73.5673,36,13.2,53.1,3.0,2023-04-01
WS007,Göteborg Coast,Sweden,57.7089,11.9746,5,9.4,77.3,4.0,2023-04-01
WS008,Jyväskylä Lake,Finland,62.2415,25.7209,78,0.7,73.4,2.4,2023-04-01
WS009,Córdoba Sierra,Spain,37.8882,-4.7794,106,9.6,55.3,4.6,2023-04-01
WS010,Brně South,Czech Republic,49.1951,16.6068,237,2.2,70.4,4.4,2023-04-01
WS011,Würzburg Valley,Germany,49.7913,9.9534,177,6.6,80.6,5.5,2023-04-01
WS012,Strasbourg Est,France,48.5734,7.7521,142,7.0,54.9,5.7,2023-04-01
WS013,Kraków Old Town,Poland,50.0647,19.945,219,3.8,60.0,2.4,2023-04-01
WS014,Reykjavik Port,Iceland,64.1466,-21.9426,14,3.8,68.2,4.1,2023-04-01
WS015,Tromso Arctic,Norway,69.6492,18.9553,10,5.2,68.4,3.2,2023-04-01
WS016,Oulu North,Finland,65.0121,25.4651,15,-0.3,75.8,5.3,2023-04-01
WS017,Cluj-Napoca Centre,Romania,46.7712,23.6236,405,13.8,53.8,4.1,2023-04-01
WS018,Pôrto Atlantic,Portugal,41.1579,-8.6291,85,11.1,63.7,4.0,2023-04-01
WS019,Thessaloniki Bay,Greece,40.6401,22.9444,5,6.3,77.4,5.6,2023-04-01
WS020,Izmir Coastal,Turkey,38.4192,27.1287,2,15.6,98.7,3.2,2023-04-01
WS021,Gdansk Baltic,Poland,54.352,18.6466,7,6.8,65.1,8.9,2023-04-01
WS022,Bergen Fjørd,Norway,60.3913,5.3221,12,-0.3,72.3,0.3,2023-04-01
WS023,Ljubljana Basin,Slovenia,46.0569,14.5058,295,1.9,34.7,0.5,2023-04-01
WS024,Bratislava Danube,Slovakia,48.1486,17.1077,134,12.2,52.0,3.4,2023-04-01
WS025,Réval Harbour,Estonia,59.437,24.7536,9,1.7,74.2,1.2,2023-04-01
WS001,Zürich Central,Switzerland,47.3769,8.5417,408,13.2,50.1,2.1,2023-04-19
WS002,São Paulo Paulista,Brazil,-23.5505,-46.6333,760,17.5,65.4,7.6,2023-04-19
WS003,Malmö Harbour,Sweden,55.605,13.0038,12,6.8,46.9,2.6,2023-04-19
WS004,London Heathrow,United Kingdom,51.47,-0.4543,25,6.1,75.9,5.0,2023-04-19
WS005,Düsseldorf Rhine,Germany,51.2277,6.7735,38,7.6,78.0,2.7,2023-04-19
WS006,Montréal Centre,Canada,45.5017,-73.5673,36,9.4,67.7,7.8,2023-04-19
WS007,Göteborg Coast,Sweden,57.7089,11.9746,5,5.5,59.7,1.4,2023-04-19
WS008,Jyväskylä Lake,Finland,62.2415,25.7209,78,6.3,56.2,4.9,2023-04-19
WS009,Córdoba Sierra,Spain,37.8882,-4.7794,106,6.7,80.6,0.7,2023-04-19
WS010,Brně South,Czech Republic,49.1951,16.6068,237,6.3,80.9,0.7,2023-04-19
WS011,Würzburg Valley,Germany,49.7913,9.9534,177,8.2,66.1,1.5,2023-04-19
WS012,Strasbourg Est,France,48.5734,7.7521,142,12.8,87.5,0,2023-04-19
WS013,Kraków Old Town,Poland,50.0647,19.945,219,4.0,77.1,0.7,2023-04-19
WS014,Reykjavik Port,Iceland,64.1466,-21.9426,14,2.5,66.9,5.7,2023-04-19
WS015,Tromso Arctic,Norway,69.6492,18.9553,10,1.1,66.4,2.1,2023-04-19
WS016,Oulu North,Finland,65.0121,25.4651,15,7.2,57.6,4.8,2023-04-19
WS017,Cluj-Napoca Centre,Romania,46.7712,23.6236,405,7.9,66.6,3.6,2023-04-19
WS018,Pôrto Atlantic,Portugal,41.1579,-8.6291,85,10.8,49.8,6.0,2023-04-19
WS019,Thessaloniki Bay,Greece,40.6401,22.9444,5,15.7,68.6,5.8,2023-04-19
WS020,Izmir Coastal,Turkey,38.4192,27.1287,2,14.7,78.9,4.8,2023-04-19
WS021,Gdansk Baltic,Poland,54.352,18.6466,7,7.5,78.0,4.2,2023-04-19
WS022,Bergen Fjørd,Norway,60.3913,5.3221,12,1.9,65.4,0,2023-04-19
WS023,Ljubljana Basin,Slovenia,46.0569,14.5058,295,9.6,71.2,7.1,2023-04-19
WS024,Bratislava Danube,Slovakia,48.1486,17.1077,134,9.4,78.9,4.0,2023-04-19
WS025,Réval Harbour,Estonia,59.437,24.7536,9,2.1,43.8,1.6,2023-04-19
WS001,Zürich Central,Switzerland,47.3769,8.5417,408,10.1,74.5,3.5,2023-05-07
WS002,São Paulo Paulista,Brazil,-23.5505,-46.6333,760,13.9,66.1,6.6,2023-05-07
WS003,Malmö Harbour,Sweden,55.605,13.0038,12,14.6,55.3,3.3,2023-05-07
WS004,London Heathrow,United Kingdom,51.47,-0.4543,25,11.2,40.7,5.7,2023-05-07
WS005,Düsseldorf Rhine,Germany,51.2277,6.7735,38,16.5,64.9,2.8,2023-05-07
WS006,Montréal Centre,Canada,45.5017,-73.5673,36,18.1,29.8,4.4,2023-05-07
WS007,Göteborg Coast,Sweden,57.7089,11.9746,5,11.2,56.4,7.5,2023-05-07
WS008,Jyväskylä Lake,Finland,62.2415,25.7209,78,12.2,61.1,3.8,2023-05-07
WS009,Córdoba Sierra,Spain,37.8882,-4.7794,106,16.2,57.3,0.7,2023-05-07
WS010,Brně South,Czech Republic,49.1951,16.6068,237,17.7,80.4,6.0,2023-05-07
WS011,Würzburg Valley,Germany,49.7913,9.9534,177,10.1,96.2,9.0,2023-05-07
WS012,Strasbourg Est,France,48.5734,7.7521,142,14.4,51.4,1.8,2023-05-07
WS013,Kraków Old Town,Poland,50.0647,19.945,219,14.6,51.3,3.9,2023-05-07
WS014,Reykjavik Port,Iceland,64.1466,-21.9426,14,11.9,42.4,9.0,2023-05-07
WS015,Tromso Arctic,Norway,69.6492,18.9553,10,11.5,46.4,0.5,2023-05-07
WS016,Oulu North,Finland,65.0121,25.4651,15,7.5,49.5,3.3,2023-05-07
WS017,Cluj-Napoca Centre,Romania,46.7712,23.6236,405,6.7,61.6,8.5,2023-05-07
WS018,Pôrto Atlantic,Portugal,41.1579,-8.6291,85,12.9,60.9,0.3,2023-05-07
WS019,Thessaloniki Bay,Greece,40.6401,22.9444,5,18.4,61.6,8.9,2023-05-07
WS020,Izmir Coastal,Turkey,38.4192,27.1287,2,17.8,59.4,5.4,2023-05-07
WS021,Gdansk Baltic,Poland,54.352,18.6466,7,10.4,44.9,4.8,2023-05-07
WS022,Bergen Fjørd,Norway,60.3913,5.3221,12,9.3,67.5,4.9,2023-05-07
WS023,Ljubljana Basin,Slovenia,46.0569,14.5058,295,13.1,71.3,8.3,2023-05-07
WS024,Bratislava Danube,Slovakia,48.1486,17.1077,134,10.6,91.1,3.4,2023-05-07
WS025,Réval Harbour,Estonia,59.437,24.7536,9,7.9,100,4.4,2023-05-07
WS001,Zürich Central,Switzerland,47.3769,8.5417,408,18.3,77.3,0,2023-05-25
WS002,São Paulo Paulista,Brazil,-23.5505,-46.6333,760,12.5,57.1,0.6,2023-05-25
WS003,Malmö Harbour,Sweden,55.605,13.0038,12,6.1,66.5,5.5,2023-05-25
WS004,London Heathrow,United Kingdom,51.47,-0.4543,25,14.0,60.4,2.0,2023-05-25
WS005,Düsseldorf Rhine,Germany,51.2277,6.7735,38,10.0,56.7,1.4,2023-05-25
WS006,Montréal Centre,Canada,45.5017,-73.5673,36,14.2,64.7,1.8,2023-05-25
WS007,Göteborg Coast,Sweden,57.7089,11.9746,5,10.1,53.6,4.0,2023-05-25
WS008,Jyväskylä Lake,Finland,62.2415,25.7209,78,10.8,67.7,5.2,2023-05-25
WS009,Córdoba Sierra,Spain,37.8882,-4.7794,106,12.4,59.3,4.7,2023-05-25
WS010,Brně South,Czech Republic,49.1951,16.6068,237,15.5,41.0,4.4,2023-05-25
WS011,Würzburg Valley,Germany,49.7913,9.9534,177,17.0,62.3,3.8,2023-05-25
WS012,Strasbourg Est,France,48.5734,7.7521,142,15.2,68.7,5.7,2023-05-25
WS013,Kraków Old Town,Poland,50.0647,19.945,219,13.5,67.3,2.0,2023-05-25
WS014,Reykjavik Port,Iceland,64.1466,-21.9426,14,8.1,83.8,3.5,2023-05-25
WS015,Tromso Arctic,Norway,69.6492,18.9553,10,6.3,57.6,6.0,2023-05-25
WS016,Oulu North,Finland,65.0121,25.4651,15,5.8,78.7,1.7,2023-05-25
WS017,Cluj-Napoca Centre,Romania,46.7712,23.6236,405,11.2,68.1,4.3,2023-05-25
WS018,Pôrto Atlantic,Portugal,41.1579,-8.6291,85,17.2,80.9,3.0,2023-05-25
WS019,Thessaloniki Bay,Greece,40.6401,22.9444,5,17.8,51.4,7.1,2023-05-25
WS020,Izmir Coastal,Turkey,38.4192,27.1287,2,19.1,73.0,4.5,2023-05-25
WS021,Gdansk Baltic,Poland,54.352,18.6466,7,9.5,60.1,5.3,2023-05-25
WS022,Bergen Fjørd,Norway,60.3913,5.3221,12,9.8,66.9,0.6,2023-05-25
WS023,Ljubljana Basin,Slovenia,46.0569,14.5058,295,15.2,54.6,1.3,2023-05-25
WS024,Bratislava Danube,Slovakia,48.1486,17.1077,134,13.5,37.2,5.7,2023-05-25
WS025,Réval Harbour,Estonia,59.437,24.7536,9,12.7,64.2,1.5,2023-05-25
WS001,Zürich Central,Switzerland,47.3769,8.5417,408,15.0,62.7,0,2023-06-12
WS002,São Paulo Paulista,Brazil,-23.5505,-46.6333,760,9.0,75.0,3.2,2023-06-12
WS003,Malmö Harbour,Sweden,55.605,13.0038,12,13.6,67.7,4.9,2023-06-12
WS004,London Heathrow,United Kingdom,51.47,-0.4543,25,19.8,65.3,2.3,2023-06-12
WS005,Düsseldorf Rhine,Germany,51.2277,6.7735,38,15.2,67.7,7.9,2023-06-12
WS006,Montréal Centre,Canada,45.5017,-73.5673,36,17.5,49.2,1.8,2023-06-12
WS007,Göteborg Coast,Sweden,57.7089,11.9746,5,8.1,69.9,0.6,2023-06-12
WS008,Jyväskylä Lake,Finland,62.2415,25.7209,78,9.2,35.4,1.2,2023-06-12
WS009,Córdoba Sierra,Spain,37.8882,-4.7794,106,22.7,45.3,0,2023-06-12
WS010,Brně South,Czech Republic,49.1951,16.6068,237,17.8,59.9,5.1,2023-06-12
WS011,Würzburg Valley,Germany,49.7913,9.9534,177,19.3,64.9,0.8,2023-06-12
WS012,Strasbourg Est,France,48.5734,7.7521,142,17.1,72.5,2.5,2023-06-12
WS013,Kraków Old Town,Poland,50.0647,19.945,219,12.7,81.5,3.0,2023-06-12
WS014,Reykjavik Port,Iceland,64.1466,-21.9426,14,11.1,65.2,6.6,2023-06-12
WS015,Tromso Arctic,Norway,69.6492,18.9553,10,11.2,60.0,5.7,2023-06-12
WS016,Oulu North,Finland,65.0121,25.4651,15,18.4,85.8,5.7,2023-06-12
WS017,Cluj-Napoca Centre,Romania,46.7712,23.6236,405,14.7,100,1.0,2023-06-12
WS018,Pôrto Atlantic,Portugal,41.1579,-8.6291,85,18.8,54.5,8.1,2023-06-12
WS019,Thessaloniki Bay,Greece,40.6401,22.9444,5,21.4,43.6,4.7,2023-06-12
WS020,Izmir Coastal,Turkey,38.4192,27.1287,2,22.5,60.2,0.9,2023-06-12
WS021,Gdansk Baltic,Poland,54.352,18.6466,7,13.4,58.4,4.1,2023-06-12
WS022,Bergen Fjørd,Norway,60.3913,5.3221,12,12.0,76.0,1.6,2023-06-12
WS023,Ljubljana Basin,Slovenia,46.0569,14.5058,295,13.1,53.9,7.4,2023-06-12
WS024,Bratislava Danube,Slovakia,48.1486,17.1077,134,15.9,100,5.2,2023-06-12
WS025,Réval Harbour,Estonia,59.437,24.7536,9,10.4,52.5,4.6,2023-06-12
WS001,Zürich Central,Switzerland,47.3769,8.5417,408,14.3,100,1.5,2023-06-30
WS002,São Paulo Paulista,Brazil,-23.5505,-46.6333,760,10.5,86.9,3.7,2023-06-30
WS003,Malmö Harbour,Sweden,55.605,13.0038,12,12.1,60.9,4.9,2023-06-30
WS004,London Heathrow,United Kingdom,51.47,-0.4543,25,19.1,65.9,0.5,2023-06-30
WS005,Düsseldorf Rhine,Germany,51.2277,6.7735,38,16.7,54.9,0,2023-06-30
WS006,Montréal Centre,Canada,45.5017,-73.5673,36,16.4,43.5,5.5,2023-06-30
WS007,Göteborg Coast,Sweden,57.7089,11.9746,5,20.3,92.9,2.6,2023-06-30
WS008,Jyväskylä Lake,Finland,62.2415,25.7209,78,11.5,75.3,6.7,2023-06-30
WS009,Córdoba Sierra,Spain,37.8882,-4.7794,106,19.8,62.9,9.5,2023-06-30
WS010,Brně South,Czech Republic,49.1951,16.6068,237,16.9,57.7,4.3,2023-06-30
WS011,Würzburg Valley,Germany,49.7913,9.9534,177,18.8,49.7,3.4,2023-06-30
WS012,Strasbourg Est,France,48.5734,7.7521,142,14.0,60.8,8.7,2023-06-30
WS013,Kraków Old Town,Poland,50.0647,19.945,219,19.2,63.6,1.7,2023-06-30
WS014,Reykjavik Port,Iceland,64.1466,-21.9426,14,11.3,80.8,2.6,2023-06-30
WS015,Tromso Arctic,Norway,69.6492,18.9553,10,14.8,44.4,3.3,2023-06-30
WS016,Oulu North,Finland,65.0121,25.4651,15,17.2,34.9,7.0,2023-06-30
WS017,Cluj-Napoca Centre,Romania,46.7712,23.6236,405,12.5,63.6,3.6,2023-06-30
WS018,Pôrto Atlantic,Portugal,41.1579,-8.6291,85,22.4,20,0,2023-06-30
WS019,Thessaloniki Bay,Greece,40.6401,22.9444,5,18.4,65.6,1.8,2023-06-30
WS020,Izmir Coastal,Turkey,38.4192,27.1287,2,20.2,47.2,3.0,2023-06-30
WS021,Gdansk Baltic,Poland,54.352,18.6466,7,13.0,68.7,5.5,2023-06-30
WS022,Bergen Fjørd,Norway,60.3913,5.3221,12,17.8,55.2,3.2,2023-06-30
WS023,Ljubljana Basin,Slovenia,46.0569,14.5058,295,18.5,60.6,3.9,2023-06-30
WS024,Bratislava Danube,Slovakia,48.1486,17.1077,134,12.9,70.6,1.7,2023-06-30
WS025,Réval Harbour,Estonia,59.437,24.7536,9,11.0,41.2,6.9,2023-06-30
WS001,Zürich Central,Switzerland,47.3769,8.5417,408,18.8,82.2,4.7,2023-07-18
WS002,São Paulo Paulista,Brazil,-23.5505,-46.6333,760,2.0,48.7,5.9,2023-07-18
WS003,Malmö Harbour,Sweden,55.605,13.0038,12,14.2,48.6,3.6,2023-07-18
WS004,London Heathrow,United Kingdom,51.47,-0.4543,25,17.3,49.8,3.2,2023-07-18
WS005,Düsseldorf Rhine,Germany,51.2277,6.7735,38,16.5,26.2,5.3,2023-07-18
WS006,Montréal Centre,Canada,45.5017,-73.5673,36,17.4,84.6,1.1,2023-07-18
WS007,Göteborg Coast,Sweden,57.7089,11.9746,5,11.0,82.8,0.0,2023-07-18
