transaction_amount,time_since_last_transaction,merchant_category_code,distance_from_home,transaction_frequency_24h,is_weekend,is_fraud
59.21,51.49,10,5.24,1,0,0
34.28,55.03,2,4.17,5,0,0
65.67,51.51,20,3.73,1,0,0
137.39,33.48,6,6.89,4,1,0
227.11,51.96,12,37.08,5,0,0
19.02,26.65,13,17.27,1,0,0
97.62,56.87,2,5.89,4,1,0
7.22,44.89,8,36.31,3,1,0
16.98,34.32,3,9.41,3,0,0
24.84,35.43,14,8.15,5,0,0
5,70.34,20,14.16,1,0,0
16.41,7.44,7,2.39,4,1,0
20.19,8.32,16,3.47,5,0,0
15.67,23.79,4,1.18,1,1,0
20.66,4.56,3,8.32,4,1,0
100.89,13.32,5,11.42,1,0,0
8.86,68.57,9,29.6,1,1,0
20.45,52.29,19,0.43,5,0,0
222.05,32.33,1,38.47,4,0,0
26.48,71.5,6,0.76,3,1,0
169.49,22.99,4,4.46,2,0,0
274.66,2.36,1,30.88,4,1,1
197.84,59.82,3,0.77,4,0,0
71.16,18.99,12,0.56,1,1,0
6.84,34.83,19,7.34,1,1,0
24.34,57.79,5,3.14,4,1,0
70.53,68.69,19,5.12,3,1,0
169.74,50.99,20,1.88,2,1,0
177.07,55.44,1,1.96,3,1,0
28.13,54.98,18,6.51,1,1,0
96.41,57.07,9,9.11,2,1,0
48.58,68.83,14,12.85,5,0,0
17.31,27.48,7,0.34,2,0,0
37.08,2.75,17,13.81,5,1,0
105.31,62.23,16,0.67,3,1,0
284.23,37.06,20,8.91,5,1,0
16.01,48.65,7,3.12,3,0,0
6.79,41.75,11,4.37,3,1,0
47.92,25.79,13,2.54,3,1,0
70.24,51.93,5,5.49,1,0,0
63.55,47.75,17,1.16,4,0,0
47.81,28.4,8,5.54,5,0,0
5,47.89,16,12.17,1,1,0
8.55,27.24,10,22.75,5,1,0
77.53,62.2,3,0.61,4,0,0
310.64,25.55,3,5.82,5,0,0
123.83,57.51,9,7.63,4,1,0
23.64,24.19,12,3.92,2,0,0
24.25,47.67,11,4.31,3,0,0
233.49,29.08,14,7.96,2,1,0
148.0,59.19,1,6.02,2,1,0
60.05,47.82,11,9.92,4,1,0
79.31,59.55,16,27.38,3,1,0
178.34,33.8,2,13.81,3,1,0
118.97,9.33,19,26.93,4,1,0
50.52,13.52,7,6.31,3,0,0
119.65,4.79,10,1.57,2,1,0
87.08,39.53,5,0.0,5,0,0
68.93,15.83,19,5.41,3,0,0
67.72,47.54,13,17.28,4,0,0
49.68,7.97,19,5.34,3,1,0
36.24,43.41,16,1.18,4,0,0
77.35,43.21,17,2.75,3,0,0
31.9,54.02,12,6.61,3,1,0
27.93,56.13,14,8.97,2,1,0
47.7,52.49,9,1.72,1,0,0
18.26,71.36,8,2.56,2,0,0
63.75,55.15,9,4.26,1,1,0
232.89,20.16,6,0.7,1,1,0
153.16,51.36,14,21.44,3,0,0
34.26,8.97,10,4.75,2,1,0
337.2,3.72,7,21.17,4,0,0
22.5,17.54,10,0.77,4,0,0
66.11,42.47,3,7.79,3,1,0
31.25,5.05,14,4.39,1,0,0
120.97,51.72,18,1.95,1,0,0
29.15,67.15,4,22.37,2,1,0
58.61,4.17,1,8.75,1,0,0
76.22,68.85,9,1.57,1,1,0
26.41,28.14,18,11.09,1,1,0
21.65,25.38,17,32.69,3,1,0
120.91,58.18,12,15.37,1,0,0
59.49,61.56,5,8.85,1,0,0
399.9,47.04,19,9.65,1,0,0
32.61,44.57,14,2.41,4,1,0
11.17,61.54,11,11.54,1,0,0
257.63,1.6,18,4.48,1,0,0
34.07,36.74,8,0.19,3,0,0
623.23,6.45,8,23.18,2,0,0
378.05,27.57,1,0.64,3,1,0
231.79,50.97,17,8.03,3,1,0
16.39,62.75,1,9.41,4,1,0
99.75,62.21,3,12.22,3,0,0
362.63,42.75,20,12.53,5,0,0
62.92,53.18,14,4.23,4,1,0
32.8,61.77,5,11.97,5,1,0
42.35,33.19,6,7.06,3,0,0
112.04,35.45,4,0.08,3,0,0
33.88,69.15,18,6.18,2,0,0
33.45,12.67,3,9.23,3,0,0
65.84,45.1,17,14.24,3,0,0
90.9,18.44,5,11.5,4,1,0
44.07,23.6,4,5.45,2,0,0
51.56,39.68,3,20.37,4,1,0
19.94,19.16,16,15.8,4,0,0
132.29,32.19,9,0.36,2,1,0
35.24,35.71,9,4.6,3,0,0
93.0,29.93,8,3.16,5,1,0
35.62,7.29,12,21.58,5,0,0
11.66,52.5,1,7.27,3,0,0
107.07,22.59,10,1.9,5,1,0
118.11,63.72,5,1.37,5,0,0
89.74,27.91,4,12.67,5,1,0
74.16,7.41,15,10.57,5,1,0
13.7,64.67,1,0.75,1,0,0
42.63,25.99,15,7.69,3,0,0
48.46,58.87,6,37.74,5,1,0
191.71,66.43,3,4.09,2,1,0
5,18.95,10,5.56,5,1,0
28.36,46.8,5,9.46,5,1,0
20.79,41.37,2,7.53,1,0,0
39.49,1.81,13,13.75,3,0,0
28.59,29.02,13,11.62,4,0,0
152.05,70.58,18,3.64,4,0,0
404.69,2.6,16,4.38,3,0,0
55.98,49.62,5,22.37,2,0,0
26.01,19.98,16,1.47,3,1,0
41.89,68.24,8,0.9,5,0,0
41.65,3.01,15,15.15,3,1,0
24.59,60.57,4,12.48,5,1,0
18.14,55.37,17,5.3,2,1,0
12.26,43.63,5,0.75,3,0,0
88.67,34.65,4,9.66,5,0,0
20.08,49.73,6,4.89,9,1,0
50.29,27.47,10,6.7,4,0,0
81.74,43.44,17,8.67,3,0,0
37.5,8.08,3,0.72,1,0,0
27.75,11.6,9,5.73,3,1,0
118.35,62.74,10,14.19,5,1,0
20.67,11.32,15,21.03,2,0,0
92.29,3.5,20,3.27,2,1,0
70.08,35.71,2,3.43,4,1,0
161.73,71.11,1,10.83,3,1,0
6.56,71.27,9,17.73,5,0,0
12.58,48.01,16,5.62,5,1,0
54.14,34.01,15,9.01,5,1,0
14.43,29.38,17,7.15,5,1,0
117.53,10.86,12,2.66,1,1,0
56.31,16.5,8,3.74,1,1,0
14.72,67.15,16,3.41,4,0,0
1816.97,2.91,20,30.63,3,1,1
77.16,1.86,14,8.13,5,1,0
26.48,71.31,8,2.85,1,0,0
154.62,55.05,5,5.9,1,0,0
249.14,2.28,18,1.58,5,1,0
39.69,62.87,5,4.37,1,1,0
14.99,60.09,16,14.18,1,0,0
83.06,32.08,20,0.33,4,1,0
39.46,36.9,7,0.34,1,0,0
486.81,33.41,19,6.5,5,1,0
27.6,52.82,15,0.78,5,1,0
24.46,20.04,14,3.52,3,0,0
73.99,6.05,14,5.44,2,0,0
188.97,55.56,15,3.68,3,0,0
47.73,69.71,8,3.15,3,1,0
40.13,43.29,3,11.57,1,0,0
182.7,16.39,10,3.73,4,0,0
74.84,30.16,6,8.65,1,1,0
164.25,39.76,11,14.48,2,0,0
133.91,36.1,15,0.83,5,1,0
61.68,26.23,16,10.32,4,0,0
48.02,2.05,3,10.41,4,1,0
38.98,33.78,2,2.41,3,0,0
31.2,67.39,13,3.2,2,1,0
51.88,46.88,6,9.87,3,1,0
86.82,64.31,9,3.92,3,0,0
17.41,44.62,3,3.52,1,1,0
12.04,46.91,3,10.99,2,0,0
40.15,71.7,1,6.57,5,0,0
104.63,18.73,4,0.14,3,1,0
471.08,31.9,11,2.03,3,1,0
112.36,71.69,19,5.13,4,1,0
363.03,62.94,10,1.95,2,0,0
48.29,40.4,17,23.96,5,1,0
459.9,35.72,12,8.93,3,1,0
73.3,12.94,4,7.32,5,0,0
18.86,29.43,3,0.55,2,0,0
114.01,0.39,14,32.01,2,1,1
109.53,66.48,9,3.96,3,0,0
84.28,61.09,9,22.71,2,0,0
205.01,31.6,9,10.4,4,1,0
15.86,56.72,7,13.1,5,1,0
272.54,59.95,16,9.07,2,1,0
500,36.42,16,18.48,3,1,0
24.86,49.82,7,0.41,1,0,0
662.74,1.26,16,87.73,4,1,1
57.42,16.9,12,3.18,2,0,0
156.28,50.58,12,5.58,1,0,0
27.37,8.8,11,8.25,4,1,0
6.89,44.66,3,1.64,4,1,0
8.97,68.74,19,18.3,1,0,0
49.13,46.64,11,1.24,1,0,0
75.5,22.81,14,16.88,4,0,0
206.19,1.62,12,5.77,2,1,0
10.18,32.35,15,1.63,5,0,0
478.02,62.68,10,0.11,1,1,0
68.47,1.77,14,9.11,4,1,0
310.74,30.63,19,1.33,3,1,0
21.62,64.84,16,11.17,3,1,0
59.64,4.97,5,1.0,2,1,0
48.52,59.98,2,8.56,2,1,0
59.45,60.56,1,34.64,4,1,0
31.53,61.16,12,14.93,3,0,0
16.35,8.75,20,0.7,1,1,0
29.56,57.42,18,5.54,2,1,0
177.52,39.94,9,1.09,1,1,0
74.77,61.62,7,69.22,2,0,0
54.8,39.21,3,6.19,4,0,0
52.11,7.07,12,28.01,2,0,0
88.13,16.24,8,10.56,3,1,0
54.04,17.12,3,1.2,4,1,0
33.85,62.43,15,6.19,3,1,0
55.13,40.86,17,10.85,3,0,0
65.52,1.85,8,1.12,4,1,0
69.94,66.85,10,4.39,1,0,0
26.18,37.03,12,0.59,3,0,0
156.53,49.8,13,17.64,4,0,0
81.49,44.19,12,6.83,2,0,0
23.71,32.93,6,0.3,5,1,0
80.46,3.17,15,19.52,3,1,0
35.1,44.51,13,2.81,3,1,0
69.65,56.09,17,3.81,2,0,0
93.19,36.2,2,7.94,2,1,0
123.86,13.88,5,6.68,4,0,0
365.2,33.85,9,0.55,4,0,0
457.13,0.17,14,179.58,9,0,1
18.38,47.27,17,9.59,1,0,0
65.44,41.44,15,8.15,3,0,0
47.7,49.51,12,0.59,4,1,0
153.9,68.69,18,5.66,5,0,0
47.23,52.65,1,15.15,1,1,0
67.1,11.16,2,5.14,2,0,0
27.12,19.51,7,23.86,1,0,0
155.21,43.11,11,0.52,3,0,0
136.75,32.65,13,7.43,2,1,0
12.79,4.68,10,10.36,2,1,0
226.87,20.05,13,8.13,5,0,0
78.59,56.27,12,3.6,5,0,0
252.22,19.47,5,1.45,1,1,0
26.34,46.2,20,2.31,2,0,0
129.8,37.4,14,27.87,2,0,0
14.72,68.99,10,9.29,5,0,0
31.51,13.54,2,27.42,2,1,0
257.12,69.68,20,21.74,2,1,0
185.81,18.99,15,8.64,1,1,0
51.08,35.99,15,5.03,2,0,0
33.14,69.99,11,0.43,5,0,0
216.3,59.32,7,12.47,4,1,0
14.2,71.93,20,1.52,2,1,0
44.04,15.63,18,0.85,5,0,0
107.24,48.67,7,11.34,1,0,0
109.12,32.93,9,7.7,5,1,0
139.11,1.65,14,12.79,5,0,0
95.21,30.4,15,1.13,4,0,0
34.71,38.72,8,14.3,3,0,0
12.57,37.88,14,1.51,5,1,0
159.78,14.37,1,17.89,5,0,0
263.69,30.98,1,16.22,4,1,0
115.94,45.15,9,17.09,4,1,0
226.79,30.1,18,0.14,2,1,0
24.01,44.52,6,4.29,2,1,0
42.84,43.13,17,4.36,5,1,0
8.79,26.44,1,21.39,3,1,0
26.84,45.77,12,5.33,4,0,0
500,15.61,5,8.92,3,0,0
34.3,18.35,13,3.25,4,1,0
35.59,35.72,16,3.43,3,1,0
197.33,64.65,4,5.26,5,0,0
189.35,9.83,1,7.97,1,1,0
45.1,42.39,12,26.44,3,0,0
156.23,13.61,7,2.52,2,0,0
20.72,30.72,16,6.19,4,0,0
112.18,15.37,10,1.14,4,0,0
62.53,58.58,20,1.65,4,0,0
48.09,40.48,2,9.87,3,0,0
133.31,58.1,20,1.07,3,1,0
20.74,20.92,7,3.16,5,1,0
58.12,21.06,5,4.75,2,1,0
168.48,3.28,5,1.15,2,1,0
99.9,14.72,1,2.92,1,0,0
42.16,43.59,11,3.2,5,1,0
43.57,59.8,2,29.61,1,0,0
42.69,44.69,8,26.31,2,1,0
121.71,6.59,3,24.43,2,0,0
32.32,49.41,13,0.45,1,1,0
120.81,11.5,14,3.69,3,0,0
104.3,11.72,19,4.08,1,0,0
84.74,44.07,11,15.81,3,1,0
24.91,20.93,11,14.22,4,1,0
43.99,8.29,18,4.66,2,0,0
41.17,68.59,15,2.18,1,1,0
96.55,10.23,19,14.97,1,1,0
24.99,61.73,7,15.55,4,1,0
400.54,7.27,12,9.14,2,0,0
139.05,30.17,6,36.52,2,1,0
31.68,24.21,8,1.33,4,1,0
84.27,3.37,13,6.96,5,1,0
26.18,7.63,12,5.8,4,1,0
7.81,20.42,19,5.21,2,1,0
48.96,31.59,7,0.71,5,0,0
312.45,22.22,19,0.52,5,0,0
235.31,69.83,14,0.58,2,0,0
20.42,14.31,2,4.18,2,1,0
226.41,27.43,9,1.58,2,0,0
88.7,16.07,3,2.11,3,1,0
45.52,54.81,15,23.47,3,0,0
78.87,3.53,16,0.93,2,0,0
39.58,60.05,16,8.22,4,1,0
66.85,25.01,5,0.38,2,0,0
47.83,48.15,12,15.18,5,1,0
85.36,69.21,14,12.07,5,0,0
53.28,69.47,20,16.53,3,0,0
28.55,43.85,14,2.2,2,1,0
65.29,1.52,12,6.59,5,1,0
16.42,32.6,16,1.23,5,1,0
69.53,42.53,12,13.92,1,0,0
48.75,30.72,10,7.51,2,1,0
159.98,14.61,18,9.95,5,1,0
55.63,24.64,5,12.36,5,0,0
5.48,55.33,8,8.49,3,1,0
52.23,39.38,3,8.6,2,0,0
50.18,58.31,10,21.87,1,1,0
57.66,3.91,10,13.97,1,0,0
268.54,4.38,10,8.54,2,0,0
100.58,64.7,16,4.78,2,1,0
43.72,28.52,20,17.91,2,1,0
16.75,56.86,8,14.16,5,1,0
86.68,37.29,15,3.98,1,0,0
34.24,9.11,18,13.87,3,0,0
16.96,25.47,6,1.41,2,1,0
65.97,6.25,9,19.15,1,0,0
159.17,12.85,5,11.08,3,0,0
152.52,27.59,14,10.16,2,1,0
12.84,38.77,8,2.27,3,0,0
92.53,52.31,4,1.59,5,0,0
88.61,45.25,18,4.5,2,1,0
37.74,46.27,4,1.38,4,0,0
52.89,3.99,4,7.14,1,0,0
31.03,13.37,9,9.23,8,1,1
80.91,26.03,7,2.97,5,0,0
324.79,36.66,9,24.4,5,0,0
105.18,54.4,15,13.25,4,1,0
21.94,2.99,15,1.02,4,0,0
44.11,53.64,6,0.54,2,1,0
70.31,49.55,6,37.39,1,1,0
53.43,7.99,4,4.69,3,0,0
64.84,64.24,13,2.19,5,0,0
9.56,43.94,20,8.83,4,0,0
16.67,54.1,10,8.31,2,1,0
218.2,60.82,2,1.58,1,1,0
500,61.12,12,19.39,2,0,0
10.33,24.63,12,8.3,4,0,0
30.26,58.64,1,3.41,5,0,0
26.97,26.94,18,8.2,4,0,0
20.43,32.66,3,3.07,3,0,0
279.63,37.99,10,10.84,2,0,0
126.82,62.07,3,0.22,2,1,0
320.48,35.23,19,6.13,3,1,0
126.23,1.18,14,8.5,1,1,0
87.43,69.01,19,0.8,3,1,0
19.53,3.43,5,19.59,1,1,0
201.56,2.23,10,2.16,4,0,0
69.33,10.34,8,5.72,1,1,0
34.99,29.76,10,16.56,4,1,0
69.77,32.9,9,10.21,3,1,0
16.52,50.17,8,2.56,3,1,0
19.09,13.5,9,19.32,1,0,0
53.63,41.33,4,21.1,3,1,0
27.27,16.58,1,8.15,2,1,0
325.13,23.09,18,11.95,2,1,0
242.44,38.57,9,20.77,1,1,0
70.96,58.82,3,4.53,2,1,0
219.55,64.34,2,15.22,1,0,0
30.96,46.08,2,7.01,4,0,0
43.1,57.35,19,2.42,3,0,0
11.12,13.67,18,3.99,2,0,0
81.63,5.61,20,15.31,2,0,0
55.35,13.23,2,18.8,1,1,0
20.22,30.58,1,5.51,5,1,0
50.66,41.87,13,3.51,2,0,0
21.47,62.03,20,1.17,3,0,0
46.4,9.41,7,1.69,3,1,0
147.96,9.24,20,7.51,3,0,0
265.18,22.33,5,9.22,3,0,0
185.26,38.41,9,6.91,1,1,0
55.42,56.6,16,8.29,3,0,0
72.84,71.23,18,5.13,1,0,0
481.14,44.76,13,14.11,5,1,0
12.34,9.46,13,4.09,5,0,0
84.91,47.87,5,18.62,1,1,0
75.58,21.47,16,22.78,2,0,0
210.43,50.79,20,4.44,4,0,0
70.42,13.42,9,4.1,2,0,0
112.26,6.32,3,6.84,2,1,0
98.76,29.7,8,14.57,4,1,0
30.13,24.16,8,19.28,3,1,0
69.8,10.45,5,0.57,5,0,0
37.83,30.49,1,2.17,5,0,0
97.11,63.87,6,2.56,5,1,0
190.68,64.27,16,3.55,1,0,0
77.6,64.39,14,17.6,1,1,0
94.14,18.94,5,10.05,4,0,0
24.4,8.57,13,6.79,5,1,0
85.05,61.51,4,1.03,5,1,0
9.61,57.06,6,4.51,2,1,0
37.6,68.6,2,12.16,4,1,0
21.53,35.16,4,6.13,4,1,0
21.85,31.63,5,1.99,5,1,0
5,64.92,17,12.11,2,0,0
143.13,17.13,3,4.67,3,1,0
13.0,0.28,10,2.05,11,1,1
44.22,50.96,1,8.73,4,0,0
180.81,25.13,18,2.26,2,0,0
21.31,22.51,20,2.44,2,1,0
107.26,67.91,16,9.44,4,1,0
67.42,43.93,9,17.56,4,1,0
277.4,64.46,18,6.53,3,1,0
26.79,60.55,10,13.87,4,0,0
202.61,63.36,8,5.44,5,0,0
114.1,29.0,11,4.8,3,1,0
10.05,42.95,17,5.3,2,1,0
74.99,51.47,9,2.45,3,1,0
66.96,12.61,12,15.57,2,0,0
92.81,30.69,20,2.62,3,0,0
11.93,28.75,18,9.11,4,0,0
60.17,27.43,13,8.59,1,1,0
31.54,36.9,19,12.38,1,1,0
27.77,3.39,17,2.71,9,0,1
212.53,43.05,9,0.08,5,0,0
126.88,62.61,13,0.46,5,1,0
187.97,41.12,20,1.65,4,1,0
43.45,67.79,20,3.55,3,1,0
225.57,65.67,8,1.68,5,1,0
184.57,29.83,11,2.8,1,0,0
68.74,69.02,4,27.45,4,1,0
92.26,42.22,2,8.29,5,1,0
14.64,31.93,13,5.94,4,1,0
115.75,16.73,14,2.59,3,0,0
96.86,6.02,2,4.19,4,0,0
111.62,41.16,14,4.78,4,0,0
156.54,34.73,20,1.96,5,0,0
18.0,16.12,15,2.5,5,1,0
56.01,9.6,8,7.06,5,0,0
42.47,59.5,18,7.9,4,0,0
55.2,24.79,14,4.2,5,0,0
86.96,39.56,12,4.06,2,0,0
100.6,25.14,19,14.94,2,1,0
27.41,27.37,18,6.4,5,1,0
56.07,12.66,4,31.58,5,0,0
82.33,50.31,15,5.13,2,1,0
13.36,60.05,2,89.46,5,1,0
97.4,16.18,13,18.62,2,1,0
56.35,35.32,11,22.5,3,1,0
11.91,19.51,17,13.6,1,0,0
98.41,41.23,1,0.95,5,1,0
113.62,43.04,1,12.54,4,1,0
19.27,17.29,16,12.47,4,1,0
16.49,67.96,5,2.15,5,0,0
285.41,33.44,10,9.29,4,0,0
60.74,61.52,11,1.25,3,0,0
307.23,51.78,15,1.12,3,1,0
60.9,61.66,10,12.47,3,0,0
47.98,7.41,8,34.61,1,1,0
25.41,43.67,16,4.15,1,1,0
103.22,49.3,20,16.52,1,1,0
150.97,36.19,9,1.06,1,1,0
70.57,43.59,16,14.23,5,0,0
149.6,60.41,14,4.38,1,1,0
18.99,67.56,14,7.79,1,1,0
40.52,20.08,7,3.6,5,1,0
31.92,56.48,2,11.04,5,1,0
46.41,38.38,1,3.22,5,0,0
35.52,68.3,3,8.9,4,1,0
429.04,48.35,6,4.61,3,1,0
16.6,49.64,3,18.24,3,0,0
28.31,52.55,14,8.9,5,0,0
500,43.0,5,6.14,3,0,0
6.34,51.03,9,3.68,4,1,0
66.03,11.05,9,1.21,3,1,0
63.92,14.18,1,7.4,4,1,0
30.96,25.8,3,1.22,5,0,0
95.64,51.6,18,3.1,4,0,0
31.94,53.8,19,8.15,4,1,0
52.55,34.58,10,10.41,2,1,0
59.1,55.45,1,6.26,2,1,0
60.78,38.59,13,3.02,3,0,0
111.36,17.09,13,1.28,3,0,0
280.03,35.41,7,13.51,5,1,0
26.93,57.3,3,2.79,4,0,0
7.73,49.09,5,0.94,2,1,0
20.5,55.02,1,1.45,3,1,0
112.22,33.68,2,0.71,3,0,0
218.41,31.95,2,24.79,5,0,0
27.47,40.53,19,16.94,2,1,0
145.07,50.53,9,0.78,3,1,0
37.92,31.94,6,3.03,4,0,0
10.76,17.16,19,11.47,4,1,0
61.44,28.11,2,28.23,3,0,0
56.61,20.43,4,12.65,2,1,0
89.94,16.47,12,4.15,2,1,0
19.1,45.32,10,9.28,2,0,0
99.67,34.84,15,1.32,3,1,0
79.29,40.6,7,9.9,1,1,0
55.81,21.45,6,4.16,2,0,0
38.9,22.29,6,11.23,4,0,0
16.34,51.76,13,14.1,2,1,0
34.83,65.51,16,18.36,5,1,0
15.87,19.78,4,4.85,3,1,0
50.07,60.83,11,1.09,4,0,0
18.93,63.73,16,4.54,5,0,0
26.33,48.59,7,2.48,2,1,0
100.61,8.33,3,3.49,1,1,0
104.92,33.69,11,9.51,5,1,0
20.43,26.42,4,13.94,5,1,0
165.3,9.01,17,10.42,1,0,0
500,32.87,11,26.11,1,0,0
45.49,65.02,16,8.86,3,0,0
56.0,65.1,3,3.88,4,0,0
106.38,7.35,9,0.26,1,0,0
33.96,34.3,5,2.22,5,1,0
44.78,55.76,15,3.69,5,0,0
133.71,66.79,7,7.45,5,0,0
38.13,26.08,2,4.4,4,0,0
167.4,39.17,6,12.14,5,1,0
46.21,41.66,5,1.44,5,1,0
417.51,35.4,9,21.44,4,0,0
72.41,50.25,2,6.22,5,0,0
12.24,69.55,9,7.66,5,1,0
331.71,20.24,1,13.06,1,1,0
92.18,25.63,19,0.22,5,0,0
5,64.65,1,5.26,3,0,0
82.35,61.15,1,0.27,1,0,0
47.41,68.52,4,11.17,2,1,0
97.42,19.16,19,4.18,2,0,0
24.59,40.57,14,0.55,1,1,0
19.84,36.72,16,1.08,1,0,0
60.79,25.13,1,7.54,4,0,0
108.3,66.87,15,21.84,5,1,0
87.06,69.86,7,32.21,2,0,0
1383.78,1.46,10,151.77,4,0,1
47.36,16.32,2,23.76,4,1,0
230.71,45.55,4,0.17,1,0,0
128.2,70.47,15,8.95,5,1,0
33.85,52.1,5,3.44,3,1,0
125.23,54.59,12,7.94,2,0,0
28.13,30.64,6,6.1,1,0,0
145.39,53.13,11,12.6,2,1,0
22.57,30.41,1,3.25,6,0,0
36.68,31.43,5,0.08,4,0,0
8.04,16.6,13,1.53,1,1,0
19.81,34.02,9,4.09,5,1,0
22.82,36.33,9,3.85,2,1,0
22.27,12.94,8,36.14,1,0,0
72.38,15.86,5,8.39,4,0,0
32.78,6.97,15,5.85,2,0,0
89.17,42.61,16,5.68,5,1,0
98.9,38.74,6,2.2,2,1,0
87.31,62.59,13,6.04,4,0,0
134.7,12.5,8,3.4,5,1,0
68.37,65.5,3,3.34,4,1,0
25.28,49.09,6,7.65,3,1,0
5,1.55,14,1.48,5,0,0
27.78,69.01,2,10.82,3,1,0
291.85,58.6,1,2.34,4,0,0
125.28,42.42,1,3.31,4,1,0
169.5,52.67,11,9.26,5,0,0
125.42,36.78,16,7.48,4,0,0
18.4,38.51,7,0.88,3,0,0
14.76,48.19,2,2.49,5,1,0
11.46,68.61,17,11.42,5,1,0
157.54,15.41,3,2.32,2,1,0
15.26,48.38,7,1.51,2,0,0
76.75,40.9,13,23.03,2,1,0
122.38,21.07,15,0.59,2,1,0
11.56,28.98,19,7.21,5,0,0
