age_group,income,employment_length,loan_amount,credit_history_length,num_open_accounts,debt_to_income,region,defaulted
36-50,75575.28,6,14323.96,6,7,0.578,London,0
36-50,64567.93,4,1000.0,15,5,0.3346,North,0
36-50,31234.86,7,21002.25,7,5,0.3109,London,0
26-35,36784.16,12,14070.18,11,5,0.3368,Wales,0
36-50,15000.0,11,4567.97,8,2,0.2804,Scotland,0
26-35,15000.0,7,16935.87,10,3,0.1998,Scotland,0
36-50,21695.49,6,1000.0,2,5,0.5671,Wales,1
26-35,41395.47,5,14479.14,13,3,0.2712,Midlands,0
36-50,39935.01,19,1000.0,6,3,0.1373,Scotland,0
26-35,47971.0,4,1000.0,12,2,0.3014,London,0
65+,54214.94,3,10459.54,0,5,0.3628,London,0
36-50,47004.17,13,7837.33,4,4,0.2951,North,0
26-35,22534.66,4,18842.89,9,8,0.3142,London,1
36-50,47832.42,18,14813.43,7,7,0.3003,Wales,0
51-65,53436.33,3,36003.96,10,1,0.3711,North,1
18-25,34309.09,12,12348.38,9,5,0.4183,North,1
36-50,15000.0,0,1000.0,17,7,0.2969,South East,0
36-50,63313.24,4,1000.0,10,2,0.6308,North,0
26-35,43589.66,4,3038.73,5,8,0.4449,London,0
51-65,15000.0,16,48845.39,6,3,0.3193,Scotland,0
26-35,79264.56,34,14632.77,14,2,0.1618,South East,0
26-35,33382.27,6,26085.32,0,7,0.3337,North,0
51-65,85902.42,17,25072.09,10,3,0.4177,South East,0
36-50,48792.56,12,2330.93,2,4,0.4186,London,0
51-65,38351.77,34,1000.0,13,6,0.0977,Midlands,0
36-50,45304.71,16,21423.13,5,7,0.3338,South East,0
51-65,29233.11,0,1000.0,10,3,0.2623,North,0
51-65,43103.59,12,24776.59,8,2,0.4997,South East,0
18-25,78191.17,7,13829.45,1,7,0.3348,South East,0
51-65,25824.8,0,21160.54,11,3,0.0459,Midlands,0
36-50,51600.56,2,18034.42,4,5,0.3642,South East,0
18-25,29044.34,25,18568.28,12,3,0.086,Midlands,0
36-50,38974.54,26,16044.87,2,2,0.374,Scotland,0
18-25,77578.99,16,17816.02,9,5,0.6305,South East,1
51-65,51476.31,40,15460.85,8,5,0.4832,London,0
36-50,55422.12,16,1235.27,4,10,0.3511,South East,0
65+,43275.24,0,11061.41,14,5,0.2409,Midlands,0
26-35,90518.8,3,36697.71,8,4,0.4729,Midlands,1
36-50,24906.5,0,18141.16,5,5,0.3963,Midlands,1
26-35,15000.0,0,26424.5,9,4,0.288,North,1
36-50,72348.23,2,5168.57,0,5,0.2553,London,0
51-65,35131.5,7,4994.47,20,6,0.2112,Midlands,0
51-65,49384.66,18,2965.48,2,3,0.365,Midlands,0
51-65,72894.45,19,1682.31,10,4,0.27,North,0
51-65,49624.06,9,1000.0,8,6,0.3401,Wales,0
18-25,82154.73,26,17332.15,13,4,0.4313,Midlands,0
26-35,44451.53,6,11441.81,8,4,0.267,Wales,0
36-50,29253.72,21,23754.95,4,5,0.3974,South East,1
36-50,15000.0,6,11896.04,0,3,0.4667,London,0
26-35,47409.85,3,1000.0,0,5,0.3674,South East,0
36-50,15000.0,24,19436.17,6,3,0.4039,Midlands,0
36-50,47843.52,4,1000.0,14,3,0.3683,South East,0
26-35,68271.69,6,17143.94,0,10,0.322,London,0
51-65,41692.91,3,7286.42,17,3,0.4205,Midlands,0
36-50,45421.91,10,17325.1,13,4,0.5131,South East,0
18-25,58481.96,40,1000.0,1,2,0.4226,London,0
18-25,54051.62,0,22783.26,2,5,0.2968,South East,1
51-65,62888.97,23,15376.09,3,3,0.2999,Scotland,0
65+,41654.78,0,11557.97,9,6,0.3044,South East,0
36-50,15000.0,4,1000.0,7,4,0.4337,North,1
26-35,63168.32,1,33105.35,7,3,0.2569,North,0
65+,37701.57,14,5932.07,5,3,0.1971,Midlands,0
36-50,26184.25,0,17629.41,8,2,0.3763,South East,0
51-65,48046.84,8,5511.21,12,2,0.3226,Midlands,0
51-65,45357.75,3,50000.0,7,2,0.4978,North,0
26-35,28509.68,1,16494.21,4,6,0.0492,South East,0
36-50,18859.48,14,8853.12,12,6,0.345,South East,0
26-35,50431.48,2,21057.59,6,5,0.2716,London,0
26-35,26702.31,2,22500.62,10,4,0.4172,Scotland,1
51-65,44058.9,3,18945.99,7,4,0.2864,Midlands,1
51-65,48722.02,8,11764.83,13,2,0.2509,North,0
51-65,59427.17,10,19405.07,14,4,0.4323,Midlands,0
36-50,80143.86,0,13446.58,13,9,0.4735,Scotland,0
18-25,46269.77,2,14747.07,5,3,0.3083,Midlands,0
18-25,34343.49,5,7145.88,5,4,0.3106,Midlands,1
26-35,71851.85,4,1000.0,12,3,0.4725,Wales,0
36-50,60865.67,21,20632.47,7,5,0.4591,North,0
36-50,45030.89,15,21063.0,7,6,0.4438,London,0
18-25,46256.77,9,27966.39,4,2,0.2717,South East,0
65+,42484.41,4,15485.15,15,6,0.241,North,0
26-35,44919.81,12,12842.66,13,4,0.5164,Scotland,0
51-65,40166.42,18,1000.0,7,1,0.3932,Midlands,0
36-50,24453.05,9,14604.76,4,2,0.231,Midlands,0
18-25,42159.72,15,18601.98,4,4,0.3072,North,0
51-65,73630.94,13,1000.0,8,4,0.3302,Midlands,0
51-65,27311.24,8,25690.22,9,5,0.3073,North,0
36-50,37117.12,3,7879.63,3,7,0.2849,London,0
36-50,25945.45,13,13039.0,1,6,0.4677,Wales,1
18-25,62831.98,2,20977.71,8,7,0.3834,North,0
36-50,56934.67,15,14926.87,12,5,0.5904,North,0
65+,18990.37,16,29033.61,8,6,0.4742,South East,0
18-25,15000.0,17,21288.06,6,3,0.3364,South East,0
26-35,57582.62,6,13516.68,2,3,0.4901,Midlands,0
65+,17893.19,2,1000.0,4,3,0.3623,North,1
26-35,56908.79,1,24961.87,12,3,0.6102,North,0
36-50,30514.69,13,3204.43,1,3,0.2822,Midlands,0
36-50,54509.99,21,23518.65,16,6,0.3744,North,0
36-50,49994.1,10,19901.89,8,4,0.2479,Scotland,0
36-50,32343.83,1,13012.14,0,5,0.2743,London,0
26-35,26178.14,27,24532.91,10,1,0.279,Midlands,0
18-25,52364.34,40,20210.4,10,3,0.4683,North,0
51-65,29533.46,5,18283.62,5,4,0.345,Midlands,1
51-65,61961.64,9,1000.0,12,1,0.0249,North,0
36-50,27017.7,15,15398.48,4,4,0.3312,Midlands,0
36-50,48306.31,13,2571.74,11,6,0.2031,Wales,0
26-35,34976.32,34,4040.62,7,7,0.2671,London,0
18-25,42102.85,1,11388.58,6,4,0.4581,Midlands,0
51-65,29390.51,8,29634.17,14,2,0.1588,London,0
36-50,38785.08,11,18653.91,12,3,0.1726,London,0
26-35,15000.0,22,19312.68,2,3,0.1207,Midlands,0
18-25,27367.4,20,22704.27,9,4,0.2735,London,0
18-25,31422.99,38,6253.2,17,3,0.1172,Wales,0
26-35,40706.22,7,1000.0,14,1,0.1273,Wales,0
51-65,65277.45,17,1000.0,3,6,0.2924,South East,0
65+,29440.85,5,17310.71,15,5,0.3576,North,0
51-65,67451.73,5,24866.91,12,7,0.2107,Midlands,0
65+,26494.46,2,24127.5,2,2,0.3633,Scotland,0
65+,22053.8,17,6689.52,9,6,0.3333,North,0
36-50,15000.0,40,28554.96,10,2,0.3848,London,0
26-35,52922.12,2,35430.42,2,2,0.1951,North,0
51-65,43548.4,0,21076.32,11,5,0.5581,North,1
26-35,51855.65,16,29872.8,20,4,0.1833,Midlands,0
26-35,44369.17,9,23731.56,14,5,0.245,Wales,0
26-35,41834.45,32,12702.84,8,9,0.3818,Wales,0
36-50,47119.63,2,8354.18,6,5,0.3341,Midlands,1
26-35,80744.75,0,1000.0,9,3,0.4216,North,0
26-35,33469.11,6,10552.37,3,3,0.2828,Wales,0
36-50,78977.8,0,12631.69,5,1,0.1728,South East,0
51-65,57342.54,3,12852.73,0,1,0.137,South East,0
36-50,48573.56,1,13874.19,10,3,0.5336,South East,0
51-65,51981.51,2,1000.0,6,5,0.2836,Scotland,0
26-35,15000.0,1,22790.3,11,1,0.2999,North,0
26-35,37290.06,30,23950.87,8,2,0.5362,London,0
36-50,29935.8,3,18710.31,2,3,0.2609,Wales,0
36-50,80023.08,5,3306.55,9,4,0.3229,North,0
36-50,35854.82,22,18669.86,4,4,0.1961,Scotland,0
51-65,41463.6,11,15226.1,16,5,0.1625,London,0
51-65,41171.21,9,19744.83,3,5,0.5468,Midlands,1
65+,18482.41,12,30511.23,5,4,0.5484,North,0
26-35,31916.01,17,13215.31,2,5,0.4425,Midlands,0
26-35,56704.16,21,16815.25,2,5,0.4385,North,1
36-50,15000.0,10,6356.38,8,5,0.4105,Scotland,0
18-25,47604.34,22,24216.76,1,4,0.2313,Midlands,0
26-35,25773.36,7,22027.37,7,2,0.3549,Scotland,0
26-35,65398.54,3,17165.61,10,4,0.2595,South East,0
26-35,49108.59,21,4468.69,5,3,0.0092,South East,0
18-25,15000.0,7,8166.97,0,10,0.4543,London,1
18-25,34509.39,23,1000.0,14,2,0.3866,Midlands,0
36-50,50164.08,0,8048.97,9,8,0.1619,Midlands,0
36-50,36528.83,5,22093.67,9,1,0.2768,Scotland,0
51-65,44612.17,29,18957.62,6,1,0.4463,North,0
36-50,41653.74,2,16596.88,12,5,0.3358,Midlands,1
18-25,57602.78,28,29842.99,12,5,0.1161,North,1
26-35,49912.18,30,18045.3,13,2,0.1744,London,0
18-25,41132.25,21,9228.45,9,5,0.5429,South East,0
51-65,42322.52,8,8000.65,1,8,0.3279,North,1
51-65,22508.99,10,12682.85,10,8,0.447,North,1
26-35,68412.88,20,10498.05,9,5,0.5406,North,0
26-35,95319.85,14,24529.81,5,3,0.2649,Midlands,0
65+,36053.71,9,19214.47,3,5,0.3622,North,0
36-50,42858.59,40,11803.27,10,3,0.084,North,0
51-65,60270.84,11,12183.96,7,5,0.2472,Wales,0
26-35,60170.45,37,22032.42,6,4,0.3891,South East,0
26-35,45209.58,0,25109.42,16,2,0.2969,Midlands,0
51-65,24428.96,1,1000.0,11,10,0.3742,North,0
36-50,74726.86,6,13287.87,10,3,0.4316,Wales,0
36-50,54262.22,4,15914.91,14,3,0.3872,South East,0
36-50,45969.88,15,20481.38,9,6,0.3597,Midlands,0
36-50,28989.1,1,16129.92,4,5,0.3429,South East,0
51-65,43043.19,37,19072.0,6,7,0.2518,Midlands,0
26-35,15000.0,3,12630.41,11,4,0.2092,South East,0
26-35,55336.28,5,6941.39,11,5,0.4827,London,0
51-65,59725.22,3,22841.95,10,3,0.4151,Midlands,0
26-35,46135.66,8,23159.06,2,2,0.2253,South East,0
36-50,24715.45,0,21518.34,12,2,0.3277,South East,0
51-65,50134.16,1,23297.91,7,4,0.153,South East,0
65+,56172.44,13,5282.72,10,5,0.2627,London,0
36-50,28621.75,2,9925.65,3,5,0.3843,Wales,1
36-50,58811.86,2,26198.67,17,6,0.3512,North,0
51-65,51441.31,15,18562.33,9,7,0.3339,Scotland,0
51-65,37067.71,0,15561.67,5,6,0.214,Midlands,0
51-65,31962.2,5,12481.07,11,2,0.1896,Wales,0
36-50,38780.26,0,27678.99,12,1,0.434,Midlands,1
26-35,24527.98,4,1000.0,11,5,0.5232,Midlands,1
36-50,46684.73,12,17940.73,3,6,0.386,Midlands,0
51-65,52052.72,0,14333.89,13,4,0.2993,North,0
51-65,63034.74,21,2474.84,6,6,0.467,Midlands,0
18-25,47354.07,24,31166.41,7,7,0.2189,South East,1
36-50,49043.72,1,1000.0,0,2,0.4464,London,0
36-50,37175.86,40,16212.55,5,5,0.2484,North,0
65+,26266.14,3,20284.62,5,2,0.2543,Midlands,0
36-50,34261.22,0,5249.39,10,6,0.2801,London,0
36-50,67705.27,0,17772.6,5,7,0.3079,Midlands,0
18-25,53413.46,5,12755.18,0,4,0.4298,Midlands,1
36-50,49333.15,9,24880.49,9,5,0.1635,Scotland,0
18-25,15000.0,4,50000.0,6,4,0.2475,London,0
51-65,47630.64,18,18385.94,4,4,0.3452,South East,0
51-65,18065.71,12,21040.48,8,2,0.3869,Scotland,0
36-50,19349.37,4,5248.44,0,4,0.1154,North,0
36-50,21365.65,13,17147.99,11,8,0.2252,South East,0
51-65,28089.0,28,11269.88,7,2,0.1102,Scotland,0
26-35,57001.01,0,22788.11,6,1,0.2361,Midlands,0
26-35,46078.66,3,1000.0,12,7,0.2675,Midlands,0
65+,25023.37,6,4264.89,5,2,0.3803,Wales,0
51-65,31546.66,6,26800.19,9,2,0.0451,Wales,0
51-65,50969.66,7,17099.88,7,3,0.3984,South East,0
26-35,54560.53,3,28238.25,24,5,0.2589,London,1
18-25,44405.4,11,18637.45,10,4,0.2791,South East,0
18-25,21345.17,10,20097.79,2,5,0.4366,London,0
26-35,34574.53,8,11904.97,16,6,0.4814,London,0
51-65,84857.85,1,13063.73,13,3,0.2414,Midlands,0
26-35,20204.27,6,24644.17,8,4,0.2406,Wales,0
51-65,48748.79,4,13567.64,5,4,0.2775,Scotland,0
26-35,80174.99,6,26835.35,1,4,0.24,Midlands,0
26-35,37077.28,25,13901.46,10,3,0.1478,Midlands,0
65+,75008.47,6,3203.61,4,5,0.3162,London,0
26-35,29621.68,0,2292.44,3,6,0.2408,South East,0
26-35,15000.0,5,13282.64,11,6,0.3317,London,0
26-35,31573.0,17,24157.4,15,2,0.525,North,0
18-25,28361.31,15,8349.08,5,6,0.3073,London,1
36-50,15000.0,7,22317.86,12,5,0.2293,Scotland,0
26-35,34485.92,2,16007.35,9,4,0.2873,North,1
36-50,59837.93,6,21062.1,9,6,0.3354,South East,0
51-65,31305.84,8,12103.13,3,1,0.3001,London,0
36-50,35231.94,40,16830.1,6,5,0.2525,North,0
18-25,66669.16,10,24387.43,2,2,0.1212,Wales,0
36-50,28531.12,11,14828.29,1,6,0.396,North,0
18-25,53140.7,6,9751.45,10,7,0.2128,South East,0
36-50,15000.0,4,1000.0,5,4,0.4955,North,1
36-50,24609.44,16,20415.32,3,4,0.2757,South East,1
26-35,38158.24,6,7283.45,1,7,0.258,Wales,0
51-65,63764.16,40,9794.51,0,2,0.2634,North,0
65+,25574.28,6,4291.43,0,6,0.338,North,0
51-65,25357.92,0,12699.15,8,2,0.216,Midlands,0
26-35,46902.34,11,35975.44,0,5,0.239,North,0
36-50,49791.96,0,18520.39,10,4,0.3947,South East,0
65+,23359.24,2,8558.62,10,3,0.1979,London,0
26-35,32605.88,4,10436.97,7,1,0.3858,Midlands,0
51-65,61559.89,13,1000.0,8,2,0.4193,Wales,0
18-25,20759.84,6,3693.88,6,3,0.4001,North,0
18-25,48146.58,0,2104.83,9,3,0.348,London,0
51-65,32684.4,9,17703.32,9,2,0.1035,Scotland,0
51-65,67246.47,5,19467.12,14,8,0.1747,South East,0
51-65,52447.56,25,15775.98,15,5,0.1574,South East,0
65+,57850.13,6,18698.41,15,4,0.2746,South East,0
18-25,32323.49,12,7337.97,4,2,0.3237,Midlands,0
26-35,56841.27,2,3517.23,11,6,0.1771,Midlands,0
65+,56372.59,14,3453.83,10,4,0.2993,Midlands,0
26-35,51350.8,12,3010.74,4,4,0.4021,North,0
36-50,36913.03,23,18586.75,3,3,0.2002,South East,0
36-50,44926.9,0,35136.98,6,3,0.2218,North,0
18-25,15000.0,5,4527.26,2,5,0.4617,South East,1
26-35,73662.08,11,11580.54,1,4,0.2087,North,0
36-50,31129.39,1,17028.93,10,3,0.3611,North,1
51-65,35972.69,5,12209.92,8,2,0.4687,North,0
51-65,18279.63,28,18329.5,8,4,0.1782,Midlands,0
36-50,54112.11,5,9246.09,12,3,0.1872,North,0
36-50,51525.78,40,8196.65,7,5,0.2922,London,0
26-35,36680.71,0,13176.6,12,4,0.3281,Scotland,0
18-25,15000.0,12,18265.61,4,2,0.243,London,0
36-50,29192.0,8,27824.92,4,1,0.5566,London,1
18-25,50280.41,6,18766.35,8,6,0.3846,Midlands,1
26-35,46525.59,35,12478.43,18,3,0.2235,North,0
36-50,41168.37,1,23307.94,14,2,0.1561,London,0
36-50,34368.94,22,25001.01,13,2,0.3124,Wales,0
18-25,15000.0,11,11966.53,1,4,0.3727,Wales,1
36-50,59349.67,2,13540.47,8,5,0.5409,North,0
36-50,16077.82,23,10728.97,12,5,0.3291,Midlands,0
18-25,38323.51,5,23209.03,18,3,0.2909,North,0
65+,23371.96,16,15741.91,0,3,0.2028,South East,0
18-25,59886.41,4,1000.0,11,2,0.3644,Midlands,0
51-65,52476.49,19,19061.59,13,3,0.442,Wales,0
18-25,35570.36,10,29896.35,10,4,0.1055,Wales,0
51-65,54441.31,1,30686.02,1,6,0.329,Wales,0
18-25,15148.69,10,10208.93,9,3,0.1976,South East,0
51-65,40569.04,2,8033.9,10,5,0.1571,South East,0
26-35,23012.46,5,33978.68,8,5,0.5233,South East,0
51-65,60451.14,1,30667.04,4,4,0.4265,Midlands,0
36-50,48737.21,0,19673.03,3,4,0.2473,South East,0
18-25,53698.97,2,1000.0,10,2,0.3006,Midlands,0
51-65,32041.64,7,8936.79,4,4,0.2819,North,0
18-25,55406.6,6,4064.41,4,3,0.1849,North,0
65+,21894.35,6,33123.56,7,6,0.2551,North,0
18-25,24476.54,2,1000.0,8,3,0.4141,Scotland,0
36-50,38847.18,11,33036.49,13,1,0.2521,London,0
51-65,25174.98,12,13944.75,2,3,0.3757,London,0
26-35,54772.89,4,3023.01,1,3,0.253,North,0
26-35,33477.79,21,24867.98,6,5,0.1779,Midlands,0
51-65,22548.13,10,21294.94,0,6,0.4633,Midlands,0
51-65,20216.73,12,2337.77,10,8,0.0644,London,0
65+,54553.08,3,14747.57,0,3,0.5342,South East,1
26-35,15000.0,0,28755.68,11,2,0.4398,North,1
36-50,23801.3,20,10900.96,13,6,0.3419,Scotland,0
26-35,67252.29,17,31797.28,9,4,0.2665,Wales,0
26-35,35801.46,1,7552.17,0,7,0.2758,Midlands,0
51-65,54896.16,4,1000.0,8,3,0.3443,Midlands,0
26-35,49694.99,10,15452.16,4,6,0.3422,Scotland,1
36-50,38564.26,10,1000.0,1,7,0.2049,Midlands,0
36-50,15000.0,19,16248.87,10,3,0.3281,Midlands,0
51-65,18134.34,1,15051.43,11,2,0.351,Wales,0
65+,17831.05,5,7410.73,14,4,0.2839,North,1
36-50,50676.91,1,33786.82,6,5,0.5887,Wales,1
36-50,54052.45,4,14960.24,8,6,0.3039,South East,0
51-65,26181.34,0,23643.65,16,6,0.1084,Midlands,0
36-50,40582.11,22,24287.18,18,4,0.1988,Scotland,0
18-25,42146.06,7,32610.11,13,6,0.4044,London,1
18-25,43407.51,18,2905.81,6,2,0.2333,North,0
18-25,28284.24,0,1000.0,8,4,0.2007,South East,0
36-50,71485.0,2,32240.21,7,2,0.4874,Scotland,1
51-65,54201.74,3,20811.21,11,3,0.3404,North,0
26-35,43315.51,4,16263.11,3,4,0.2479,South East,0
26-35,32661.06,16,13667.02,9,4,0.0,Midlands,0
65+,26995.77,4,11893.53,9,8,0.3944,North,0
51-65,49162.11,2,23611.66,9,2,0.3219,North,0
36-50,33472.1,0,1000.0,2,6,0.4761,Midlands,0
26-35,44407.17,0,19773.31,9,3,0.1886,Scotland,0
18-25,15000.0,14,25313.16,16,3,0.2752,Midlands,0
18-25,32463.71,5,22432.52,5,5,0.3558,Midlands,1
18-25,40036.42,12,14286.09,9,3,0.4707,London,0
26-35,59420.62,11,14973.38,0,6,0.351,Wales,0
36-50,25398.17,1,27856.93,9,6,0.2351,South East,1
18-25,15255.0,1,20819.2,9,4,0.4757,Midlands,1
18-25,50005.0,14,32551.81,8,2,0.2825,Scotland,0
26-35,40846.98,12,1000.0,11,5,0.3416,South East,0
36-50,15000.0,4,24067.16,6,5,0.4101,Midlands,0
36-50,15000.0,0,6887.31,13,2,0.5076,South East,1
36-50,30356.23,0,14270.89,3,3,0.3643,North,0
26-35,40492.55,3,28760.06,15,5,0.6305,Midlands,0
26-35,67007.13,0,4976.48,9,7,0.3093,Scotland,0
18-25,22539.49,2,36156.13,7,7,0.3552,Scotland,1
26-35,51697.99,5,26056.61,0,1,0.2458,North,0
51-65,15000.0,1,20792.13,2,2,0.3587,North,0
65+,48497.3,1,5679.63,9,3,0.3557,Midlands,0
36-50,69118.53,22,13202.74,4,8,0.4455,Midlands,0
65+,44550.68,8,11416.22,12,7,0.3733,North,0
36-50,29973.04,27,2676.87,9,6,0.2567,Wales,0
18-25,64185.65,4,25937.66,0,5,0.3508,Midlands,0
65+,48279.87,11,10956.35,11,2,0.2393,South East,0
18-25,44764.7,2,13244.52,7,2,0.3859,Midlands,0
36-50,23680.81,9,13749.63,7,2,0.2529,Midlands,0
26-35,48547.86,1,12858.24,13,1,0.1522,London,0
26-35,29675.11,0,20304.59,1,3,0.1844,Midlands,0
36-50,47605.96,26,8773.27,2,3,0.179,Midlands,0
36-50,42873.7,8,25183.19,9,3,0.2566,North,0
26-35,61514.1,26,9040.53,0,2,0.2183,Midlands,0
26-35,31631.89,4,14714.74,4,6,0.3173,North,0
26-35,39311.76,3,1934.06,12,4,0.273,Scotland,0
65+,56369.64,5,25716.64,7,7,0.3819,Wales,0
51-65,37751.32,12,28258.21,1,4,0.3659,North,0
36-50,41612.53,8,22158.72,8,7,0.2811,London,0
26-35,34678.84,25,16704.14,5,1,0.4691,Wales,1
51-65,39054.37,0,14638.56,4,5,0.2088,North,0
26-35,54077.24,12,1000.0,25,5,0.4408,South East,0
26-35,75046.42,4,1452.58,10,4,0.3387,London,0
26-35,15000.0,1,22504.96,6,4,0.2727,London,0
51-65,19229.66,7,13192.25,12,10,0.4555,South East,0
18-25,39453.43,7,1407.75,6,1,0.3869,London,0
18-25,42893.59,1,1000.0,5,5,0.1909,Wales,0
36-50,38082.27,2,21349.13,9,3,0.3637,Midlands,0
26-35,32040.99,5,23739.74,10,4,0.3636,North,0
36-50,19817.56,5,1000.0,12,5,0.4409,Scotland,0
