age_group,income,employment_length,loan_amount,credit_history_length,num_open_accounts,debt_to_income,region,defaulted
51-65,38964.11,8,25297.83,15,2,0.5255,North,0
51-65,54577.38,14,19114.53,0,5,0.4013,London,0
36-50,15000.0,3,19766.27,5,3,0.1831,North,0
65+,39824.18,6,14863.06,0,2,0.4245,Scotland,0
26-35,36239.67,26,10680.04,14,1,0.1379,Wales,0
36-50,15000.0,6,27999.67,1,4,0.3529,North,1
51-65,15000.0,40,21542.47,9,6,0.4772,London,0
26-35,41919.81,1,13191.41,1,3,0.2919,London,0
26-35,36606.95,12,24943.87,5,3,0.4089,Scotland,0
65+,46857.0,10,30101.29,3,4,0.2897,South East,0
18-25,15000.0,20,18660.48,7,5,0.2142,North,0
26-35,51041.21,0,30514.12,18,2,0.4532,Wales,0
26-35,51151.92,3,10228.18,0,1,0.5367,Scotland,1
18-25,15000.0,1,6003.69,2,2,0.5363,Scotland,0
51-65,56119.93,27,11570.27,10,9,0.3438,Scotland,0
26-35,61856.13,5,15412.46,7,4,0.0536,North,0
26-35,15000.0,24,30553.75,1,1,0.3932,Scotland,0
51-65,36614.66,3,11190.69,5,5,0.5704,Midlands,0
26-35,37972.83,1,18842.37,0,3,0.1828,Wales,0
36-50,15000.0,3,26009.69,5,2,0.6471,Midlands,1
51-65,30049.4,9,19674.44,3,5,0.0712,North,0
51-65,56061.55,18,10064.35,9,5,0.4396,Midlands,0
51-65,22100.38,4,2213.88,11,1,0.5045,London,0
18-25,62429.93,24,27188.65,0,3,0.6002,North,1
18-25,40528.22,2,4475.09,8,7,0.4489,Midlands,0
26-35,23129.36,11,11213.37,0,8,0.3312,North,1
18-25,35676.83,13,15339.42,8,4,0.4052,North,0
36-50,15000.0,3,27634.34,15,5,0.2776,North,0
26-35,41423.52,0,24977.08,6,4,0.0815,South East,0
36-50,32116.09,4,16483.43,9,1,0.3437,North,0
26-35,28606.87,0,27127.79,11,7,0.4537,Scotland,0
26-35,15000.0,23,29326.96,11,3,0.5339,Midlands,0
26-35,33786.12,30,10233.26,12,4,0.3071,North,0
18-25,38076.94,13,11068.01,10,3,0.6016,North,0
36-50,15000.0,12,22491.94,4,4,0.3548,Scotland,1
36-50,51216.91,2,31969.97,11,6,0.4518,North,0
51-65,39168.75,0,8051.64,15,5,0.4919,London,0
51-65,22275.31,16,1000.0,10,4,0.388,Scotland,0
36-50,33568.62,8,21495.97,8,4,0.3664,Scotland,1
36-50,47553.93,11,28643.35,0,2,0.6136,Scotland,0
18-25,55544.62,15,16294.81,2,6,0.1251,North,0
18-25,58804.28,5,41340.25,4,5,0.3864,Scotland,1
51-65,62003.43,1,6628.47,2,6,0.1048,North,0
18-25,15044.07,15,7578.1,7,8,0.1104,Scotland,1
26-35,24349.64,6,7442.32,3,3,0.372,Scotland,0
18-25,15000.0,17,15870.99,12,7,0.3011,Scotland,1
18-25,51364.69,5,16100.11,6,4,0.6918,North,1
51-65,32406.84,2,7302.21,2,5,0.342,Scotland,0
26-35,53940.92,1,26233.34,3,3,0.5503,London,0
26-35,15000.0,13,17678.06,8,4,0.3877,London,0
18-25,24662.25,8,4651.82,6,5,0.1998,North,0
36-50,23025.88,5,21137.32,8,9,0.1156,North,0
36-50,53576.39,6,10796.4,6,4,0.1754,South East,0
26-35,45511.51,7,16015.77,16,6,0.4292,North,0
51-65,15000.0,2,23873.16,12,4,0.6196,London,0
18-25,28008.04,4,24991.09,3,5,0.2429,North,0
36-50,49391.48,3,24165.65,0,4,0.5057,Scotland,1
36-50,51702.91,4,15496.98,6,5,0.3527,Scotland,1
65+,41204.63,6,5252.01,2,3,0.2203,Midlands,0
18-25,37710.94,1,11813.87,0,2,0.4332,Wales,0
18-25,21040.4,5,15231.94,11,3,0.6187,North,0
26-35,51052.86,4,30461.82,7,5,0.3687,Scotland,0
18-25,17046.14,3,9739.27,13,1,0.5044,North,0
18-25,15000.0,40,17017.56,7,2,0.4263,Wales,0
26-35,38114.98,0,2670.37,6,4,0.4266,Scotland,0
26-35,28351.28,10,18405.32,1,5,0.2595,North,0
65+,45853.16,1,14545.74,4,1,0.4536,Midlands,0
18-25,42267.57,18,13707.74,0,2,0.1607,North,1
65+,60616.55,24,23466.28,13,4,0.4342,North,1
51-65,41068.23,5,8142.56,1,1,0.5859,North,0
51-65,50897.43,17,29008.79,9,6,0.6506,Midlands,1
65+,22229.63,2,7403.88,6,3,0.2237,Midlands,0
51-65,45673.9,1,28660.54,9,8,0.4463,North,1
51-65,30851.03,3,1000.0,8,4,0.2742,Scotland,0
26-35,27590.29,4,18058.44,1,3,0.4011,Scotland,0
36-50,21462.19,5,21102.97,6,4,0.6683,London,0
65+,58135.56,4,11402.51,14,4,0.5117,South East,0
26-35,34896.79,5,17777.83,3,4,0.2821,London,0
18-25,23173.77,12,11364.06,13,6,0.2737,London,0
51-65,45171.2,2,19477.59,11,5,0.3825,South East,0
36-50,28400.69,0,17503.62,8,3,0.3927,Scotland,0
51-65,23023.29,6,37169.31,4,3,0.3999,Wales,0
18-25,78532.56,5,1214.18,9,5,0.1566,Midlands,0
36-50,16868.41,0,17009.27,5,6,0.6799,North,1
18-25,62976.61,1,10791.94,13,4,0.6947,North,0
65+,22844.21,7,16245.62,1,6,0.4519,Wales,0
18-25,44390.05,2,13641.45,9,6,0.2495,Wales,0
51-65,33475.96,21,11514.83,8,3,0.286,London,0
18-25,46046.21,1,9769.44,9,4,0.2387,South East,0
18-25,15000.0,0,22143.78,11,6,0.2252,London,0
18-25,15000.0,5,11268.68,3,2,0.2849,North,0
26-35,46504.14,40,14782.75,3,2,0.4433,North,0
36-50,15000.0,10,16857.51,9,4,0.3993,Midlands,0
18-25,17470.57,4,7754.78,12,3,0.6086,Scotland,0
26-35,33654.2,0,21092.78,6,5,0.1515,North,0
18-25,15587.72,6,5413.58,15,4,0.2479,Wales,0
51-65,17499.6,2,19933.39,6,5,0.08,London,0
18-25,28834.12,10,19018.87,4,5,0.4017,London,0
26-35,15000.0,8,13669.81,10,5,0.6201,Midlands,0
36-50,15000.0,3,4051.45,5,4,0.3091,London,0
65+,55102.0,0,15067.39,5,6,0.5848,Scotland,1
51-65,49353.67,14,4676.49,9,5,0.4841,London,1
51-65,68977.23,8,13880.08,12,3,0.51,Scotland,0
18-25,43921.08,18,22888.97,9,4,0.4679,London,0
51-65,54524.25,3,14845.53,8,2,0.6505,South East,0
51-65,28677.01,10,27540.35,17,2,0.35,Scotland,0
65+,32193.22,1,17950.84,11,4,0.483,Wales,0
26-35,41193.59,3,22733.06,6,2,0.6568,Midlands,1
65+,15000.0,10,22167.12,13,7,0.2265,Wales,0
26-35,43186.59,17,29071.14,6,5,0.3477,North,1
36-50,25642.76,3,1948.86,11,5,0.4662,Midlands,0
26-35,28157.98,16,9770.09,10,4,0.2512,Scotland,0
26-35,49958.9,11,15278.98,8,6,0.2449,Midlands,0
36-50,15000.0,4,23006.81,4,3,0.6845,Midlands,1
26-35,35827.46,20,16683.67,7,2,0.2582,North,0
51-65,41717.73,7,14935.86,5,2,0.325,Midlands,0
36-50,27044.77,10,25303.82,9,4,0.4124,South East,0
36-50,35559.9,6,11622.76,10,4,0.4443,London,0
18-25,36281.49,6,11157.55,0,2,0.2982,Scotland,0
65+,48461.53,18,20208.14,9,7,0.3488,North,0
36-50,32263.77,3,38940.2,22,3,0.2297,Midlands,0
18-25,16215.53,0,14802.91,6,5,0.2969,Scotland,1
51-65,26331.36,21,8538.53,12,3,0.4843,Midlands,0
18-25,29768.32,17,9330.69,11,3,0.516,North,0
18-25,22985.44,4,11340.89,0,4,0.5327,Wales,0
36-50,37841.28,2,28260.46,10,8,0.3793,Scotland,0
36-50,37124.16,11,11339.49,3,2,0.3505,North,0
18-25,36347.84,0,18045.81,7,3,0.1838,North,0
26-35,21537.24,5,14080.45,0,7,0.3266,Midlands,0
65+,36946.87,0,1868.54,10,2,0.406,North,0
26-35,54324.51,9,11722.91,6,5,0.5432,South East,1
18-25,39418.29,0,1000.0,14,3,0.09,Midlands,0
65+,51084.92,9,16751.01,1,4,0.3295,South East,0
26-35,36633.77,11,19895.45,12,3,0.0401,London,0
36-50,25441.14,6,6543.99,10,4,0.1394,North,0
18-25,47905.09,1,9579.05,3,4,0.5776,Scotland,1
36-50,15000.0,1,1594.81,0,1,0.1847,London,0
26-35,26625.49,3,1000.0,6,3,0.3962,South East,0
65+,32880.69,6,1000.0,9,5,0.5339,North,0
26-35,44791.51,10,21520.04,2,3,0.3098,North,0
36-50,54118.55,0,11857.29,3,4,0.1964,South East,0
65+,47697.07,12,17093.7,12,6,0.3979,London,0
65+,46191.91,12,35409.47,4,2,0.614,North,0
18-25,47969.01,5,24987.89,10,1,0.5289,Scotland,0
51-65,50059.83,4,20390.36,14,7,0.3427,London,0
26-35,17935.58,18,10152.68,3,3,0.2964,Midlands,1
36-50,68072.08,15,30593.92,1,4,0.5535,North,1
26-35,51645.79,40,27352.54,12,5,0.1608,South East,0
26-35,32285.26,4,23931.29,6,3,0.5205,South East,0
18-25,40569.6,23,14950.8,5,2,0.3004,North,0
36-50,15298.19,0,5754.65,15,6,0.1569,Wales,0
36-50,31102.44,5,30173.16,6,6,0.115,Midlands,0
18-25,29868.15,6,23705.15,9,5,0.6253,North,1
36-50,28633.92,5,12964.3,0,3,0.3498,Midlands,0
65+,47216.36,9,12232.28,7,3,0.2459,Scotland,0
36-50,36564.03,1,2784.25,3,1,0.3734,London,0
26-35,17084.2,20,22603.59,5,4,0.2942,North,0
65+,17367.38,8,16704.83,5,5,0.2992,Scotland,0
36-50,15000.0,23,18977.57,14,9,0.3056,Wales,0
18-25,48195.7,0,24302.98,4,2,0.3812,North,0
36-50,31630.78,9,22219.46,5,3,0.4936,Midlands,0
18-25,46320.19,5,6250.19,15,6,0.1507,Midlands,0
51-65,82101.07,7,15223.78,6,6,0.5826,Midlands,0
65+,21517.23,13,19128.0,4,4,0.2383,North,0
26-35,39904.61,2,19882.48,13,8,0.4184,Scotland,1
26-35,56647.95,2,1000.0,8,5,0.3713,Scotland,1
26-35,27665.11,12,4939.68,8,7,0.259,Midlands,0
26-35,29911.7,7,21573.44,9,5,0.5503,North,0
51-65,42954.84,2,21420.91,14,6,0.2609,Wales,0
36-50,73143.45,6,31096.88,2,5,0.5928,Wales,0
18-25,44545.53,6,1000.0,13,2,0.4802,North,0
51-65,22358.04,11,23976.16,0,1,0.2676,North,0
18-25,24171.82,0,18763.33,3,5,0.2002,North,0
65+,27673.9,8,4490.91,3,1,0.5398,South East,0
26-35,15000.0,9,1000.0,7,1,0.2088,South East,0
36-50,32609.97,13,24409.11,4,1,0.36,North,0
18-25,35111.99,22,5164.69,14,4,0.4845,South East,0
26-35,35690.84,5,1858.42,10,2,0.4495,North,0
51-65,15000.0,4,19535.31,7,1,0.3496,North,0
26-35,40179.55,1,14903.37,3,3,0.2706,North,1
65+,20240.72,4,20746.32,15,8,0.4883,London,0
36-50,31415.96,0,19305.82,8,5,0.0979,London,0
65+,23861.07,16,48454.75,6,4,0.4189,London,1
65+,52319.84,16,22235.02,7,2,0.1855,South East,0
26-35,24722.02,5,21595.75,6,3,0.2484,Wales,0
36-50,55184.09,3,6177.39,12,5,0.4352,Midlands,0
51-65,37044.64,1,30623.59,13,5,0.2676,Midlands,0
18-25,41297.85,19,9946.77,3,1,0.5536,London,0
51-65,36249.17,20,5896.07,4,4,0.486,North,0
36-50,22216.01,3,12885.08,4,1,0.2754,North,0
36-50,41090.29,9,19401.07,9,7,0.3462,South East,0
18-25,28551.02,2,10381.73,12,4,0.2145,Wales,0
51-65,39764.14,2,6235.69,1,1,0.4509,Scotland,1
26-35,44058.82,0,6022.28,2,1,0.6152,South East,0
51-65,63606.55,8,17057.15,6,7,0.2007,North,0
36-50,42063.16,1,20603.26,10,1,0.4083,North,0
26-35,49349.38,0,21423.63,3,4,0.4285,Midlands,1
65+,44907.93,1,1000.0,6,9,0.1925,Scotland,0
51-65,31625.21,3,6694.21,4,3,0.2287,London,0
65+,45186.58,11,24312.12,11,5,0.1088,Midlands,0
26-35,33135.82,2,10757.87,7,3,0.4641,Midlands,0
36-50,28806.26,21,17026.45,4,1,0.326,North,0
36-50,18652.3,3,41263.1,2,5,0.2712,Scotland,1
36-50,44790.85,4,1000.0,6,4,0.6896,South East,1
18-25,26477.62,2,13707.55,6,7,0.1097,London,0
26-35,44426.74,2,22079.24,12,3,0.5728,North,0
65+,35070.31,0,5182.58,13,4,0.0569,South East,0
26-35,30737.19,3,13651.3,2,8,0.3019,London,0
65+,22046.38,19,2997.51,12,3,0.1252,Midlands,0
18-25,54511.82,11,20777.93,11,5,0.257,South East,1
65+,29110.39,20,8289.13,5,9,0.2989,Midlands,0
36-50,58798.74,1,10692.99,11,4,0.2735,South East,0
51-65,22726.82,6,23967.31,4,7,0.4175,London,1
26-35,57615.12,2,20561.05,10,4,0.5117,North,1
65+,36259.12,12,24733.74,20,5,0.363,London,0
36-50,47910.95,35,32575.05,9,5,0.4285,Wales,1
36-50,15491.79,16,15736.8,6,1,0.6141,Midlands,1
18-25,15419.64,0,36166.79,1,5,0.2753,North,1
36-50,38870.05,3,16936.71,8,4,0.5156,Scotland,1
51-65,19791.92,0,28176.37,12,4,0.7588,Midlands,0
18-25,54934.83,0,14711.99,4,6,0.6521,Scotland,1
36-50,40460.07,0,23403.5,10,3,0.6244,Scotland,0
18-25,25337.35,3,10730.91,6,3,0.4892,South East,0
65+,21199.39,3,28394.34,6,7,0.5527,Wales,0
65+,30671.99,5,26510.22,10,3,0.3074,London,0
26-35,26482.57,5,12863.6,0,4,0.3678,South East,0
18-25,42429.36,14,16562.28,7,2,0.3504,Scotland,0
36-50,33848.87,1,5558.13,12,5,0.2805,South East,0
18-25,52525.64,1,24300.49,7,6,0.402,North,0
26-35,44483.31,9,23406.01,8,2,0.3013,Scotland,1
26-35,21995.31,8,2673.72,7,5,0.3893,Wales,0
26-35,28616.67,1,36714.9,17,3,0.1729,North,1
18-25,22032.33,19,18975.61,9,4,0.3,Wales,0
18-25,22045.77,3,12677.15,1,6,0.5773,Midlands,0
18-25,15000.0,4,26987.06,3,1,0.4092,South East,0
36-50,49118.74,5,9779.59,8,3,0.5802,North,1
36-50,54384.8,3,28069.64,14,4,0.2892,North,1
18-25,20186.65,8,3237.43,11,6,0.3428,North,1
36-50,18676.28,4,12780.75,12,4,0.4122,North,0
51-65,43413.92,3,14125.78,2,3,0.3508,Midlands,0
26-35,22709.37,23,9559.56,11,5,0.1709,North,0
51-65,54111.13,3,7632.68,4,3,0.465,Wales,0
36-50,24248.83,11,10131.49,7,4,0.2322,North,0
18-25,15000.0,4,9676.69,12,1,0.3784,South East,0
26-35,33046.07,5,10309.23,5,5,0.0604,Scotland,0
36-50,26115.28,2,29342.03,0,3,0.2827,Midlands,0
36-50,37209.29,13,19333.61,6,2,0.3611,Scotland,0
26-35,29766.32,13,14119.35,8,4,0.4642,London,0
