sol,earth_date,min_temp_c,max_temp_c,pressure_pa,wind_speed_ms,uv_index,instrument_status
99,2024-04-08,-52.1,13.5,791.8,31.3,7,nominal
100,2024-04-09,-44.1,8.8,835.5,8.4,,nominal
101,2024-04-10,-65.7,9.0,710.0,29.5,2,nominal
102,2024-04-11,-56.0,0.2,732.4,18.5,0,warning
103,2024-04-12,-50.2,11.1,931.5,32.5,9,offline
104,2024-04-13,-56.3,4.4,832.3,,4,nominal
105,2024-04-14,-57.8,-1.8,873.4,32.3,5,nominal
106,2024-04-15,-47.1,16.7,718.1,13.7,11,nominal
107,2024-04-16,-54.3,15.3,771.9,19.2,8,nominal
108,2024-04-17,-63.4,13.8,913.6,5.5,3,nominal
109,2024-04-18,,13.2,801.4,23.6,1,warning
110,2024-04-19,-49.7,,,31.4,11,warning
111,2024-04-20,-60.8,-1.7,717.5,10.7,10,nominal
112,2024-04-21,-63.2,-2.9,890.2,11.2,9,nominal
113,2024-04-22,-53.3,,740.6,20.0,9,nominal
114,2024-04-23,-50.2,7.8,734.8,24.9,7,nominal
115,2024-04-24,-38.4,9.3,706.5,19.8,3,nominal
116,2024-04-25,-45.3,,949.2,12.0,6,nominal
117,2024-04-26,-45.0,-1.3,810.4,27.8,10,nominal
118,2024-04-27,-63.8,-3.6,727.6,28.4,2,warning
119,2024-04-28,-54.1,15.5,761.5,21.7,7,nominal
120,2024-04-29,-40.0,5.9,910.2,15.5,4,nominal
121,2024-04-30,-49.5,16.1,787.2,13.5,11,nominal
122,2024-05-01,-66.4,0.3,878.3,9.0,2,nominal
123,2024-05-02,-53.6,5.5,651.3,19.9,,nominal
124,2024-05-03,-66.3,11.9,717.8,30.1,,nominal
125,2024-05-04,-37.9,5.0,806.0,19.5,6,warning
126,2024-05-05,-37.9,,770.9,10.6,11,nominal
127,2024-05-06,-42.5,,841.9,26.8,,nominal
128,2024-05-07,-62.7,4.9,,11.2,11,nominal
129,2024-05-08,-50.5,9.4,859.9,16.1,1,nominal
130,2024-05-09,-60.1,,806.6,9.5,11,nominal
131,2024-05-10,-56.1,-6.0,851.1,30.6,9,warning
132,2024-05-11,-38.8,10.1,786.6,32.6,4,nominal
133,2024-05-12,-45.6,4.7,684.2,28.8,0,nominal
134,2024-05-13,-47.2,16.1,677.3,27.6,2,nominal
135,2024-05-14,-41.8,10.4,888.4,6.5,11,warning
136,2024-05-15,,11.2,703.6,14.4,5,nominal
137,2024-05-16,-38.1,-2.9,772.6,4.3,4,nominal
138,2024-05-17,-48.8,18.7,850.0,13.0,8,warning
139,2024-05-18,,4.0,900.7,19.6,9,nominal
140,2024-05-19,-60.7,13.2,745.1,12.7,4,nominal
141,2024-05-20,-52.3,8.7,,17.6,,nominal
142,2024-05-21,-49.1,15.1,886.2,31.5,10,nominal
143,2024-05-22,-40.8,14.9,901.9,12.5,9,nominal
144,2024-05-23,-58.8,3.1,,31.4,4,nominal
145,2024-05-24,-43.9,12.6,680.5,20.7,3,nominal
146,2024-05-25,-62.2,4.9,926.2,27.4,9,nominal
147,2024-05-26,-50.4,7.9,662.7,30.2,9,nominal
148,2024-05-27,-40.9,-2.8,845.3,20.3,5,nominal
149,2024-05-28,-53.4,3.2,736.1,26.2,2,nominal
150,2024-05-29,-55.9,13.1,813.8,8.5,3,nominal
151,2024-05-30,-36.0,-0.8,810.4,21.0,11,nominal
152,2024-05-31,-45.0,,807.6,28.1,6,nominal
153,2024-06-01,-42.7,-1.2,733.3,9.2,0,warning
154,2024-06-02,-46.7,11.7,815.7,8.3,10,nominal
155,2024-06-03,-63.8,4.4,772.0,25.2,10,nominal
156,2024-06-04,-39.3,5.9,714.5,20.4,11,nominal
157,2024-06-05,-59.3,6.1,941.7,3.6,2,warning
158,2024-06-06,-47.6,1.3,745.7,22.5,2,nominal
159,2024-06-07,-45.2,7.2,818.2,11.9,11,nominal
160,2024-06-08,-48.8,5.0,751.0,27.6,10,nominal
161,2024-06-09,-48.2,13.7,840.8,4.4,,nominal
162,2024-06-10,-38.5,,884.7,4.3,4,nominal
163,2024-06-11,-49.8,7.1,734.6,20.3,5,nominal
164,2024-06-12,-46.2,0.2,834.3,7.1,10,nominal
165,2024-06-13,-52.0,,666.9,21.2,0,nominal
166,2024-06-14,-62.9,15.5,918.4,12.8,,nominal
167,2024-06-15,-43.4,-3.4,868.7,1.8,1,nominal
168,2024-06-16,-42.1,5.9,763.2,20.2,7,nominal
169,2024-06-17,-36.2,-1.4,847.7,27.7,11,nominal
170,2024-06-18,-64.9,9.9,805.4,28.6,4,nominal
171,2024-06-19,-49.6,-1.0,710.3,25.1,3,nominal
172,2024-06-20,-35.2,6.5,808.7,8.7,1,nominal
173,2024-06-21,-45.3,-2.5,829.5,27.1,5,nominal
174,2024-06-22,-54.1,2.9,771.9,0.4,3,nominal
175,2024-06-23,-55.1,7.0,776.8,23.5,7,nominal
176,2024-06-24,-38.3,-0.1,863.0,19.2,11,nominal
177,2024-06-25,-41.9,0.3,653.7,8.3,8,nominal
178,2024-06-26,,-1.7,792.8,3.3,5,nominal
179,2024-06-27,-42.3,-1.5,690.0,17.7,,nominal
179,2024-06-27,-42.3,-1.5,690.0,17.7,,nominal
180,2024-06-28,-42.2,0.8,721.3,7.8,10,nominal
181,2024-06-29,-63.9,11.2,672.7,29.9,10,nominal
182,2024-06-30,-54.1,11.3,892.1,16.4,6,nominal
183,2024-07-01,-47.0,7.5,682.9,6.0,1,nominal
184,2024-07-02,-61.5,0.7,884.3,22.7,,warning
185,2024-07-03,-63.8,9.2,689.0,20.1,0,nominal
186,2024-07-04,-36.0,10.8,903.9,23.1,4,nominal
187,2024-07-05,-52.8,-1.6,814.9,24.4,9,nominal
188,2024-07-06,-63.1,4.3,679.5,2.0,8,nominal
189,2024-07-07,-47.2,16.8,799.0,,1,nominal
189,2024-07-07,-47.2,16.8,799.0,,1,nominal
190,2024-07-08,-44.9,5.6,765.5,27.9,11,nominal
191,2024-07-09,-41.1,17.5,890.2,19.0,6,nominal
192,2024-07-10,-48.9,1.2,640.4,24.1,0,nominal
193,2024-07-11,-53.0,-2.6,766.2,19.5,4,nominal
194,2024-07-12,-52.9,14.3,782.9,13.1,8,nominal
195,2024-07-13,-39.7,11.1,862.2,15.5,11,nominal
196,2024-07-14,-44.8,-4.1,754.3,21.2,1,nominal
197,2024-07-15,-47.1,12.7,916.4,14.2,10,nominal
198,2024-07-16,-50.6,-5.2,892.1,30.2,8,nominal
199,2024-07-17,-45.2,3.5,833.1,31.7,1,nominal
200,2024-07-18,-43.4,-3.8,663.3,11.0,8,nominal
201,2024-07-19,-37.6,8.8,714.3,14.8,1,nominal
202,2024-07-20,-39.3,14.8,808.1,23.5,6,nominal
203,2024-07-21,-38.7,15.9,779.9,10.4,6,nominal
204,2024-07-22,-55.1,7.7,845.3,10.7,4,nominal
205,2024-07-23,-56.3,-0.2,806.8,8.3,11,warning
206,2024-07-24,-57.8,0.0,884.8,28.0,5,nominal
207,2024-07-25,-65.6,15.7,921.4,28.4,5,nominal
208,2024-07-26,-60.3,13.3,787.0,15.0,9,nominal
209,2024-07-27,-54.1,11.3,,32.4,11,nominal
210,2024-07-28,-56.1,9.4,710.9,19.7,3,nominal
211,2024-07-29,-44.9,3.4,889.0,11.7,2,nominal
212,2024-07-30,-58.9,,746.6,7.7,11,nominal
213,2024-07-31,-47.1,,726.7,18.0,4,nominal
214,2024-08-01,-58.5,14.9,660.5,25.8,4,nominal
215,2024-08-02,-55.6,10.8,812.9,20.9,10,nominal
216,2024-08-03,-43.0,5.0,654.4,22.0,7,nominal
217,2024-08-04,-47.9,3.9,902.7,6.1,5,nominal
218,2024-08-05,-39.7,13.2,,26.2,8,nominal
219,2024-08-06,-38.2,11.1,653.8,,1,nominal
220,2024-08-07,-43.5,-4.4,708.2,8.5,10,nominal
221,2024-08-08,-41.3,-5.8,828.1,29.7,5,nominal
222,2024-08-09,-38.1,6.9,805.9,17.7,11,nominal
223,2024-08-10,-52.2,,655.2,13.3,6,nominal
224,2024-08-11,,6.7,834.3,18.8,,nominal
225,2024-08-12,-55.5,3.5,795.7,16.0,2,warning
226,2024-08-13,-59.6,12.3,900.2,28.4,10,nominal
227,2024-08-14,-61.4,0.4,,,4,warning
228,2024-08-15,-61.4,-4.4,707.2,25.7,11,nominal
229,2024-08-16,-43.0,17.9,765.1,28.1,5,nominal
230,2024-08-17,-53.0,-2.3,878.1,28.9,0,nominal
231,2024-08-18,-37.3,-2.2,845.8,7.2,10,nominal
232,2024-08-19,-66.0,16.2,781.1,12.1,10,nominal
233,2024-08-20,-48.3,,,12.8,1,nominal
234,2024-08-21,-49.5,1.9,650.9,9.3,1,warning
235,2024-08-22,-48.1,10.1,861.1,8.4,3,nominal
236,2024-08-23,-61.7,9.7,730.7,8.7,0,nominal
237,2024-08-24,-51.3,0.5,763.3,30.7,9,nominal
238,2024-08-25,-54.0,11.7,774.2,26.7,0,nominal
239,2024-08-26,-51.6,1.9,779.2,19.6,8,nominal
240,2024-08-27,-65.8,13.1,660.5,30.9,3,nominal
241,2024-08-28,-52.1,9.6,698.0,15.8,9,warning
242,2024-08-29,-65.6,12.0,639.0,21.5,6,nominal
243,2024-08-30,-43.0,-6.1,685.1,20.4,1,warning
244,2024-08-31,-39.7,5.8,787.4,27.2,10,nominal
245,2024-09-01,-62.8,1.8,720.8,9.6,9,nominal
246,2024-09-02,-56.0,7.5,866.9,14.6,3,nominal
247,2024-09-03,,15.6,618.7,,4,nominal
248,2024-09-04,-62.1,-0.6,849.7,33.2,4,nominal
249,2024-09-05,-63.9,-2.0,884.7,12.4,4,nominal
250,2024-09-06,-44.9,-4.4,865.1,25.6,9,nominal
251,2024-09-07,-67.1,10.5,721.3,29.5,,nominal
252,2024-09-08,-45.5,0.7,708.0,6.2,8,nominal
253,2024-09-09,-57.2,2.2,794.6,20.1,3,nominal
254,2024-09-10,-67.6,0.9,641.2,20.0,11,nominal
255,2024-09-11,-52.3,15.8,772.5,12.3,4,offline
256,2024-09-12,-58.3,-4.5,718.1,24.7,4,nominal
257,2024-09-13,-68.0,11.1,674.3,16.2,11,nominal
258,2024-09-14,,-9.1,822.1,8.3,7,nominal
259,2024-09-15,,2.5,832.4,,11,warning
260,2024-09-16,-61.1,10.1,798.4,6.6,10,nominal
261,2024-09-17,-66.5,-2.4,877.6,16.6,6,nominal
262,2024-09-18,-64.2,2.7,749.5,32.8,0,nominal
263,2024-09-19,-59.5,-1.1,799.3,12.1,8,nominal
264,2024-09-20,-69.1,3.8,695.3,9.5,6,nominal
265,2024-09-21,-49.5,0.3,782.7,17.7,4,nominal
266,2024-09-22,-46.2,11.3,703.1,26.1,8,nominal
267,2024-09-23,-65.6,-8.6,,26.5,2,nominal
268,2024-09-24,-41.6,-2.9,833.2,29.6,10,warning
269,2024-09-25,-52.2,-3.9,779.1,11.8,3,nominal
270,2024-09-26,-52.5,7.1,,30.4,,nominal
271,2024-09-27,-62.7,-0.4,830.8,34.5,3,nominal
272,2024-09-28,-44.9,11.3,735.9,28.1,9,warning
273,2024-09-29,-54.9,5.1,818.4,6.0,1,nominal
274,2024-09-30,-41.6,-10.1,723.0,27.7,0,nominal
275,2024-10-01,-58.5,4.1,622.7,20.3,2,nominal
276,2024-10-02,-43.2,6.1,646.4,17.1,7,nominal
277,2024-10-03,-63.9,5.9,877.5,28.6,11,warning
278,2024-10-04,-60.0,8.2,758.4,33.1,6,nominal
279,2024-10-05,-67.2,10.1,658.1,26.0,6,nominal
280,2024-10-06,-67.8,-6.7,,12.2,7,nominal
281,2024-10-07,-54.2,0.0,726.6,6.9,9,nominal
282,2024-10-08,-70.5,-8.3,799.1,5.6,0,warning
283,2024-10-09,-42.3,-8.1,688.0,24.3,11,nominal
284,2024-10-10,-71.2,7.0,699.1,31.4,1,offline
285,2024-10-11,-64.1,0.8,759.1,25.3,9,nominal
286,2024-10-12,-51.8,10.9,897.2,13.0,9,nominal
287,2024-10-13,-57.7,5.6,,,9,nominal
288,2024-10-14,-69.2,8.5,840.2,,6,nominal
289,2024-10-15,,6.9,692.3,19.4,5,offline
290,2024-10-16,-72.1,-8.6,698.6,14.3,10,nominal
291,2024-10-17,-46.3,0.4,699.5,27.6,6,offline
292,2024-10-18,-72.6,1.2,,31.5,5,nominal
293,2024-10-19,-48.0,1.0,715.0,21.8,4,warning
294,2024-10-20,-62.3,,688.4,19.7,2,nominal
295,2024-10-21,-49.6,9.1,643.4,14.1,7,warning
296,2024-10-22,-44.2,-0.8,894.5,10.0,,nominal
297,2024-10-23,-48.4,8.0,,30.4,1,nominal
298,2024-10-24,-67.6,-8.9,681.8,,7,warning
299,2024-10-25,-58.6,-8.9,700.5,13.2,2,warning
300,2024-10-26,-58.0,-12.9,603.6,30.7,0,nominal
301,2024-10-27,-55.4,2.9,728.2,14.2,5,nominal
302,2024-10-28,-60.5,-11.1,837.8,31.0,7,nominal
303,2024-10-29,-67.9,7.0,778.6,30.8,6,nominal
304,2024-10-30,-73.8,-2.8,698.5,17.1,2,nominal
305,2024-10-31,-50.9,-6.7,787.5,27.0,8,nominal
306,2024-11-01,-63.4,-6.4,836.4,20.9,6,nominal
307,2024-11-02,-47.2,-0.7,737.7,20.9,7,nominal
308,2024-11-03,-72.0,5.1,822.7,14.4,7,nominal
309,2024-11-04,-56.3,-15.3,634.8,7.4,8,nominal
310,2024-11-05,-58.4,7.4,681.7,,6,warning
311,2024-11-06,,-12.4,678.2,13.9,8,nominal
312,2024-11-07,-74.8,-4.9,766.5,21.5,11,nominal
313,2024-11-08,-59.2,,697.1,15.2,4,warning
314,2024-11-09,-56.3,8.4,629.3,6.7,6,nominal
315,2024-11-10,,4.4,703.6,9.3,6,nominal
316,2024-11-11,-48.5,-1.9,597.7,3.5,7,warning
317,2024-11-12,-60.6,5.1,812.4,10.7,8,nominal
318,2024-11-13,-56.5,0.6,,19.6,9,nominal
319,2024-11-14,-59.4,-8.4,692.3,31.5,4,nominal
320,2024-11-15,-69.0,-1.1,759.4,19.3,10,nominal
321,2024-11-16,-51.4,-10.0,625.3,10.4,4,nominal
322,2024-11-17,-66.0,-12.7,819.8,9.0,2,nominal
323,2024-11-18,-72.6,-4.8,882.7,24.9,3,nominal
324,2024-11-19,-58.1,1.5,619.0,6.8,6,nominal
325,2024-11-20,-56.3,-5.6,627.3,27.8,0,nominal
326,2024-11-21,-76.4,5.3,774.6,30.3,6,nominal
327,2024-11-22,-58.1,-8.0,814.8,24.0,11,warning
328,2024-11-23,-61.5,-1.1,832.0,1.8,1,nominal
329,2024-11-24,-77.3,-15.7,863.6,21.0,3,nominal
330,2024-11-25,-58.5,4.3,751.4,30.2,1,warning
331,2024-11-26,-48.4,0.9,788.9,21.2,5,nominal
332,2024-11-27,-76.6,5.5,660.2,14.3,7,nominal
333,2024-11-28,-72.0,-2.5,854.1,22.4,1,nominal
334,2024-11-29,-74.2,-2.7,859.8,20.8,4,nominal
335,2024-11-30,-64.1,-7.9,832.7,24.2,1,nominal
336,2024-12-01,-62.9,5.8,679.1,9.8,0,nominal
337,2024-12-02,-53.9,-0.1,665.7,6.7,8,nominal
338,2024-12-03,,,843.8,13.6,3,nominal
339,2024-12-04,,-3.3,727.8,,7,nominal
340,2024-12-05,-55.3,-2.8,715.0,20.7,8,nominal
341,2024-12-06,,3.0,762.5,7.5,10,nominal
342,2024-12-07,-61.5,1.1,595.8,24.7,1,nominal
343,2024-12-08,-54.9,-1.5,696.8,3.7,,nominal
344,2024-12-09,-74.9,-18.5,658.0,22.8,2,warning
345,2024-12-10,,-4.4,688.3,4.9,7,nominal
346,2024-12-11,-67.9,-0.2,806.8,21.0,3,nominal
347,2024-12-12,-79.4,,724.6,28.8,10,nominal
348,2024-12-13,-77.7,-11.6,802.6,16.6,3,nominal
349,2024-12-14,-60.2,3.5,716.2,5.8,10,nominal
350,2024-12-15,-54.2,,604.8,2.2,8,nominal
351,2024-12-16,-67.7,-6.5,698.8,23.1,5,nominal
352,2024-12-17,-69.9,-15.6,714.0,15.3,6,nominal
353,2024-12-18,-75.5,-12.3,653.2,10.9,0,warning
354,2024-12-19,-58.6,-15.9,660.5,5.7,10,nominal
355,2024-12-20,,-0.0,636.5,15.2,7,nominal
356,2024-12-21,-75.0,,855.1,28.5,,nominal
357,2024-12-22,-65.9,-9.9,,25.9,7,nominal
358,2024-12-23,-78.0,-14.6,764.7,4.0,,warning
359,2024-12-24,-68.5,-2.8,832.3,13.6,5,nominal
360,2024-12-25,-72.3,-21.4,697.5,9.6,9,nominal
361,2024-12-26,-54.4,-9.5,,12.5,0,nominal
362,2024-12-27,-61.4,-8.5,801.1,5.8,5,nominal
363,2024-12-28,-61.6,-3.8,796.9,11.4,4,nominal
364,2024-12-29,-67.0,-19.7,781.2,22.2,8,nominal
365,2024-12-30,-56.4,-18.2,833.1,4.5,6,nominal
366,2024-12-31,-68.2,-1.2,723.8,20.8,4,nominal
367,2025-01-01,-63.9,-15.9,586.1,28.2,3,nominal
368,2025-01-02,-65.5,-5.9,819.5,15.5,4,nominal
369,2025-01-03,-54.3,-4.2,580.7,12.8,7,nominal
370,2025-01-04,-62.4,-1.0,804.5,7.2,1,nominal
371,2025-01-05,-62.5,-7.1,859.3,,7,nominal
372,2025-01-06,-60.8,-0.2,843.9,7.2,11,nominal
373,2025-01-07,-55.7,0.5,737.3,7.0,9,warning
374,2025-01-08,-79.9,-10.4,657.3,14.7,3,nominal
375,2025-01-09,-60.8,-5.1,623.3,5.2,7,warning
376,2025-01-10,-66.2,-0.8,836.8,13.6,2,warning
377,2025-01-11,-55.2,-2.7,590.2,24.7,7,warning
378,2025-01-12,-71.9,-2.2,605.5,20.6,1,nominal
379,2025-01-13,-56.0,-5.9,589.8,15.3,4,nominal
380,2025-01-14,-59.9,-17.7,710.2,,,nominal
381,2025-01-15,-77.2,-1.1,812.9,17.3,10,warning
382,2025-01-16,-81.6,-18.2,860.7,5.2,11,nominal
383,2025-01-17,-64.5,-22.3,715.8,20.6,4,nominal
384,2025-01-18,-83.8,-16.4,752.6,32.0,0,nominal
385,2025-01-19,-62.6,-10.6,611.6,13.1,5,warning
386,2025-01-20,-75.1,-22.1,602.3,11.9,7,nominal
387,2025-01-21,-80.2,-3.4,744.9,28.5,8,nominal
388,2025-01-22,-82.4,-22.7,565.8,14.1,11,nominal
389,2025-01-23,-80.9,-18.4,783.7,7.3,2,warning
390,2025-01-24,-65.5,,583.4,27.0,6,nominal
391,2025-01-25,-59.1,-25.2,650.3,4.1,1,nominal
392,2025-01-26,-83.7,-5.3,842.1,32.3,5,nominal
393,2025-01-27,-83.6,-12.1,,10.4,3,nominal
394,2025-01-28,-59.1,-5.4,701.4,24.9,2,nominal
395,2025-01-29,-71.4,-16.6,787.2,13.5,7,nominal
396,2025-01-30,-84.5,-14.6,673.9,17.8,11,nominal
397,2025-01-31,-74.2,-5.6,826.6,28.2,10,nominal
398,2025-02-01,-67.4,-25.0,601.0,16.2,9,nominal
399,2025-02-02,-81.3,-6.2,679.0,11.2,6,warning
400,2025-02-03,-63.4,-3.8,664.3,24.3,6,nominal
401,2025-02-04,-80.6,-4.0,566.2,26.5,1,nominal
402,2025-02-05,-69.0,-25.2,580.0,26.9,7,nominal
403,2025-02-06,-62.0,-14.1,842.5,5.4,,nominal
404,2025-02-07,-71.2,-6.4,647.5,25.7,7,nominal
405,2025-02-08,-68.2,-10.9,728.0,18.8,2,nominal
406,2025-02-09,-65.1,-21.0,,22.3,2,nominal
407,2025-02-10,-85.3,-19.6,663.1,15.1,10,nominal
408,2025-02-11,-79.2,-19.9,561.6,14.4,7,nominal
409,2025-02-12,-70.8,-3.8,668.8,16.4,9,nominal
410,2025-02-13,-65.6,-20.1,739.7,15.6,6,nominal
411,2025-02-14,-80.1,-27.5,853.9,16.8,3,nominal
412,2025-02-15,-86.8,-8.8,697.4,11.0,1,nominal
413,2025-02-16,-76.5,-22.6,709.3,24.9,8,nominal
414,2025-02-17,-69.2,-8.4,835.9,12.8,10,nominal
415,2025-02-18,-87.3,-24.1,693.0,12.0,11,warning
416,2025-02-19,-70.2,-8.1,634.2,13.5,,nominal
417,2025-02-20,-65.4,-21.6,699.5,,6,nominal
418,2025-02-21,-81.1,-15.7,747.0,6.2,11,nominal
419,2025-02-22,-87.6,-5.7,822.6,25.1,1,nominal
420,2025-02-23,-61.7,-16.6,802.1,33.4,8,nominal
421,2025-02-24,-64.8,-11.3,795.0,27.3,6,nominal
422,2025-02-25,-72.2,-17.6,665.5,33.4,5,nominal
423,2025-02-26,-79.1,-12.1,799.3,5.6,9,nominal
424,2025-02-27,-82.9,-16.3,645.6,33.7,5,warning
425,2025-02-28,-78.4,-5.7,629.3,7.7,3,nominal
426,2025-03-01,-67.3,-20.1,562.6,31.0,7,nominal
427,2025-03-02,-87.4,-26.4,630.6,7.0,6,nominal
428,2025-03-03,-71.2,-25.9,685.2,24.2,0,nominal
429,2025-03-04,-69.2,-11.4,746.8,8.9,9,warning
430,2025-03-05,-85.5,-15.8,650.2,13.5,1,nominal
431,2025-03-06,-90.1,-30.2,719.4,23.4,3,nominal
432,2025-03-07,,-24.4,578.4,16.0,9,nominal
433,2025-03-08,-76.1,-25.3,612.5,33.4,4,nominal
434,2025-03-09,-66.3,-12.9,608.3,10.4,2,nominal
435,2025-03-10,-70.6,-19.7,554.5,9.0,5,warning
436,2025-03-11,-89.0,-17.3,566.9,32.9,7,nominal
437,2025-03-12,-90.0,-25.0,737.1,14.0,6,warning
