accident_id,date,time,day_of_week,road_type,speed_limit,weather_conditions,light_conditions,road_surface,number_of_vehicles,number_of_casualties,severity,latitude,longitude,local_authority,urban_rural
ACC00092,2023-12-21,17:12,Thursday,Dual carriageway,40,Snowing no high winds,Darkness - lights lit,Dry,4,6,Slight,54.088425,-0.523201,Portsmouth,Urban
ACC00093,2023-10-06,13:52,Friday,Roundabout,30,Fine no high winds,Daylight,Wet or damp,4,1,Serious,53.804638,-0.094961,Liverpool,Urban
ACC00094,2023-05-03,18:57,Wednesday,Motorway,30,Other,Daylight,Dry,1,1,Serious,50.58316,0.080745,Westminster,Rural
ACC00095,2023-05-28,14:03,Sunday,Single carriageway,70,Fog or mist,Daylight,Flood over 3cm deep,3,3,Slight,55.296732,-4.387014,Manchester,Urban
ACC00096,20/01/2023,09:38,Friday,Single carriageway,40,Fine no high winds,Darkness - no lighting,Flood over 3cm deep,2,4,Slight,54.936146,-2.189844,Leeds,Urban
ACC00097,2023-06-01,06:11,Thursday,One way street,50,Snowing no high winds,Darkness - lights lit,Dry,2,1,Slight,52.769234,1.31869,Westminster,Urban
ACC00098,2023-05-14,22:15,Sunday,Single carriageway,70,Fine no high winds,Darkness - no lighting,Wet or damp,2,2,Slight,54.003684,-0.909665,Leicester,Urban
ACC00099,2023-08-01,15:48,Tuesday,Motorway,70,Fine no high winds,Daylight,Dry,2,2,Slight,50.452996,-1.468735,Tower Hamlets,Rural
ACC00100,2023-12-15,18:31,Friday,Single carriageway,60,Raining with high winds,Daylight,Frost or ice,1,1,Fatal,50.334873,-2.232163,Coventry,Urban
ACC00101,2023-02-02,01:59,Thursday,Single carriageway,60,Fine no high winds,Darkness - lights lit,Snow,2,1,Slight,52.171873,0.985002,Bath,Rural
ACC00102,2023-04-02,12:33,Sunday,Single carriageway,30,Fine no high winds,Daylight,Wet or damp,2,2,Slight,53.085215,0.475203,Sheffield,Rural
ACC00103,2023-08-03,00:15,Thursday,Dual carriageway,30,Fine no high winds,Daylight,Frost or ice,2,2,Slight,51.419458,-5.368225,Bath,Urban
ACC00104,2023-10-22,14:49,Sunday,Roundabout,30,Fine no high winds,Daylight,Flood over 3cm deep,2,1,Slight,53.228965,-1.262497,Manchester,Rural
ACC00105,2023-12-23,12:19,Saturday,One way street,30,Snowing no high winds,Darkness - no lighting,Dry,3,1,Slight,54.673502,1.160559,Norwich,Rural
ACC00106,2023-08-19,02:34,Saturday,dual carriageway,20,Fine no high winds,Darkness - lights unlit,Dry,3,1,Fatal,54.20097,-1.508621,Southampton,Urban
ACC00107,2023-03-02,15:58,Thursday,Dual carriageway,70,Unknown,Daylight,Snow,4,2,Slight,52.207838,-1.697624,Edinburgh,Urban
ACC00108,2023-06-13,11:20,Tuesday,One way street,20,Fog or mist,Daylight,Dry,1,2,Fatal,53.359029,-2.568164,Lewisham,Urban
ACC00109,2023-05-12,15:46,Friday,Slip road,60,Fine no high winds,,Dry,1,2,Slight,55.318016,-1.633974,Tower Hamlets,Rural
ACC00110,2023-11-19,18:09,Sunday,Single carriageway,30,Snowing no high winds,Darkness - no lighting,Wet or damp,1,2,Fatal,55.293958,-0.755367,Camden,Urban
ACC00111,2023-09-15,21:27,Friday,Single carriageway,30,Fine no high winds,Darkness - lighting unknown,Dry,2,2,Slight,54.728243,-3.695064,Oxford,Urban
ACC00112,2023-02-11,20:48,Saturday,Single carriageway,30,Raining no high winds,Darkness - lights unlit,Snow,2,1,Slight,54.076502,-5.079854,York,Urban
ACC00113,2023-12-21,15:17,Thursday,Single carriageway,30,Other,Darkness - lights lit,Flood over 3cm deep,2,1,Slight,50.090817,-4.146314,Lewisham,Rural
ACC00114,2023-10-04,14:08,Wednesday,Single carriageway,60,Unknown,Darkness - lights lit,Dry,1,1,Slight,51.975438,0.067542,Wolverhampton,Rural
ACC00115,2023-10-11,13:11,Wednesday,One way street,30,Fog or mist,Darkness - lights lit,Dry,3,1,SLIGHT,52.204,0.179177,Lewisham,Rural
ACC00116,2023-03-09,08:28,Thursday,Motorway,60,Snowing no high winds,Darkness - lights unlit,Dry,1,1,Slight,53.462162,0.18329,Swansea,Urban
ACC00117,2023-10-20,21:24,Friday,Single carriageway,30,Fine no high winds,Darkness - lights lit,Wet or damp,2,1,Slight,51.600579,-3.451858,Hackney,Urban
ACC00118,2023-06-05,08:21,Monday,One way street,40,Raining with high winds,Darkness - lights lit,Snow,3,3,Fatal,50.789522,-3.295011,Leeds,Rural
ACC00119,2023-10-22,10:24,Sunday,Dual carriageway,50,Raining no high winds,Daylight,Dry,2,2,Serious,50.156113,-0.2459,Liverpool,Rural
ACC00120,2023-03-13,07:16,Monday,Single carriageway,50,Raining no high winds,,Frost or ice,5,1,Slight,53.099331,1.226218,Cambridge,Rural
ACC00121,2023-02-25,21:42,Saturday,Roundabout,30,Other,Daylight,Snow,4,1,Slight,50.614478,-4.960451,Bristol,Rural
ACC00122,2023-12-14,16:09,Thursday,Roundabout,20,Raining with high winds,Daylight,Wet or damp,2,5,Slight,54.821643,-0.22387,Edinburgh,Urban
ACC00123,2023-08-20,13:02,Sunday,Single carriageway,20,Raining no high winds,Daylight,Dry,4,2,Serious,51.011829,-4.498982,Norwich,Rural
ACC00124,2023-01-15,06:28,Sunday,One way street,50,Fine no high winds,Daylight,Dry,2,2,Slight,53.348618,0.296268,Exeter,Urban
ACC00125,2023-06-10,19:25,Saturday,Single carriageway,40,Raining no high winds,Darkness - no lighting,Dry,3,2,Slight,55.328359,-1.273737,Greenwich,Urban
ACC00126,2023-03-12,13:11,Sunday,Slip road,70,Snowing no high winds,Daylight,Flood over 3cm deep,2,1,Slight,51.824564,-2.317493,Tower Hamlets,Urban
ACC00127,2023-07-29,13:45,Saturday,Slip road,60,Fine no high winds,Daylight,Dry,3,1,Slight,51.594147,-1.667935,Birmingham,Rural
ACC00128,2023-10-06,11:34,Friday,Single carriageway,60,Snowing no high winds,Daylight,Snow,1,3,Slight,51.726712,1.794845,Bath,Urban
ACC00129,2023-10-29,22:39,Sunday,One way street,30,Fog or mist,Daylight,Dry,3,3,Fatal,52.03473,-3.591862,Exeter,Urban
ACC00130,2023-12-14,04:48,Thursday,One way street,20,Fine no high winds,Daylight,Dry,2,2,Slight,54.416547,-0.628241,Portsmouth,Urban
ACC00131,2023-02-17,14:17,Friday,Roundabout,60,Raining with high winds,Darkness - lights lit,Dry,3,3,Slight,54.239405,-2.261631,Edinburgh,Urban
ACC00132,2023-05-26,14:08,Friday,Slip road,40,Other,Daylight,Dry,1,3,Serious,50.094432,1.270747,Birmingham,Rural
ACC00133,2023-06-04,17:05,Sunday,Roundabout,-40,Fine no high winds,Darkness - lights lit,Dry,1,2,Slight,52.489539,-5.016006,Lambeth,Urban
ACC00134,2023-06-25,13:44,Sunday,Single carriageway,60,Fine no high winds,Daylight,Snow,1,3,Slight,51.817439,0.907417,Greenwich,Rural
ACC00135,2023-01-05,05:28,Thursday,Roundabout,30,Other,Daylight,Snow,2,1,Slight,50.502791,-4.946512,Wandsworth,Rural
ACC00136,2023-05-08,19:46,Monday,Dual carriageway,20,Other,Darkness - lights lit,Dry,2,2,Slight,51.714144,-5.290732,Sheffield,Rural
ACC00137,2023-07-04,04:24,Tuesday,One way street,40,Snowing no high winds,Daylight,Frost or ice,4,3,Slight,53.406708,-5.596549,Liverpool,Urban
ACC00138,2023-08-05,02:40,Saturday,Motorway,60,Fog or mist,Daylight,Wet or damp,1,1,Slight,55.651018,-4.534672,Bradford,Rural
ACC00139,2023-05-03,07:59,Wednesday,One way street,30,Raining with high winds,Daylight,Wet or damp,2,2,Slight,50.692769,-0.390745,Westminster,Urban
ACC00140,2023-05-18,03:49,Thursday,Single carriageway,,Raining no high winds,Darkness - lights lit,Flood over 3cm deep,1,2,Fatal,53.63969,-1.978893,Brighton and Hove,Urban
ACC00141,2023-12-12,07:47,Tuesday,Motorway,20,Fine no high winds,Daylight,Dry,1,1,Slight,51.037973,1.502566,Islington,Rural
ACC00142,2023-06-13,16:36,Tuesday,Roundabout,30,Snowing no high winds,Daylight,Dry,2,2,Slight,55.533661,-5.183052,Plymouth,Urban
ACC00143,2023-06-05,07:29,Monday,Roundabout,70,Raining with high winds,Daylight,Flood over 3cm deep,3,1,SLIGHT,55.407906,-5.520673,Exeter,Urban
ACC00144,2023-06-07,09:15,Wednesday,One way street,60,Fine no high winds,Daylight,Wet or damp,1,4,Serious,52.395729,1.016835,Plymouth,Urban
ACC00145,2023-12-06,07:18,Wednesday,Dual carriageway,40,Raining no high winds,Darkness - lights lit,Wet or damp,2,1,Slight,50.789449,0.0761,Lambeth,Urban
ACC00146,2023-08-20,13:54,Sunday,Single carriageway,30,Fine no high winds,Darkness - lights lit,Dry,2,3,Slight,50.529035,-3.838359,Edinburgh,Rural
ACC00147,2023-08-20,17:15,Sunday,Single carriageway,60,Fine no high winds,Daylight,Dry,1,3,Slight,50.758148,0.477551,Glasgow,Urban
ACC00148,2023-08-16,02:57,Wednesday,Roundabout,30,Fine no high winds,Darkness - no lighting,Dry,2,2,Slight,52.877533,-2.829529,York,Urban
ACC00149,2023-11-12,17:31,Sunday,One way street,60,Raining with high winds,Daylight,Dry,2,1,Slight,53.727385,0.278985,Sheffield,Rural
ACC00150,2023-10-17,12:17,Tuesday,Single carriageway,20,Raining no high winds,Daylight,Dry,3,3,Slight,54.690193,-2.162367,Edinburgh,Rural
ACC00151,2023-01-29,07:36,Sunday,One way street,40,Fine no high winds,Daylight,Dry,2,3,Slight,55.301084,-5.488451,Edinburgh,Rural
ACC00152,2023-06-08,16:05,Thursday,Single carriageway,,Fog or mist,Daylight,Dry,2,1,Fatal,51.168493,-4.721328,Manchester,Urban
ACC00153,2023-07-06,11:45,Thursday,One way street,70,Fine no high winds,Darkness - lights lit,Wet or damp,2,5,Slight,54.592687,1.504966,Bradford,Urban
ACC00154,2023-03-31,14:44,Friday,Dual carriageway,30,Fine no high winds,Daylight,Snow,3,3,Fatal,50.18782,-1.182085,Derby,Urban
ACC00155,2023-06-13,16:52,Tuesday,Roundabout,60,Fine no high winds,Darkness - lights lit,Dry,2,1,Slight,54.564716,-0.296898,Tower Hamlets,Rural
ACC00156,2023-07-12,08:50,Wednesday,Dual carriageway,30,Raining with high winds,Daylight,Dry,2,1,Slight,50.430362,-4.424211,Swansea,Urban
ACC00157,2023-09-05,13:41,Tuesday,Single carriageway,70,Raining no high winds,Daylight,Dry,1,1,Slight,52.373823,-1.544157,Exeter,Urban
ACC00158,2023-01-28,13:05,Saturday,Dual carriageway,70,Other,Darkness - no lighting,Dry,1,1,Slight,55.666935,-2.14822,Wandsworth,Urban
ACC00159,2023-07-09,11:11,Sunday,Slip road,20,Fine no high winds,Darkness - no lighting,Frost or ice,2,3,Fatal,50.357508,-0.058236,Lambeth,Urban
ACC00160,2023-07-18,13:34,Tuesday,Slip road,70,Fine no high winds,Darkness - no lighting,Wet or damp,1,4,Slight,52.912189,1.053413,Ipswich,Rural
ACC00161,2023-04-09,08:05,Sunday,one way street,30,Other,Daylight,Wet or damp,2,2,Slight,50.504759,-1.527268,Norwich,Urban
ACC00162,2023-08-03,07:09,Thursday,Single carriageway,30,Fog or mist,Daylight,Wet or damp,3,4,Slight,51.531992,-0.789092,Ipswich,Rural
ACC00163,2023-07-22,10:44,Saturday,Dual carriageway,20,Unknown,Darkness - no lighting,Wet or damp,3,1,Slight,51.803506,0.621349,Lambeth,Urban
ACC00164,2023-11-27,08:13,Monday,One way street,60,,Darkness - lights lit,Dry,2,1,Slight,54.115503,-2.674611,Reading,Rural
ACC00165,2023-07-04,08:23,Tuesday,Slip road,60,Raining no high winds,Daylight,Dry,2,1,Serious,51.029985,0.828606,Cheltenham,Rural
ACC00166,2023-07-17,09:49,Monday,dual carriageway,30,Other,Daylight,Dry,2,1,Slight,55.014854,1.553538,Westminster,Rural
ACC00167,2023-06-06,22:41,Tuesday,Dual carriageway,50,Raining no high winds,Darkness - lights lit,Frost or ice,2,1,Serious,54.781003,-2.721356,Lambeth,Urban
ACC00168,2023-06-02,15:04,Friday,Roundabout,40,Other,Darkness - lights lit,Wet or damp,2,2,Slight,51.092488,-1.820298,Sheffield,Urban
ACC00169,2023-12-02,09:16,Saturday,One way street,50,Raining no high winds,Daylight,Dry,2,2,Serious,53.702219,-2.131986,Edinburgh,Rural
ACC00170,2023-05-13,17:48,Saturday,Single carriageway,70,Raining no high winds,Daylight,Dry,2,2,Slight,52.438741,0.951327,Glasgow,Urban
ACC00171,2023-11-14,07:32,Tuesday,Single carriageway,70,Raining no high winds,Darkness - lighting unknown,Wet or damp,2,4,Slight,50.796719,-4.197776,Cambridge,Rural
ACC00172,2023-06-20,05:20,Tuesday,Single carriageway,20,Raining with high winds,Darkness - lights lit,Dry,3,1,Slight,52.839547,0.026769,Southwark,Urban
ACC00173,2023-04-13,00:57,Thursday,Roundabout,60,Fine no high winds,Daylight,Dry,2,1,Slight,51.810135,-4.929688,Brighton and Hove,Rural
