transaction_id,timestamp,amount,currency,merchant_name,merchant_category,card_type,status,customer_id
TXN3234CD7C57CC,2024-10-12T07:56:02Z,7.56,USD,Netflix,entertainment,credit,completed,CUST00547
TXNBB43A22E5AF9,2024-11-23T03:59:04Z,36.42,EUR,Greggs,dining,debit,pending,CUST00444
TXN2B99F9483E78,2024-10-20T07:25:09Z,3.04,GBP,Specsavers,healthcare,credit,completed,
TXNCAF3CA4290B5,2024-11-20T01:26:50Z,1.0,GBP,Vue Cinema,entertainment,debit,pending,CUST00578
TXNB0CFD0641A58,2024-10-21T19:42:56Z,85.53,GBP,Boots,healthcare,debit,declined,CUST00169
TXN95ED513B9D60,2024-12-29T18:49:21Z,72.51,GBP,Ryanair,travel,debit,declined,CUST00798
TXNE43D36FB1C35,2024-10-24T10:07:48Z,68.86,GBP,Booking.com,travel,debit,completed,CUST00168
TXN6A43723202E4,2024-12-11T08:27:33Z,34.76,USD,Superdrug,healthcare,debit,completed,CUST00590
TXN3487457C3D99,2024-11-12T00:01:37Z,38.85,GBP,Lidl,groceries,credit,completed,CUST00309
TXN93872FF3E834,2024-11-19T06:44:04Z,52.02,USD,Sky,entertainment,debit,completed,
TXNDEC2CDBE8E90,2024-11-25T02:38:24Z,93.3,GBP,Netflix,entertainment,debit,completed,CUST00781
TXN97642AFEACA9,2024-11-29T12:01:58Z,59.21,EUR,Google,subscriptions,credit,pending,CUST00586
TXN1E6CD17E2884,2024-10-04T12:48:55Z,38.1,GBP,BP,fuel,debit,completed,CUST00043
TXN2FECBC19E062,2024-11-26T05:30:56Z,43.97,GBP,Nando's,dining,credit,pending,CUST00462
TXNAF827F89B0A4,2024-10-01T02:51:23Z,38.59,GBP,Ryanair,travel,debit,completed,CUST00361
TXN8AA3F07BCE67,2024-11-25T19:13:35Z,70.93,GBP,TfL,transport,credit,pending,CUST00160
TXNC355B393DBD6,2024-11-18T00:31:09Z,1.0,GBP,Amazon,retail,credit,completed,CUST00042
TXN8BE9BFF2B293,2024-12-11T12:35:43Z,28.64,GBP,Trainline,transport,credit,refunded,CUST00240
TXNCE60693117DA,2024-10-06T03:48:28Z,73.26,GBP,Wagamama,dining,credit,completed,CUST00670
TXNEDA28A515652,2024-12-14T07:26:49Z,88.11,GBP,Pizza Express,dining,credit,completed,CUST00581
TXNB84BBD4F6CE1,2024-12-26T02:00:26Z,17.35,GBP,Sky,entertainment,credit,completed,CUST00380
TXN418F25BED94E,2024-11-18T03:49:41Z,92.98,GBP,Bupa,healthcare,debit,completed,CUST00076
TXN7A85F8F9E776,2024-12-03T13:09:06Z,11.42,EUR,Vue Cinema,entertainment,credit,completed,CUST00569
TXNE44A71C84705,2024-10-22T20:14:24Z,35.73,GBP,Wagamama,dining,credit,refunded,CUST00093
TXNFC137DC1EC65,2024-12-29T20:48:15Z,10.69,GBP,Specsavers,healthcare,credit,completed,CUST00045
TXN6744A318FD23,2024-11-30T13:31:16Z,60.49,EUR,Trainline,transport,credit,pending,CUST00229
TXN4702F25CB741,2024-12-19T05:08:06Z,47.19,GBP,Amazon Prime,entertainment,debit,completed,CUST00777
TXN28FD1A26BB0D,2024-12-24T13:19:57Z,68.71,GBP,British Gas,utilities,credit,completed,CUST00567
TXNAF2D3FE1A597,2024-11-10T19:47:52Z,59.03,GBP,Esso,fuel,debit,declined,CUST00178
TXN042BFFC57619,2024-12-20T12:31:23Z,123.97,GBP,Adobe,subscriptions,debit,refunded,CUST00323
TXN171882F74023,2024-11-06T04:22:11Z,34.27,GBP,Lidl,groceries,debit,completed,CUST00329
TXNE4652999D2DE,2024-11-21T22:42:22Z,74.11,GBP,Sainsbury's,,credit,completed,CUST00075
TXN6474DA2D8798,2024-12-20T07:35:56Z,17.47,GBP,Tesco,groceries,debit,completed,CUST00068
TXN2608D83583D5,2024-12-30T09:07:12Z,36.61,GBP,Microsoft 365,subscriptions,credit,completed,CUST00439
TXN264BCFDB8785,2024-11-30T16:47:03Z,43.1,GBP,Boots,healthcare,credit,completed,CUST00630
TXN0DA658D6835C,2024-12-05T16:56:42Z,23.19,GBP,Expedia,travel,credit,completed,CUST00358
TXNC68D80C25D46,2024-11-25T05:40:09Z,11.25,GBP,Spotify,,credit,completed,CUST00077
TXN63871A6433AF,2024-11-01T21:11:34Z,57.06,GBP,Amazon,retail,debit,completed,CUST00569
TXND35FECB6418D,2024-10-11T05:49:47Z,84.01,GBP,Greggs,,,completed,
TXN159573FA4975,2024-10-09T15:18:37Z,22.83,GBP,Shell,fuel,debit,completed,CUST00003
TXN7D85F4C822BD,2024-12-02T19:38:40Z,17.79,GBP,Google,subscriptions,credit,completed,CUST00602
TXN945303D42152,2024-12-04T09:08:59Z,52.09,GBP,Airbnb,travel,debit,refunded,
TXNA1DEB5F777E3,2024-11-22T10:43:32Z,38.12,GBP,Texaco,fuel,debit,completed,CUST00685
TXN35053240155F,2024-10-03T21:14:32Z,20.61,GBP,Vue Cinema,entertainment,,completed,CUST00420
TXN43B69DA03E00,2024-12-25T10:39:49Z,70.08,GBP,TfL,transport,credit,completed,CUST00572
TXNFC77FD67724F,2024-12-18T02:43:05Z,54.48,GBP,Lidl,groceries,debit,refunded,CUST00109
TXN0A9D9A76027B,2024-10-20T06:16:11Z,39.55,GBP,Uber,transport,credit,completed,CUST00264
TXNF05BA3DF9D21,2024-11-16T08:59:04Z,92.87,USD,Uber,transport,credit,completed,CUST00790
TXN7FFE36ACA846,2024-10-17T14:16:34Z,79.16,GBP,ASOS,retail,debit,completed,CUST00703
TXN86D76DEC4165,2024-10-13T00:53:16Z,59.4,GBP,BP,fuel,credit,pending,CUST00058
TXN718F3A26849E,2024-11-18T21:08:24Z,92.14,GBP,Waitrose,groceries,debit,completed,CUST00043
TXN0929C171A2AF,2024-10-17T20:39:07Z,1.0,GBP,Superdrug,healthcare,credit,completed,CUST00717
TXN7FD1251C9D59,2024-11-30T20:58:38Z,18.52,GBP,Boots,healthcare,debit,completed,CUST00219
TXN0B41E8578EBC,2024-12-28T03:35:03Z,49.54,GBP,Uber,transport,debit,refunded,CUST00226
TXN2DE3EA5A6C65,2024-11-07T20:26:30Z,1.0,GBP,Amazon Prime,entertainment,debit,completed,CUST00370
TXN92881F2FFE5B,2024-10-08T01:55:18Z,71.77,EUR,Currys,,debit,refunded,CUST00378
TXNBE1D53448D69,2024-10-29T12:52:10Z,31.98,GBP,Boots,healthcare,debit,pending,CUST00216
TXN880953DA78E8,2024-11-24T08:06:20Z,24.14,GBP,Thames Water,utilities,debit,completed,CUST00172
TXNC5E9C659C7F9,2024-11-07T17:59:48Z,50.08,GBP,Greggs,dining,debit,completed,CUST00614
TXNE0D4BF860200,2024-12-28T13:25:09Z,47.67,EUR,Shell,fuel,credit,completed,CUST00236
TXNB6D55E541AF9,2024-10-14T23:02:06Z,1.0,GBP,Sainsbury's,groceries,debit,completed,CUST00464
TXN86D7E027A3FF,2024-12-12T00:34:11Z,49.41,GBP,Expedia,travel,credit,completed,CUST00554
TXNB1BBDCF68C87,2024-11-29T01:48:59Z,28.87,GBP,Jet,fuel,debit,completed,CUST00367
TXNAC7676DCA2EE,2024-10-25T05:30:43Z,1.0,GBP,Specsavers,healthcare,debit,completed,CUST00792
TXNC40AD4773A47,2024-12-28T04:26:21Z,101.08,GBP,Sky,entertainment,credit,declined,CUST00520
TXND40A1235F170,2024-12-01T03:40:24Z,105.93,GBP,Netflix,entertainment,credit,completed,CUST00101
TXN0C9CD0E1BCAD,2024-12-22T14:56:02Z,24.48,USD,EasyJet,travel,debit,completed,CUST00743
TXNE0CC4D8CD72E,2024-11-09T23:48:51Z,86.98,GBP,Superdrug,healthcare,debit,completed,CUST00110
TXN7B24DCD218BF,2024-11-17T03:12:44Z,32.73,GBP,Pret A Manger,dining,debit,completed,CUST00055
TXN014A2DE96F9B,2024-10-16T04:23:15Z,45.35,EUR,Texaco,,debit,completed,CUST00395
TXNFB0160D34BB4,2024-11-10T02:47:09Z,15.46,EUR,Airbnb,,debit,pending,CUST00502
TXNED6C0A9A2E0D,2024-10-25T16:20:47Z,39.44,GBP,Texaco,fuel,credit,completed,CUST00320
TXN4B92A4BD320B,2024-11-06T01:56:06Z,41.43,EUR,Superdrug,healthcare,credit,completed,CUST00345
TXN61B60FA8377B,2024-10-04T13:15:21Z,1.0,GBP,Adobe,subscriptions,debit,pending,CUST00182
TXNCB04A60082AD,2024-12-01T16:02:58Z,74.47,EUR,Booking.com,travel,debit,completed,CUST00242
TXNA4B9AF14D796,2024-10-15T21:01:24Z,22.03,GBP,TfL,transport,debit,completed,CUST00357
TXN5330A536CEA1,2024-10-02T08:35:41Z,56.91,GBP,Netflix,entertainment,debit,completed,CUST00008
TXN6CB784F6D497,2024-12-02T01:28:01Z,41.22,GBP,BP,fuel,credit,completed,CUST00760
TXNEA59AA070B55,2024-10-26T03:42:56Z,51.54,GBP,Pret A Manger,dining,debit,refunded,CUST00476
TXND8EA3A41CD5A,2024-11-04T18:42:15Z,101.66,GBP,Tesco,groceries,debit,declined,CUST00570
TXN5DA5102EFB63,2024-11-10T21:17:13Z,1.0,GBP,Amazon Prime,entertainment,,completed,
TXN46287AF23666,2024-11-29T06:26:34Z,52.98,EUR,Booking.com,travel,credit,completed,CUST00584
TXNFFC3B1BF2B32,2024-11-09T15:10:05Z,51.82,GBP,British Gas,utilities,credit,refunded,CUST00252
TXND6FAF26C022D,2024-11-17T22:16:29Z,19.99,GBP,Wagamama,dining,credit,completed,CUST00514
TXN007C69EFC607,2024-11-09T01:50:46Z,22.13,EUR,Spotify,entertainment,debit,completed,CUST00163
TXNA4FA21878082,2024-10-23T16:16:56Z,51.87,GBP,Bupa,healthcare,credit,completed,CUST00485
TXNC691C7F1C3C8,2024-11-26T15:06:00Z,79.12,GBP,Airbnb,travel,credit,completed,CUST00109
TXND3B2816E1823,2024-10-10T07:51:36Z,96.46,EUR,Airbnb,travel,credit,completed,CUST00451
TXN5F5F20A5A32A,2024-12-27T07:29:38Z,62.03,GBP,Sky,entertainment,credit,completed,CUST00321
TXN48071192965D,2024-10-27T23:00:08Z,74.6,GBP,Jet,fuel,debit,completed,CUST00199
TXN599175B195E6,2024-12-19T15:31:55Z,27.08,GBP,Boots,healthcare,credit,completed,CUST00517
TXN1D90A127BC27,2024-12-25T02:44:30Z,55.95,GBP,National Rail,transport,credit,completed,CUST00573
TXNB99FE7F28396,2024-11-22T11:44:15Z,5.42,GBP,Uber,transport,credit,completed,CUST00010
TXNEF1F5D350EB8,2024-10-28T19:13:07Z,1.0,GBP,British Gas,utilities,credit,pending,CUST00261
TXNF0034FC02A5F,2024-10-28T14:12:09Z,1.0,GBP,Apple,subscriptions,credit,completed,CUST00589
TXN2303954497E1,2024-11-27T01:57:06Z,103.19,EUR,Apple,subscriptions,credit,pending,
TXN17AFF3FD6E06,2024-10-13T19:22:21Z,88.55,GBP,Uber,transport,credit,completed,
TXN77056BCFEF5A,2024-11-24T01:44:01Z,72.6,GBP,TfL,transport,credit,pending,CUST00398
TXNBD4D29C43310,2024-11-02T00:44:06Z,79.38,GBP,Texaco,fuel,debit,completed,CUST00357
TXNB3AE15C9D060,2024-10-03T10:29:46Z,22.07,GBP,Wagamama,dining,credit,refunded,CUST00461
TXN3FB8CB7918FB,2024-10-02T13:51:50Z,1.0,GBP,Sky,entertainment,debit,completed,CUST00207
TXN4E82263073B3,2024-11-07T11:47:01Z,64.61,EUR,BP,fuel,credit,pending,CUST00401
TXNF63B717F69FA,2024-12-01T15:17:12Z,18.06,GBP,Jet,fuel,credit,refunded,CUST00294
TXN36F8A7EFD505,2024-10-29T13:34:04Z,53.43,GBP,M&S Food,groceries,debit,completed,CUST00086
TXN662C6E9A088C,2024-11-11T06:51:25Z,51.21,GBP,Currys,retail,debit,completed,CUST00257
TXN7B8338085CBD,2024-12-14T16:36:26Z,99.57,GBP,EDF Energy,,debit,completed,CUST00006
TXNCBC796F53443,2024-12-04T17:37:17Z,51.46,USD,EDF Energy,utilities,credit,completed,
TXNAFF96B8C850C,2024-11-22T15:44:55Z,54.79,GBP,Nando's,,credit,completed,CUST00104
TXNE61EA28F634D,2024-10-28T06:57:23Z,4.8,EUR,Microsoft 365,subscriptions,credit,completed,CUST00153
TXN345FA57C34C0,2024-12-14T08:34:45Z,1.0,GBP,EDF Energy,utilities,debit,completed,CUST00472
TXND4BB8F07A5B4,2024-11-21T10:27:20Z,89.58,GBP,BP,fuel,debit,pending,CUST00635
TXNE95F7A5ACE81,2024-12-12T21:47:22Z,38.22,EUR,Shell,fuel,debit,completed,CUST00607
TXNB5A806804800,2024-10-02T16:29:07Z,70.92,GBP,EasyJet,travel,debit,pending,CUST00539
TXN420550EF2A12,2024-12-14T02:35:06Z,59.41,GBP,Ryanair,travel,credit,completed,CUST00581
TXN7BCD706EFECB,2024-11-22T06:18:17Z,32.67,EUR,Sky,entertainment,credit,refunded,CUST00767
TXN424CEB153F79,2024-11-05T04:23:48Z,52.81,GBP,Currys,retail,debit,completed,CUST00382
TXN2FB6EBEEA260,2024-10-30T21:33:25Z,15.16,GBP,Virgin Media,utilities,,completed,CUST00059
TXN79E587A83807,2024-10-31T17:39:26Z,36.35,GBP,Superdrug,healthcare,credit,completed,CUST00291
TXNA03B810EA00D,2024-11-15T23:19:56Z,65.62,GBP,Boots,healthcare,credit,completed,CUST00755
TXN3C6E8311F02D,2024-10-03T13:58:54Z,32.78,GBP,Bolt,transport,debit,refunded,
TXN75E9E06EA0AE,2024-11-25T14:39:13Z,7.83,GBP,BP,fuel,credit,completed,CUST00365
TXNCDABF535F85D,2024-11-18T02:31:20Z,42.59,GBP,BT,utilities,debit,refunded,CUST00108
TXN5620C41A2323,2024-12-01T09:01:49Z,3.97,GBP,Adobe,subscriptions,credit,completed,CUST00527
TXN687C28F82DF0,2024-12-08T16:11:51Z,101.54,GBP,Adobe,subscriptions,debit,completed,CUST00652
TXN58D73036B64B,2024-12-01T23:14:39Z,83.01,GBP,Sainsbury's,groceries,debit,declined,CUST00183
TXN8EFE95522C14,2024-10-25T20:00:27Z,1.0,GBP,Thames Water,utilities,credit,declined,CUST00188
TXNC614D74F5E3F,2024-11-21T19:03:24Z,47.4,GBP,Netflix,entertainment,debit,completed,CUST00078
TXN3563D86BCC3C,2024-10-02T05:31:43Z,40.15,GBP,Tesco,groceries,credit,completed,CUST00374
TXNAB2FEB092E07,2024-12-25T18:58:44Z,103.7,USD,Spotify,entertainment,credit,completed,CUST00363
TXNC3462388C2B1,2024-10-17T04:37:17Z,39.51,GBP,Adobe,subscriptions,debit,completed,CUST00694
TXN22256A93CD51,2024-10-06T17:20:01Z,76.65,GBP,M&S Food,groceries,credit,refunded,CUST00157
TXNDE8B2415E794,2024-12-12T04:11:31Z,106.59,GBP,Aldi,groceries,credit,completed,CUST00451
TXN3C1297A5705D,2024-11-09T16:06:42Z,40.46,GBP,Netflix,entertainment,debit,completed,CUST00781
TXN750D7E7EBBE4,2024-12-08T22:07:32Z,47.75,GBP,Greggs,dining,credit,completed,CUST00612
TXN82F619F042D2,2024-10-04T23:54:56Z,38.76,GBP,Apple,subscriptions,debit,completed,CUST00663
TXNE06F42E23CFA,2024-10-13T05:50:52Z,6.42,GBP,Greggs,dining,credit,completed,CUST00483
TXNF7FDA808496C,2024-10-13T01:14:49Z,109.34,GBP,BP,fuel,debit,completed,CUST00601
TXNEEACBF83E57D,2024-11-28T21:32:07Z,41.03,USD,Virgin Media,utilities,debit,completed,CUST00582
TXN8FCF43A74285,2024-10-22T03:54:45Z,19.55,GBP,Virgin Media,utilities,debit,completed,CUST00127
TXNF2A7B6C24C13,2024-10-24T19:43:12Z,10.91,USD,Nando's,dining,credit,completed,CUST00531
TXN90E05FFBEE7C,2024-12-05T19:22:41Z,49.82,EUR,Sainsbury's,groceries,debit,completed,CUST00085
TXN854953A7FB6D,2024-10-01T15:52:55Z,37.04,GBP,Tesco,groceries,credit,declined,CUST00182
TXN8C2D4A1E88D8,2024-11-11T09:40:24Z,83.5,GBP,Wagamama,dining,debit,pending,CUST00225
TXN2775543480B7,2024-11-17T10:06:53Z,11.16,USD,Nando's,dining,credit,completed,CUST00320
TXN08B1C4EB6360,2024-12-28T05:51:36Z,36.36,GBP,Expedia,,credit,completed,CUST00193
TXN3E69C2766F20,2024-12-08T22:53:55Z,1.0,GBP,Netflix,,debit,completed,CUST00471
TXNDEF687EBC021,2024-11-28T00:30:43Z,8.0,EUR,Ryanair,travel,debit,declined,CUST00073
TXN094C7FEF0553,2024-11-05T13:36:07Z,43.8,GBP,Amazon,retail,credit,completed,CUST00433
TXN3AA2591E8D92,2024-11-01T21:00:26Z,72.83,GBP,Microsoft 365,subscriptions,credit,completed,CUST00388
TXNF92BB1173225,2024-10-19T17:39:38Z,36.72,EUR,Pret A Manger,dining,debit,completed,CUST00583
TXN0D21A47E339F,2024-12-24T04:43:21Z,67.28,GBP,Booking.com,travel,credit,completed,CUST00462
TXNFA39C4293757,2024-10-14T13:23:34Z,63.76,GBP,Pizza Express,dining,debit,pending,
TXN519FF6C3FF0A,2024-11-14T02:20:48Z,12.27,GBP,Boots,healthcare,credit,completed,CUST00706
TXNC6E0D1EE3145,2024-11-20T04:32:20Z,24.17,GBP,Airbnb,travel,credit,completed,CUST00379
TXN15808A6D85BD,2024-12-08T12:43:25Z,30.43,GBP,Adobe,subscriptions,debit,declined,CUST00464
TXN5B3DE3AA3010,2024-11-04T07:29:32Z,107.1,GBP,Nando's,dining,debit,completed,CUST00151
TXNEAD146C71F75,2024-12-14T08:33:40Z,39.74,GBP,Microsoft 365,subscriptions,debit,completed,CUST00398
TXN5D9F75003BF6,2024-11-07T08:34:38Z,26.33,GBP,National Rail,transport,credit,completed,
TXN3DEAF1DA01D7,2024-11-17T06:58:13Z,52.98,GBP,Greggs,dining,debit,completed,CUST00342
TXN5FE0C4F73667,2024-10-16T06:53:18Z,82.52,GBP,Amazon Prime,entertainment,credit,completed,CUST00126
TXNDBEC2D19BF56,2024-12-30T22:20:39Z,44.7,GBP,TfL,transport,credit,completed,CUST00613
TXNF0C8F3ED31F9,2024-10-18T23:39:21Z,73.15,GBP,Spotify,entertainment,debit,completed,CUST00751
TXNA14469BBB1AD,2024-12-07T08:53:34Z,20.28,GBP,Texaco,fuel,credit,completed,
TXNEFBD5BAE2512,2024-11-28T13:31:01Z,82.59,GBP,Jet,fuel,debit,pending,CUST00024
TXN4AF4FB40BC3F,2024-11-23T15:03:43Z,64.06,GBP,Bupa,healthcare,credit,completed,
TXN728473EC5731,2024-10-05T23:02:49Z,52.54,GBP,Boots,healthcare,credit,completed,CUST00440
TXNA0E2F91BD54E,2024-10-20T13:53:00Z,105.43,EUR,TfL,transport,credit,completed,CUST00213
TXN888DFC835AC3,2024-10-07T04:50:28Z,90.48,GBP,Greggs,dining,credit,completed,CUST00635
TXN7A847548EEFE,2024-10-16T03:13:24Z,105.87,GBP,Expedia,travel,debit,completed,CUST00096
TXN46306E02B62C,2024-10-22T04:43:48Z,25.77,EUR,Shell,fuel,debit,completed,
TXN28C79502DDA0,2024-11-13T06:49:35Z,86.55,GBP,British Gas,utilities,credit,completed,CUST00777
TXNDEF9011730E3,2024-10-19T06:12:55Z,45.26,GBP,Texaco,fuel,debit,declined,CUST00535
TXN129800878C48,2024-12-29T01:53:55Z,37.24,GBP,Microsoft 365,subscriptions,debit,pending,CUST00223
TXN12EE8E6118A0,2024-11-28T20:27:21Z,81.94,GBP,LloydsPharmacy,healthcare,debit,pending,
TXN9C3851452736,2024-12-23T04:36:42Z,22.47,GBP,British Gas,utilities,credit,declined,CUST00070
TXNA3A1FD55D61F,2024-12-29T01:20:38Z,49.36,GBP,Texaco,fuel,debit,completed,CUST00152
TXN9B92C6855807,2024-12-03T11:21:14Z,1.0,GBP,Shell,fuel,credit,completed,CUST00547
TXNC87547EB58BE,2024-12-03T11:20:57Z,13.59,GBP,Ryanair,travel,debit,completed,CUST00796
TXNE03F2CF9027E,2024-10-29T05:53:43Z,1.0,EUR,TfL,transport,debit,completed,CUST00467
TXN77DC77FBF010,2024-12-20T11:26:25Z,19.24,GBP,Uber,transport,debit,completed,CUST00148
TXN0674691BA669,2024-10-11T21:03:04Z,30.47,USD,Virgin Media,utilities,credit,completed,CUST00120
TXN2049B3BC14B9,2024-11-19T08:47:17Z,78.15,GBP,Bolt,,debit,completed,CUST00350
TXN571F4EBD8912,2024-11-21T19:31:55Z,68.81,GBP,Bupa,healthcare,credit,completed,CUST00674
TXNBAB04F25886B,2024-12-23T01:22:42Z,38.3,GBP,EDF Energy,utilities,credit,completed,CUST00371
TXNC123A91CD497,2024-10-24T10:27:51Z,32.26,USD,Pizza Express,dining,debit,completed,CUST00527
TXN0103B687D673,2024-10-23T03:54:13Z,41.01,GBP,Wagamama,dining,credit,declined,CUST00776
TXN4EA18A88DFB3,2024-11-28T15:49:14Z,9.72,GBP,Jet,fuel,credit,completed,CUST00274
TXN0B91773D8B9C,2024-11-09T01:27:20Z,89.49,GBP,Greggs,dining,debit,completed,CUST00306
TXNE94A5451A282,2024-10-11T15:28:09Z,13.4,GBP,EasyJet,travel,credit,declined,CUST00686
TXNE3015143EFF0,2024-12-08T10:23:19Z,95.86,GBP,Vue Cinema,entertainment,credit,completed,CUST00037
TXN1D1B3635C1F6,2024-10-06T23:28:57Z,41.88,GBP,Texaco,fuel,credit,refunded,CUST00491
TXN4807CA2FBDBE,2024-12-09T00:34:25Z,7.0,EUR,Vue Cinema,entertainment,debit,completed,CUST00697
TXND3EAFE9A485E,2024-12-24T08:15:58Z,71.93,USD,Nando's,dining,debit,completed,CUST00798
TXN1B17D4DD544C,2024-11-21T21:23:38Z,57.27,USD,Trainline,transport,debit,declined,
TXN5FDE8E2AA976,2024-10-01T14:28:33Z,70.29,GBP,John Lewis,retail,credit,pending,CUST00792
TXN916ED3D79AD7,2024-11-05T03:28:04Z,42.99,GBP,Uber,transport,debit,pending,CUST00672
TXN8506A4667671,2024-11-28T18:20:55Z,1.0,GBP,Pizza Express,dining,credit,pending,CUST00746
TXN0D129404D433,2024-11-03T14:50:47Z,32.43,GBP,National Rail,,debit,completed,CUST00780
TXNA771773ACAC1,2024-12-30T01:05:27Z,61.95,EUR,Amazon Prime,entertainment,debit,completed,CUST00405
TXN5F4B7B2F1336,2024-11-18T05:41:11Z,4.95,GBP,Netflix,entertainment,credit,completed,CUST00234
TXN425FF93C978A,2024-12-24T20:36:43Z,71.89,GBP,Pizza Express,dining,credit,completed,CUST00129
TXN12551A0C868F,2024-12-06T21:47:31Z,1.0,GBP,Trainline,transport,credit,declined,CUST00418
TXN71262969C6AB,2024-12-15T11:17:36Z,31.54,GBP,Amazon Prime,entertainment,credit,completed,CUST00064
TXNCAC01389523E,2024-11-19T08:52:57Z,75.26,GBP,Waitrose,groceries,debit,completed,CUST00212
TXNB3797D159844,2024-10-09T17:28:49Z,31.93,EUR,Microsoft 365,subscriptions,credit,completed,CUST00244
TXN09F4D821456D,2024-10-14T13:28:48Z,40.65,GBP,Apple,subscriptions,credit,completed,CUST00464
TXN389B1E78B19B,2024-10-10T19:01:21Z,16.79,USD,Waitrose,groceries,debit,pending,CUST00720
TXN2C384017B511,2024-12-07T09:08:06Z,67.0,GBP,Google,subscriptions,debit,completed,CUST00112
TXND59FDC467616,2024-11-17T03:24:55Z,54.83,GBP,Google,,credit,completed,CUST00059
TXNF2723775830C,2024-12-17T10:00:24Z,26.62,GBP,Dropbox,subscriptions,debit,completed,CUST00589
TXN1D740C6B1E3C,2024-11-11T03:59:08Z,29.34,GBP,Lidl,groceries,credit,completed,CUST00580
TXNDEC678E17582,2024-10-13T09:33:52Z,58.05,GBP,Vue Cinema,,debit,pending,CUST00122
