transaction_id,customer_id,amount,merchant_category,hour_of_day,day_of_week,is_international,distance_from_home_km,is_fraud
TXN-0005000,CUST-182,326.63,electronics,1,Saturday,True,48.5,True
TXN-0001752,CUST-097,29.32,groceries,10,Saturday,False,16.6,False
TXN-0003183,CUST-265,17.19,travel,19,Tuesday,False,5.5,False
TXN-0004817,CUST-309,56.35,fuel,17,Wednesday,False,0.2,False
TXN-0001559,CUST-006,19.63,travel,12,Thursday,False,5.1,False
TXN-0000681,CUST-118,46.94,fuel,1,Wednesday,False,4.3,False
TXN-0003294,CUST-387,54.41,travel,6,Friday,False,5.8,False
TXN-0001513,CUST-431,29.49,online_retail,14,Wednesday,True,2.8,False
TXN-0002131,CUST-155,153.68,restaurants,12,Wednesday,False,10.8,False
TXN-0004822,CUST-413,15.88,travel,7,Friday,False,0.1,False
TXN-0001401,CUST-425,17.97,fuel,18,Thursday,False,7.3,False
TXN-0003451,CUST-432,290.57,electronics,21,Thursday,False,3.6,False
TXN-0004806,CUST-494,14.83,groceries,11,Thursday,False,3.6,False
TXN-0004694,CUST-398,313.9,online_retail,15,Wednesday,False,1.8,False
TXN-0002293,CUST-212,26.67,cash_withdrawal,7,Sunday,False,0.3,False
TXN-0002349,CUST-376,46.92,travel,14,Friday,False,8.7,False
TXN-0000472,CUST-103,16.01,fuel,10,Wednesday,False,1.0,False
TXN-0000014,CUST-496,13.61,cash_withdrawal,13,Sunday,False,0.4,False
TXN-0000867,CUST-119,146.12,electronics,15,Saturday,True,1.5,False
TXN-0003106,CUST-319,19.81,restaurants,5,Wednesday,False,6.1,False
TXN-0001906,CUST-045,12.2,groceries,18,Tuesday,False,0.1,False
TXN-0002312,CUST-095,22.48,cash_withdrawal,14,Thursday,False,3.2,False
TXN-0004279,CUST-431,21.76,travel,17,Sunday,False,2.8,False
TXN-0000231,CUST-002,24.53,fuel,12,Sunday,False,4.9,False
TXN-0003606,CUST-119,10.33,travel,23,Friday,False,7.5,False
TXN-0002975,CUST-283,50.63,electronics,8,Saturday,False,2.4,False
TXN-0004760,CUST-426,134.38,fuel,7,Sunday,False,2.0,False
TXN-0001289,CUST-293,17.93,cash_withdrawal,14,Friday,False,13.6,False
TXN-0001236,CUST-069,48.97,groceries,11,Monday,False,4.1,False
TXN-0000477,CUST-262,21.65,groceries,16,Saturday,False,5.6,False
TXN-0002926,CUST-424,321.4,electronics,7,Wednesday,False,20.0,False
TXN-0003775,CUST-428,70.56,electronics,13,Sunday,False,0.8,False
TXN-0003744,CUST-091,200.0,fuel,20,Saturday,False,7.0,False
TXN-0001082,CUST-074,160.49,cash_withdrawal,16,Wednesday,False,5.7,False
TXN-0002319,CUST-274,873.58,travel,18,Thursday,False,3.2,False
TXN-0004640,CUST-476,21.21,travel,10,Sunday,False,5.4,False
TXN-0002873,CUST-350,48.23,restaurants,14,Monday,False,5.5,False
TXN-0000064,CUST-032,21.07,fuel,11,Friday,False,2.1,False
TXN-0002340,CUST-219,66.05,restaurants,11,Tuesday,True,3.2,False
TXN-0003120,CUST-481,73.81,electronics,16,Monday,False,3.9,False
TXN-0002989,CUST-317,13.55,travel,13,Tuesday,False,1.7,False
TXN-0002607,CUST-392,50.05,groceries,7,Sunday,False,0.7,False
TXN-0002054,CUST-497,64.52,online_retail,14,Monday,True,14.2,False
TXN-0002366,CUST-471,200.0,travel,6,Thursday,False,1.3,False
TXN-0002090,CUST-134,11.91,cash_withdrawal,12,Monday,False,14.3,False
TXN-0002341,CUST-185,44.13,restaurants,20,Thursday,False,7.4,False
TXN-0004589,CUST-323,23.52,cash_withdrawal,23,Wednesday,False,8.9,False
TXN-0000263,CUST-216,23.91,restaurants,17,Friday,False,15.0,False
TXN-0000677,CUST-356,49.62,travel,21,Thursday,False,8.8,False
TXN-0004704,CUST-475,29.74,restaurants,17,Sunday,False,3.8,False
TXN-0002596,CUST-114,85.93,electronics,12,Monday,False,1.9,False
TXN-0002259,CUST-358,171.29,travel,14,Thursday,False,2.4,False
TXN-0001334,CUST-352,95.26,electronics,14,Saturday,False,0.9,False
TXN-0003974,CUST-273,36.71,cash_withdrawal,2,Friday,False,3.8,False
TXN-0000281,CUST-440,61.97,online_retail,12,Tuesday,False,8.2,False
TXN-0001457,CUST-230,244.28,restaurants,11,Friday,False,0.8,False
TXN-0003999,CUST-457,5.0,fuel,13,Monday,False,2.0,False
TXN-0002161,CUST-261,19.84,restaurants,21,Monday,False,1.5,False
TXN-0000265,CUST-135,120.76,electronics,14,Monday,False,1.7,False
TXN-0002005,CUST-162,94.75,fuel,9,Thursday,False,2.3,False
TXN-0004304,CUST-354,102.72,online_retail,10,Saturday,False,2.4,False
TXN-0003862,CUST-474,43.09,online_retail,23,Sunday,False,0.4,False
TXN-0001807,CUST-294,39.44,travel,20,Wednesday,False,1.0,False
TXN-0004067,CUST-420,82.86,online_retail,17,Wednesday,False,1.4,False
TXN-0002585,CUST-372,31.45,groceries,11,Wednesday,False,4.2,False
TXN-0001768,CUST-308,54.25,groceries,5,Saturday,False,0.3,False
TXN-0001414,CUST-345,30.53,cash_withdrawal,11,Saturday,False,5.2,False
TXN-0001704,CUST-041,224.42,restaurants,10,Thursday,False,0.2,False
TXN-0003349,CUST-002,369.48,travel,12,Tuesday,True,0.4,False
TXN-0000731,CUST-443,200.0,travel,13,Thursday,False,6.6,False
TXN-0000114,CUST-495,37.18,cash_withdrawal,10,Saturday,False,5.8,False
TXN-0003381,CUST-104,304.63,electronics,15,Tuesday,False,7.8,False
TXN-0004136,CUST-364,25.28,online_retail,16,Monday,False,1.4,False
TXN-0003432,CUST-187,313.26,groceries,8,Thursday,False,10.3,False
TXN-0003939,CUST-323,24.7,fuel,12,Saturday,False,5.4,False
TXN-0000041,CUST-436,67.12,groceries,13,Tuesday,False,3.9,False
TXN-0001567,CUST-387,320.72,restaurants,19,Wednesday,False,4.8,False
TXN-0003222,CUST-198,38.68,fuel,7,Sunday,False,3.3,False
TXN-0000418,CUST-400,230.81,electronics,11,Sunday,False,0.7,False
TXN-0001127,CUST-105,10.87,electronics,13,Wednesday,False,3.1,False
TXN-0004907,CUST-085,198.58,travel,3,Saturday,True,20.0,True
TXN-0003204,CUST-156,27.27,fuel,19,Tuesday,False,6.8,False
TXN-0001823,CUST-340,12.42,fuel,23,Monday,False,9.8,False
TXN-0002776,CUST-297,13.69,cash_withdrawal,13,Sunday,True,2.5,False
TXN-0000665,CUST-225,18.78,groceries,23,Tuesday,False,5.2,False
TXN-0003603,CUST-406,110.79,restaurants,0,Tuesday,False,9.0,False
TXN-0002750,CUST-118,15.13,cash_withdrawal,13,Monday,False,2.1,False
TXN-0001705,CUST-217,68.59,online_retail,13,Friday,False,20.0,False
TXN-0000140,CUST-387,30.52,cash_withdrawal,16,Tuesday,False,0.2,False
TXN-0003876,CUST-050,54.27,electronics,20,Thursday,False,0.3,False
TXN-0001471,CUST-109,76.01,travel,14,Thursday,True,2.6,False
TXN-0003286,CUST-478,90.36,electronics,20,Tuesday,False,9.4,False
TXN-0000373,CUST-050,15.79,groceries,15,Thursday,False,2.1,False
TXN-0004537,CUST-221,53.23,travel,15,Monday,False,8.7,False
TXN-0002217,CUST-066,23.97,online_retail,14,Friday,False,1.5,False
TXN-0000667,CUST-265,31.13,cash_withdrawal,8,Tuesday,False,4.6,False
TXN-0003756,CUST-441,60.79,online_retail,10,Monday,False,4.4,False
TXN-0004489,CUST-491,59.04,electronics,14,Saturday,False,0.6,False
TXN-0003193,CUST-356,10.08,restaurants,14,Saturday,False,3.8,False
TXN-0001716,CUST-491,36.63,restaurants,17,Sunday,False,2.3,False
TXN-0000131,CUST-360,94.02,electronics,5,Monday,False,6.1,False
TXN-0000387,CUST-462,7.38,online_retail,17,Sunday,False,1.2,False
TXN-0001576,CUST-405,79.11,groceries,15,Thursday,False,0.4,False
TXN-0002376,CUST-153,17.35,travel,12,Wednesday,True,5.0,False
TXN-0001569,CUST-189,34.13,groceries,19,Friday,False,2.5,False
TXN-0003386,CUST-023,70.35,restaurants,12,Wednesday,True,2.8,False
TXN-0001449,CUST-452,22.34,restaurants,20,Monday,True,5.2,False
TXN-0002286,CUST-498,57.52,electronics,1,Monday,False,3.2,False
TXN-0003239,CUST-202,93.68,groceries,10,Monday,False,5.4,False
TXN-0003310,CUST-479,41.49,fuel,6,Sunday,False,7.7,False
TXN-0000166,CUST-419,84.15,fuel,12,Thursday,False,11.2,False
TXN-0000092,CUST-177,55.85,cash_withdrawal,23,Saturday,False,2.8,False
TXN-0004717,CUST-046,30.0,cash_withdrawal,11,Sunday,False,2.1,False
TXN-0002466,CUST-003,24.04,restaurants,4,Saturday,False,0.4,False
TXN-0004631,CUST-393,17.21,online_retail,14,Tuesday,False,4.5,False
TXN-0001447,CUST-279,88.16,online_retail,13,Sunday,False,1.5,False
TXN-0000588,CUST-073,366.46,electronics,2,Tuesday,False,0.9,False
TXN-0002679,CUST-169,92.08,online_retail,13,Thursday,False,11.3,False
TXN-0004602,CUST-228,59.7,cash_withdrawal,20,Wednesday,False,1.0,False
TXN-0002507,CUST-032,35.34,groceries,19,Tuesday,False,1.3,False
TXN-0002193,CUST-142,200.0,restaurants,17,Tuesday,True,6.3,False
TXN-0003426,CUST-284,9.79,online_retail,4,Saturday,False,3.1,False
TXN-0000032,CUST-132,44.86,cash_withdrawal,23,Thursday,False,0.4,False
TXN-0004925,CUST-218,73.64,electronics,0,Friday,False,67.2,True
TXN-0000719,CUST-041,527.27,electronics,2,Wednesday,False,2.6,False
TXN-0000935,CUST-212,115.24,groceries,6,Thursday,False,2.9,False
TXN-0002690,CUST-081,12.72,online_retail,15,Saturday,False,2.6,False
TXN-0002172,CUST-379,13.9,restaurants,12,Sunday,False,5.9,False
TXN-0002619,CUST-335,41.36,travel,9,Thursday,False,1.0,False
TXN-0003209,CUST-245,35.0,online_retail,0,Monday,False,11.6,False
TXN-0003994,CUST-435,141.68,groceries,15,Sunday,False,0.3,False
TXN-0001137,CUST-076,57.64,travel,19,Tuesday,False,4.8,False
TXN-0001579,CUST-379,8.15,travel,9,Tuesday,False,4.7,False
TXN-0003971,CUST-297,200.0,fuel,11,Tuesday,False,2.1,False
TXN-0003422,CUST-182,34.74,groceries,13,Saturday,False,2.3,False
TXN-0000157,CUST-086,54.45,travel,12,Wednesday,False,14.4,False
TXN-0001864,CUST-277,10.96,fuel,6,Sunday,False,0.5,False
TXN-0001488,CUST-278,561.88,online_retail,11,Sunday,False,7.4,False
TXN-0003972,CUST-278,11.88,online_retail,8,Tuesday,True,1.3,False
TXN-0003542,CUST-310,28.47,groceries,20,Saturday,False,0.8,False
TXN-0000990,CUST-447,7.32,cash_withdrawal,11,Tuesday,False,3.7,False
TXN-0000440,CUST-115,17.36,cash_withdrawal,13,Sunday,False,4.7,False
TXN-0002909,CUST-360,38.46,online_retail,15,Friday,False,2.0,False
TXN-0002318,CUST-199,42.49,cash_withdrawal,12,Saturday,False,9.0,False
TXN-0004734,CUST-431,359.85,travel,16,Monday,False,8.6,False
TXN-0004364,CUST-348,239.81,online_retail,13,Saturday,False,11.0,False
TXN-0001287,CUST-462,228.36,travel,12,Wednesday,False,1.5,False
TXN-0003263,CUST-316,57.27,travel,8,Sunday,False,4.4,False
TXN-0001071,CUST-410,65.72,online_retail,22,Tuesday,False,7.0,False
TXN-0000922,CUST-282,23.91,restaurants,21,Sunday,True,4.2,False
TXN-0002295,CUST-417,32.04,groceries,23,Monday,False,0.2,False
TXN-0001865,CUST-248,14.36,restaurants,22,Wednesday,False,2.6,False
TXN-0004118,CUST-045,32.12,electronics,18,Thursday,False,4.3,False
TXN-0003367,CUST-063,125.49,cash_withdrawal,13,Saturday,False,8.2,False
TXN-0004463,CUST-411,18.64,cash_withdrawal,23,Thursday,False,0.6,False
TXN-0002124,CUST-164,15.28,electronics,19,Tuesday,True,1.9,False
TXN-0003520,CUST-218,273.38,electronics,12,Friday,False,2.5,False
TXN-0002630,CUST-429,42.42,restaurants,17,Sunday,False,1.1,False
TXN-0002300,CUST-469,15.56,fuel,18,Tuesday,False,0.9,False
TXN-0003020,CUST-361,7.84,electronics,12,Tuesday,False,1.3,False
TXN-0000949,CUST-059,73.12,groceries,12,Friday,False,1.1,False
TXN-0001192,CUST-139,17.32,cash_withdrawal,11,Saturday,False,1.7,False
TXN-0000229,CUST-048,247.78,travel,15,Friday,False,16.5,False
TXN-0002872,CUST-459,87.98,restaurants,10,Thursday,False,4.7,False
TXN-0004147,CUST-386,97.19,groceries,17,Monday,False,6.7,False
TXN-0004108,CUST-315,51.57,groceries,19,Wednesday,False,2.9,False
TXN-0004302,CUST-256,60.39,travel,4,Monday,False,7.6,False
TXN-0001216,CUST-110,87.11,online_retail,10,Sunday,False,8.1,False
TXN-0004299,CUST-187,34.99,online_retail,9,Tuesday,False,1.9,False
TXN-0004167,CUST-269,93.22,fuel,6,Sunday,False,10.5,False
TXN-0000503,CUST-411,66.38,online_retail,11,Thursday,False,14.7,False
TXN-0001686,CUST-361,18.54,groceries,9,Tuesday,True,8.1,False
TXN-0003770,CUST-492,12.3,online_retail,12,Wednesday,False,4.9,False
TXN-0003298,CUST-065,200.0,fuel,18,Monday,False,11.0,False
TXN-0000513,CUST-360,15.5,groceries,22,Monday,False,2.6,False
TXN-0000351,CUST-288,62.32,cash_withdrawal,15,Friday,False,8.4,False
TXN-0003270,CUST-196,10.27,groceries,12,Thursday,False,3.0,False
TXN-0003266,CUST-181,54.84,travel,11,Wednesday,False,2.6,False
TXN-0002769,CUST-384,157.98,fuel,9,Sunday,False,1.5,False
TXN-0002677,CUST-326,39.38,online_retail,15,Sunday,False,1.8,False
TXN-0004251,CUST-089,43.8,fuel,15,Friday,False,3.1,False
TXN-0000492,CUST-455,9.56,travel,12,Thursday,True,0.3,False
TXN-0000498,CUST-424,19.85,online_retail,13,Friday,False,0.1,False
TXN-0001607,CUST-255,27.9,restaurants,18,Wednesday,False,1.4,False
TXN-0002236,CUST-149,78.13,restaurants,15,Saturday,False,3.3,False
TXN-0003292,CUST-311,172.18,fuel,20,Monday,False,17.9,False
TXN-0004409,CUST-062,61.56,online_retail,23,Monday,False,5.0,False
TXN-0001129,CUST-108,251.47,fuel,17,Saturday,False,5.0,False
TXN-0004001,CUST-070,24.65,cash_withdrawal,18,Friday,False,2.0,False
TXN-0002437,CUST-104,6.74,groceries,15,Wednesday,False,0.4,False
TXN-0000683,CUST-048,19.3,travel,11,Saturday,False,2.9,False
TXN-0002290,CUST-219,94.81,online_retail,19,Tuesday,False,7.0,False
TXN-0002563,CUST-376,118.35,groceries,11,Saturday,False,8.0,False
TXN-0003515,CUST-038,50.41,electronics,2,Thursday,False,12.3,False
TXN-0000143,CUST-315,57.83,online_retail,12,Thursday,False,4.6,False
TXN-0000461,CUST-416,734.75,travel,18,Monday,False,7.5,False
TXN-0000864,CUST-458,200.0,cash_withdrawal,9,Saturday,False,6.9,False
TXN-0000884,CUST-370,241.77,online_retail,20,Monday,False,4.6,False
TXN-0001336,CUST-171,18.39,electronics,22,Thursday,False,0.7,False
TXN-0003412,CUST-318,347.93,fuel,14,Sunday,False,2.5,False
TXN-0004092,CUST-032,107.35,cash_withdrawal,6,Tuesday,False,8.4,False
TXN-0003718,CUST-293,39.09,electronics,4,Wednesday,False,0.4,False
TXN-0002997,CUST-347,8.37,travel,19,Tuesday,False,0.2,False
TXN-0000600,CUST-229,26.46,restaurants,4,Sunday,False,4.8,False
TXN-0001191,CUST-447,53.0,restaurants,17,Sunday,False,3.6,False
TXN-0002026,CUST-161,18.05,restaurants,11,Monday,False,8.3,False
TXN-0002973,CUST-334,16.67,travel,12,Wednesday,False,0.4,False
TXN-0004994,CUST-051,774.0,fuel,14,Friday,True,20.0,True
TXN-0002576,CUST-393,14.07,fuel,6,Monday,False,4.8,False
TXN-0002612,CUST-112,14.74,travel,12,Friday,False,6.2,False
TXN-0001825,CUST-283,79.17,electronics,23,Friday,False,3.0,False
TXN-0001037,CUST-459,226.99,groceries,18,Saturday,False,0.2,False
TXN-0001838,CUST-373,43.7,restaurants,10,Friday,False,2.9,False
TXN-0001670,CUST-008,18.51,restaurants,13,Sunday,False,3.1,False
TXN-0000376,CUST-014,5.0,electronics,15,Tuesday,False,0.1,False
TXN-0001468,CUST-226,28.93,cash_withdrawal,17,Thursday,False,1.1,False
TXN-0002962,CUST-375,20.94,electronics,18,Thursday,False,0.8,False
TXN-0002184,CUST-340,58.53,fuel,9,Sunday,False,7.6,False
TXN-0002204,CUST-101,200.0,travel,18,Friday,False,5.8,False
TXN-0002708,CUST-376,403.42,travel,16,Sunday,False,5.7,False
TXN-0000321,CUST-434,63.38,fuel,8,Sunday,False,6.1,False
TXN-0001692,CUST-390,16.74,groceries,16,Friday,False,0.4,False
TXN-0003102,CUST-035,14.9,groceries,9,Tuesday,False,5.6,False
TXN-0000030,CUST-177,74.74,fuel,23,Sunday,False,0.6,False
TXN-0000104,CUST-246,216.38,electronics,14,Saturday,False,0.0,False
TXN-0000696,CUST-398,200.0,electronics,11,Thursday,False,2.4,False
TXN-0002883,CUST-016,90.19,cash_withdrawal,19,Thursday,False,0.2,False
TXN-0003896,CUST-107,15.61,groceries,8,Sunday,False,4.1,False
TXN-0004349,CUST-308,28.15,cash_withdrawal,13,Tuesday,False,0.8,False
TXN-0002899,CUST-491,8.49,fuel,15,Monday,False,4.8,False
TXN-0004110,CUST-194,106.8,online_retail,20,Saturday,False,7.4,False
TXN-0001908,CUST-229,17.56,groceries,23,Monday,False,4.3,False
TXN-0000397,CUST-055,41.98,online_retail,16,Sunday,False,11.9,False
TXN-0001086,CUST-099,13.84,groceries,17,Friday,False,8.0,False
TXN-0003875,CUST-399,40.16,cash_withdrawal,17,Friday,False,3.2,False
TXN-0004155,CUST-450,47.23,online_retail,20,Friday,False,1.1,False
TXN-0000628,CUST-083,84.1,electronics,7,Saturday,False,4.1,False
TXN-0004182,CUST-260,40.59,travel,8,Monday,False,5.6,False
TXN-0000507,CUST-456,8.92,online_retail,12,Friday,False,2.1,False
TXN-0003906,CUST-090,23.58,groceries,13,Saturday,False,3.4,False
TXN-0004275,CUST-495,19.78,cash_withdrawal,19,Friday,False,8.9,False
TXN-0001051,CUST-400,51.5,fuel,17,Sunday,False,0.2,False
TXN-0000933,CUST-200,28.21,electronics,15,Friday,False,14.8,False
TXN-0004863,CUST-036,249.75,online_retail,0,Thursday,True,20.0,True
TXN-0004587,CUST-377,265.55,cash_withdrawal,9,Monday,False,0.6,False
TXN-0000508,CUST-487,22.77,restaurants,8,Wednesday,False,13.2,False
TXN-0003597,CUST-014,18.34,fuel,10,Monday,False,3.7,False
TXN-0000512,CUST-425,64.06,cash_withdrawal,18,Sunday,False,4.3,False
TXN-0004313,CUST-317,96.97,restaurants,12,Friday,False,1.4,False
TXN-0003772,CUST-406,438.27,groceries,16,Monday,False,6.4,False
TXN-0004981,CUST-278,211.84,restaurants,1,Friday,False,4.2,True
TXN-0000256,CUST-044,17.52,electronics,15,Friday,False,1.7,False
TXN-0000086,CUST-443,46.65,fuel,18,Monday,False,4.5,False
TXN-0001508,CUST-073,20.05,restaurants,14,Friday,False,0.2,False
TXN-0000136,CUST-476,29.36,fuel,10,Wednesday,True,1.9,False
TXN-0003245,CUST-434,17.63,groceries,15,Wednesday,False,7.6,False
TXN-0000914,CUST-133,22.18,online_retail,21,Friday,False,10.6,False
TXN-0004444,CUST-099,54.33,restaurants,5,Saturday,False,2.7,False
TXN-0002532,CUST-446,237.66,groceries,13,Tuesday,False,1.6,False
TXN-0000073,CUST-394,49.96,electronics,14,Sunday,False,10.2,False
TXN-0004604,CUST-392,34.66,online_retail,23,Thursday,False,6.5,False
TXN-0004041,CUST-237,19.66,online_retail,13,Wednesday,False,4.4,False
TXN-0003964,CUST-298,285.14,fuel,19,Sunday,False,10.2,False
TXN-0002222,CUST-290,55.33,travel,23,Saturday,False,7.8,False
TXN-0000483,CUST-184,15.66,travel,10,Friday,False,1.4,False
TXN-0001737,CUST-447,211.07,travel,2,Thursday,False,1.9,False
TXN-0002238,CUST-055,38.67,travel,13,Thursday,False,3.7,False
TXN-0004420,CUST-219,107.12,online_retail,23,Tuesday,False,4.2,False
TXN-0000367,CUST-176,11.0,electronics,11,Thursday,False,1.2,False
TXN-0001412,CUST-432,57.07,cash_withdrawal,13,Saturday,False,0.2,False
TXN-0003807,CUST-284,70.43,travel,16,Wednesday,True,7.3,False
TXN-0000836,CUST-356,10.79,fuel,20,Monday,False,0.8,False
TXN-0001100,CUST-092,22.08,travel,9,Wednesday,False,0.5,False
TXN-0002077,CUST-172,55.05,electronics,13,Friday,False,6.4,False
TXN-0003524,CUST-060,448.83,fuel,13,Saturday,False,2.2,False
TXN-0002615,CUST-116,8.74,fuel,3,Thursday,False,0.3,False
TXN-0000571,CUST-037,45.2,cash_withdrawal,15,Saturday,False,0.4,False
TXN-0004943,CUST-076,250.9,travel,12,Thursday,True,26.3,True
TXN-0003257,CUST-344,80.01,restaurants,14,Thursday,False,8.9,False
TXN-0002683,CUST-261,200.0,travel,10,Thursday,False,11.8,False
TXN-0001785,CUST-376,12.45,fuel,21,Tuesday,False,4.7,False
TXN-0000808,CUST-293,40.39,electronics,5,Monday,True,20.0,False
TXN-0004506,CUST-414,21.08,cash_withdrawal,14,Friday,True,6.6,False
TXN-0000292,CUST-150,77.21,online_retail,18,Sunday,False,4.1,False
