drug_a_molecular_weight,drug_a_solubility,drug_a_half_life,drug_a_category,drug_b_category,patient_age_group,interaction_severity
789.31,2.01,43.36,antidepressant,antiviral,51-70,none
225.17,44.99,14.5,analgesic,antiviral,31-50,mild
487.95,40.34,49.77,antiviral,antiviral,51-70,none
581.75,16.58,23.29,analgesic,antiviral,70+,mild
479.63,33.38,24.16,antiviral,antidepressant,31-50,mild
396.44,37.43,13.36,anti-inflammatory,antidepressant,31-50,mild
691.92,15.26,15.92,anti-inflammatory,anti-inflammatory,51-70,none
288.91,23.71,64.98,antiviral,antibiotic,51-70,moderate
334.46,33.23,44.97,analgesic,antibiotic,51-70,none
165.88,12.32,34.73,analgesic,cardiovascular,31-50,moderate
559.35,9.8,50.44,cardiovascular,cardiovascular,18-30,none
638.13,38.53,8.57,cardiovascular,antibiotic,18-30,none
772.68,25.95,4.57,antibiotic,analgesic,31-50,mild
792.13,29.81,68.45,cardiovascular,anti-inflammatory,51-70,none
729.81,21.39,65.39,cardiovascular,antibiotic,51-70,none
310.71,31.92,55.37,anti-inflammatory,cardiovascular,51-70,none
328.49,3.97,21.29,antidepressant,antidepressant,31-50,none
300.32,34.73,51.16,analgesic,cardiovascular,31-50,mild
502.7,20.85,15.69,cardiovascular,cardiovascular,70+,none
706.88,38.3,28.01,analgesic,antidepressant,31-50,none
403.49,44.59,60.34,anti-inflammatory,antiviral,51-70,mild
467.35,13.72,35.48,cardiovascular,antidepressant,51-70,none
668.79,36.24,60.68,antibiotic,anti-inflammatory,31-50,moderate
580.95,4.29,31.43,cardiovascular,antibiotic,18-30,none
396.42,10.66,24.21,cardiovascular,antidepressant,51-70,severe
203.24,1.07,39.3,antidepressant,antibiotic,51-70,none
657.8,32.62,54.55,antibiotic,antibiotic,51-70,none
457.81,5.81,68.29,cardiovascular,antiviral,31-50,none
389.78,30.33,69.43,antiviral,analgesic,51-70,none
526.15,46.45,41.88,cardiovascular,cardiovascular,70+,mild
278.91,29.65,59.97,antibiotic,analgesic,51-70,none
673.59,39.83,41.18,analgesic,antidepressant,31-50,moderate
579.99,3.54,46.98,analgesic,cardiovascular,51-70,severe
563.13,41.45,51.22,cardiovascular,antibiotic,51-70,moderate
777.56,13.58,58.38,anti-inflammatory,cardiovascular,31-50,mild
359.5,12.35,67.36,antidepressant,cardiovascular,18-30,mild
452.06,30.56,27.91,analgesic,cardiovascular,70+,moderate
668.59,17.08,63.5,antiviral,antidepressant,31-50,mild
485.81,9.63,18.14,cardiovascular,cardiovascular,31-50,none
612.7,22.46,2.22,antidepressant,antibiotic,31-50,mild
308.15,33.23,27.2,anti-inflammatory,anti-inflammatory,31-50,mild
378.68,22.74,22.77,antibiotic,analgesic,51-70,none
355.11,37.17,68.51,antiviral,antibiotic,18-30,mild
533.23,38.03,43.37,analgesic,antibiotic,31-50,none
384.57,15.18,51.27,antibiotic,antidepressant,18-30,mild
763.66,31.93,54.45,analgesic,analgesic,31-50,mild
455.11,22.08,14.09,analgesic,antidepressant,70+,none
410.46,3.8,45.69,analgesic,antibiotic,18-30,none
515.85,15.26,71.57,analgesic,anti-inflammatory,51-70,none
296.7,26.18,32.99,cardiovascular,antidepressant,70+,mild
793.52,15.34,45.09,anti-inflammatory,antiviral,18-30,none
322.02,4.15,18.03,anti-inflammatory,analgesic,18-30,none
415.54,34.5,34.36,analgesic,antibiotic,31-50,none
196.27,11.75,19.78,antiviral,anti-inflammatory,51-70,moderate
756.88,21.31,39.66,antiviral,antibiotic,70+,severe
257.85,15.45,54.18,anti-inflammatory,antidepressant,31-50,none
454.65,15.27,29.58,antidepressant,anti-inflammatory,31-50,none
728.12,36.75,43.86,analgesic,analgesic,18-30,mild
588.29,43.04,42.69,analgesic,antiviral,51-70,none
263.87,26.0,32.4,antidepressant,antibiotic,70+,none
433.33,40.73,69.8,cardiovascular,antidepressant,31-50,moderate
254.54,20.64,36.18,antiviral,cardiovascular,51-70,none
507.56,22.8,23.33,antidepressant,analgesic,70+,none
792.28,32.92,39.52,cardiovascular,analgesic,18-30,moderate
385.16,37.85,45.4,analgesic,antibiotic,31-50,none
722.55,24.29,3.05,antiviral,anti-inflammatory,51-70,mild
611.36,15.61,1.97,cardiovascular,analgesic,18-30,moderate
765.59,32.42,11.93,antiviral,antidepressant,31-50,none
327.73,41.75,70.6,antibiotic,cardiovascular,31-50,none
480.36,43.98,62.35,antidepressant,cardiovascular,31-50,severe
662.02,13.43,1.18,antiviral,antidepressant,51-70,none
712.42,22.38,35.39,antidepressant,anti-inflammatory,51-70,none
395.19,46.65,62.74,antiviral,antibiotic,31-50,moderate
178.37,37.26,51.07,cardiovascular,cardiovascular,70+,moderate
665.06,32.64,11.8,analgesic,antibiotic,31-50,none
718.22,22.07,38.34,cardiovascular,analgesic,51-70,mild
416.49,32.77,11.96,cardiovascular,antidepressant,31-50,moderate
703.65,42.63,62.01,cardiovascular,antidepressant,51-70,mild
726.84,24.45,39.41,anti-inflammatory,analgesic,18-30,none
297.87,4.61,70.46,antiviral,antiviral,70+,none
438.39,34.73,65.14,analgesic,antidepressant,51-70,none
244.62,26.61,41.18,antibiotic,antibiotic,18-30,mild
546.17,19.19,49.5,cardiovascular,anti-inflammatory,18-30,none
315.96,0.57,58.13,antidepressant,antiviral,31-50,none
198.01,47.27,71.12,antidepressant,antiviral,70+,none
346.38,49.97,61.59,analgesic,antibiotic,31-50,none
383.32,14.86,50.65,analgesic,antiviral,31-50,moderate
655.9,48.68,65.65,antiviral,cardiovascular,51-70,none
736.91,38.81,17.34,antidepressant,antibiotic,51-70,none
618.6,32.99,60.52,antiviral,analgesic,70+,none
570.12,15.52,32.3,anti-inflammatory,antidepressant,51-70,mild
635.86,8.86,10.38,anti-inflammatory,antidepressant,31-50,mild
743.77,41.54,19.24,cardiovascular,antidepressant,51-70,moderate
775.88,7.12,69.62,antiviral,antiviral,51-70,mild
408.32,42.3,40.57,analgesic,cardiovascular,18-30,none
587.34,33.65,42.5,antiviral,antidepressant,18-30,none
301.98,1.35,63.78,anti-inflammatory,antidepressant,70+,none
685.51,45.48,22.46,cardiovascular,analgesic,18-30,moderate
765.07,15.29,35.98,analgesic,antibiotic,70+,mild
585.82,37.18,68.16,cardiovascular,anti-inflammatory,51-70,mild
250.44,20.8,8.03,cardiovascular,anti-inflammatory,31-50,none
390.84,22.22,68.49,antidepressant,analgesic,70+,none
388.77,45.09,46.78,analgesic,cardiovascular,31-50,severe
685.72,4.67,16.06,antiviral,anti-inflammatory,70+,none
182.88,16.74,71.21,anti-inflammatory,antibiotic,18-30,mild
290.37,43.5,24.33,antibiotic,anti-inflammatory,18-30,none
707.96,7.32,10.23,antidepressant,antibiotic,18-30,mild
382.86,39.44,42.81,analgesic,antibiotic,31-50,none
232.39,21.11,9.07,analgesic,cardiovascular,31-50,none
443.8,11.16,44.67,antiviral,antiviral,31-50,mild
447.73,48.2,5.32,cardiovascular,cardiovascular,31-50,moderate
438.32,44.97,23.87,antibiotic,analgesic,18-30,mild
555.81,29.31,51.56,cardiovascular,anti-inflammatory,31-50,none
214.47,35.12,61.55,antiviral,anti-inflammatory,51-70,none
289.76,22.63,17.22,antidepressant,cardiovascular,31-50,moderate
353.14,12.82,68.71,antiviral,cardiovascular,18-30,none
690.65,4.75,7.86,antiviral,antidepressant,51-70,none
515.03,16.55,9.68,antidepressant,antiviral,70+,none
424.91,45.8,4.65,antidepressant,anti-inflammatory,31-50,mild
250.57,24.16,61.16,antidepressant,anti-inflammatory,31-50,none
645.69,28.75,58.31,anti-inflammatory,anti-inflammatory,51-70,none
753.9,41.49,19.99,antibiotic,antidepressant,51-70,none
350.84,17.06,1.43,antibiotic,anti-inflammatory,51-70,moderate
781.68,4.68,38.66,cardiovascular,cardiovascular,31-50,mild
252.32,15.65,24.03,anti-inflammatory,anti-inflammatory,18-30,none
551.59,33.73,20.32,antiviral,cardiovascular,31-50,none
437.33,13.73,54.6,analgesic,antidepressant,31-50,none
466.31,33.39,4.22,cardiovascular,anti-inflammatory,18-30,mild
282.88,47.27,55.48,antidepressant,antidepressant,31-50,moderate
264.2,19.07,50.96,anti-inflammatory,anti-inflammatory,51-70,none
674.03,3.7,62.19,analgesic,cardiovascular,18-30,severe
524.24,28.71,51.37,cardiovascular,antidepressant,18-30,mild
163.56,16.31,57.89,anti-inflammatory,cardiovascular,51-70,none
698.91,12.24,42.81,anti-inflammatory,analgesic,31-50,none
351.68,17.04,24.65,antibiotic,analgesic,31-50,mild
738.85,17.53,52.64,antiviral,antibiotic,18-30,severe
245.19,9.94,43.77,antiviral,analgesic,18-30,none
640.39,38.02,32.87,anti-inflammatory,antiviral,51-70,none
555.94,43.23,45.53,antibiotic,cardiovascular,18-30,none
328.54,2.9,37.02,antidepressant,cardiovascular,31-50,moderate
186.98,41.6,6.45,analgesic,anti-inflammatory,31-50,none
770.25,36.97,3.91,anti-inflammatory,antiviral,18-30,mild
543.25,25.12,69.0,cardiovascular,analgesic,51-70,severe
204.81,32.34,3.78,antiviral,cardiovascular,70+,none
490.64,30.53,26.84,antidepressant,cardiovascular,31-50,mild
663.0,32.4,5.68,analgesic,anti-inflammatory,51-70,moderate
334.7,36.21,47.62,anti-inflammatory,antibiotic,31-50,none
377.38,48.39,50.59,cardiovascular,antibiotic,31-50,none
759.7,15.55,27.74,antidepressant,antibiotic,51-70,mild
595.52,26.37,46.87,cardiovascular,anti-inflammatory,31-50,none
385.69,9.1,16.21,cardiovascular,antibiotic,18-30,none
698.88,5.15,55.73,antiviral,anti-inflammatory,18-30,none
368.9,38.34,10.3,cardiovascular,antibiotic,18-30,mild
675.88,8.36,32.07,cardiovascular,antidepressant,51-70,mild
304.39,22.27,21.23,antiviral,cardiovascular,18-30,none
659.84,45.21,14.78,antiviral,anti-inflammatory,70+,severe
450.09,14.16,28.11,anti-inflammatory,cardiovascular,70+,mild
239.96,12.58,46.52,antidepressant,anti-inflammatory,70+,none
612.41,25.84,9.85,analgesic,antibiotic,31-50,mild
434.36,47.33,16.76,cardiovascular,antidepressant,70+,moderate
419.68,19.88,27.55,cardiovascular,analgesic,31-50,severe
695.46,32.53,57.19,antibiotic,analgesic,31-50,mild
689.35,34.83,10.85,antiviral,cardiovascular,31-50,mild
316.35,41.76,39.97,antiviral,anti-inflammatory,31-50,none
222.27,14.48,22.38,analgesic,antibiotic,31-50,none
222.06,45.27,43.37,analgesic,antiviral,31-50,none
307.26,7.26,31.48,anti-inflammatory,antidepressant,18-30,none
205.65,48.74,5.81,anti-inflammatory,anti-inflammatory,31-50,mild
792.42,27.75,28.72,cardiovascular,analgesic,51-70,severe
160.56,39.45,25.48,antiviral,antiviral,51-70,none
651.48,36.79,24.61,analgesic,antidepressant,31-50,none
656.44,23.28,50.37,antiviral,antibiotic,51-70,moderate
191.02,38.83,33.5,antidepressant,antibiotic,18-30,none
756.69,25.82,71.23,anti-inflammatory,cardiovascular,31-50,mild
639.64,9.64,26.35,analgesic,antiviral,31-50,mild
728.17,37.19,64.52,cardiovascular,antidepressant,70+,severe
472.53,24.93,66.63,anti-inflammatory,antidepressant,51-70,none
541.59,41.13,39.73,antidepressant,analgesic,18-30,none
579.6,15.39,43.79,cardiovascular,antibiotic,51-70,none
715.52,17.69,71.87,antidepressant,antiviral,70+,mild
766.14,3.84,46.26,antidepressant,anti-inflammatory,51-70,none
242.81,30.42,56.47,analgesic,antibiotic,18-30,none
656.03,18.38,28.18,anti-inflammatory,analgesic,51-70,none
391.81,38.18,41.75,anti-inflammatory,antidepressant,31-50,none
572.21,12.56,9.05,antiviral,antibiotic,31-50,mild
320.15,13.09,32.69,anti-inflammatory,antidepressant,51-70,mild
799.11,10.09,10.64,analgesic,cardiovascular,18-30,mild
676.83,48.38,71.05,antiviral,antidepressant,51-70,none
507.5,14.59,22.3,antibiotic,antiviral,51-70,moderate
384.97,11.29,70.94,antibiotic,antibiotic,51-70,none
167.08,27.75,27.19,anti-inflammatory,antibiotic,51-70,moderate
799.74,35.97,38.32,cardiovascular,anti-inflammatory,18-30,mild
782.05,32.15,32.95,antiviral,anti-inflammatory,31-50,moderate
565.87,9.18,69.6,cardiovascular,anti-inflammatory,70+,none
186.02,6.3,11.86,antibiotic,antibiotic,31-50,none
761.59,44.76,61.06,antidepressant,antibiotic,51-70,none
508.05,6.35,22.5,anti-inflammatory,analgesic,31-50,mild
250.23,32.97,52.16,anti-inflammatory,antidepressant,51-70,moderate
516.35,41.28,3.01,analgesic,antiviral,51-70,none
521.89,30.94,3.15,antiviral,anti-inflammatory,31-50,mild
771.82,24.2,58.13,antiviral,cardiovascular,31-50,mild
435.74,24.26,15.49,anti-inflammatory,antibiotic,31-50,mild
616.94,36.74,62.12,cardiovascular,antibiotic,51-70,none
307.13,6.21,32.92,antibiotic,analgesic,18-30,none
764.5,43.22,30.69,antibiotic,antidepressant,70+,mild
253.57,49.8,34.14,antidepressant,cardiovascular,18-30,mild
764.4,25.32,69.63,antibiotic,anti-inflammatory,31-50,moderate
723.52,32.75,34.41,anti-inflammatory,analgesic,51-70,mild
430.1,44.13,52.65,cardiovascular,antidepressant,18-30,severe
385.64,14.5,28.43,cardiovascular,anti-inflammatory,31-50,none
792.91,34.05,9.44,analgesic,cardiovascular,31-50,severe
387.64,7.3,43.77,cardiovascular,anti-inflammatory,18-30,none
175.29,35.71,58.08,anti-inflammatory,cardiovascular,18-30,none
755.39,15.99,28.9,anti-inflammatory,antiviral,51-70,none
535.92,25.42,37.19,cardiovascular,antiviral,31-50,none
365.31,5.57,30.57,antidepressant,antiviral,70+,none
559.02,29.89,19.85,antiviral,anti-inflammatory,31-50,none
260.83,31.49,45.0,cardiovascular,antibiotic,51-70,none
307.43,28.67,50.74,antibiotic,analgesic,31-50,none
282.53,25.14,44.41,cardiovascular,antiviral,51-70,none
608.75,25.98,40.82,antiviral,cardiovascular,31-50,none
742.88,17.18,26.15,antiviral,antiviral,51-70,mild
600.65,30.54,14.65,antibiotic,antidepressant,31-50,mild
343.45,14.52,15.72,antiviral,cardiovascular,31-50,severe
376.72,46.69,57.47,antidepressant,antidepressant,18-30,none
787.1,40.94,68.78,antibiotic,antidepressant,18-30,none
770.95,4.04,66.6,antiviral,antidepressant,51-70,mild
326.24,28.14,20.29,analgesic,anti-inflammatory,51-70,moderate
305.53,2.63,65.27,antibiotic,antiviral,18-30,moderate
457.06,34.09,10.76,anti-inflammatory,antibiotic,31-50,moderate
757.77,43.93,34.9,antibiotic,antidepressant,31-50,none
208.15,28.75,39.0,antiviral,analgesic,70+,none
263.79,44.12,13.48,analgesic,cardiovascular,51-70,moderate
716.99,14.54,3.66,antidepressant,anti-inflammatory,51-70,moderate
753.5,16.82,33.26,antiviral,anti-inflammatory,31-50,mild
477.74,13.71,58.43,antidepressant,antibiotic,51-70,none
571.39,35.96,2.0,antidepressant,antidepressant,31-50,none
706.5,44.86,59.72,anti-inflammatory,antidepressant,18-30,none
585.02,9.32,10.98,antidepressant,antibiotic,18-30,none
323.55,16.55,42.35,anti-inflammatory,analgesic,31-50,mild
383.71,11.89,48.41,cardiovascular,antidepressant,18-30,mild
727.07,38.52,50.01,antiviral,antidepressant,31-50,none
293.55,47.87,34.95,cardiovascular,antiviral,70+,none
743.32,37.89,57.94,antibiotic,antibiotic,51-70,moderate
537.28,39.39,38.31,anti-inflammatory,antiviral,31-50,none
688.7,45.15,15.35,anti-inflammatory,antibiotic,18-30,mild
705.42,22.15,49.3,antiviral,anti-inflammatory,31-50,mild
186.16,6.68,30.5,anti-inflammatory,analgesic,31-50,none
587.3,15.48,2.55,antidepressant,analgesic,51-70,none
373.94,3.28,71.58,analgesic,cardiovascular,18-30,mild
415.76,38.47,55.37,antiviral,antiviral,70+,none
441.55,45.86,27.8,analgesic,antiviral,70+,moderate
718.46,6.74,62.08,analgesic,antibiotic,70+,none
786.17,41.76,54.69,antidepressant,cardiovascular,51-70,severe
503.89,26.64,59.46,antibiotic,cardiovascular,31-50,none
621.27,5.73,58.47,cardiovascular,anti-inflammatory,51-70,severe
724.44,0.88,15.63,analgesic,anti-inflammatory,18-30,none
181.64,37.05,29.56,antibiotic,anti-inflammatory,18-30,none
711.42,2.92,36.78,antidepressant,antibiotic,51-70,none
538.65,33.66,23.77,antidepressant,antibiotic,70+,none
488.81,20.74,20.54,anti-inflammatory,anti-inflammatory,70+,moderate
427.68,24.83,70.03,antiviral,antiviral,31-50,none
490.9,34.85,29.99,antidepressant,cardiovascular,18-30,mild
296.47,42.89,11.25,cardiovascular,analgesic,31-50,mild
779.06,27.91,10.52,antibiotic,antidepressant,18-30,none
700.64,4.71,52.45,antibiotic,analgesic,31-50,none
587.89,30.19,63.03,antibiotic,anti-inflammatory,51-70,none
715.16,16.71,68.95,analgesic,antibiotic,70+,none
775.35,5.95,71.97,cardiovascular,antibiotic,51-70,none
305.57,16.15,21.1,cardiovascular,anti-inflammatory,51-70,none
350.47,18.05,63.68,cardiovascular,analgesic,51-70,mild
358.15,10.24,23.22,analgesic,anti-inflammatory,70+,none
631.81,0.91,40.29,anti-inflammatory,anti-inflammatory,51-70,none
299.51,28.53,18.45,anti-inflammatory,antiviral,70+,mild
369.42,38.19,35.69,antiviral,antiviral,51-70,none
378.91,7.08,39.8,antibiotic,anti-inflammatory,70+,moderate
772.2,26.24,60.57,analgesic,antiviral,18-30,mild
559.96,3.49,11.72,antibiotic,anti-inflammatory,31-50,mild
189.29,31.92,67.31,cardiovascular,antiviral,31-50,mild
157.7,26.52,20.51,antidepressant,analgesic,31-50,none
603.61,21.59,67.72,antibiotic,analgesic,70+,none
552.86,12.7,26.17,cardiovascular,analgesic,31-50,mild
413.92,28.29,71.31,antibiotic,antidepressant,51-70,mild
707.84,38.0,7.64,cardiovascular,cardiovascular,31-50,none
186.47,0.57,13.17,cardiovascular,cardiovascular,51-70,none
783.0,44.75,66.26,antibiotic,antibiotic,70+,severe
599.99,28.38,20.25,analgesic,antiviral,70+,moderate
171.39,46.45,23.33,antibiotic,anti-inflammatory,18-30,none
683.45,41.06,66.95,antidepressant,antibiotic,31-50,none
590.07,27.07,28.25,antiviral,antibiotic,51-70,mild
598.05,4.01,53.93,antidepressant,analgesic,18-30,none
543.36,30.73,43.29,antidepressant,analgesic,51-70,mild
659.31,22.58,17.2,anti-inflammatory,cardiovascular,31-50,none
205.7,30.97,57.66,antiviral,analgesic,18-30,none
250.24,35.61,46.01,antiviral,cardiovascular,31-50,none
350.37,18.06,20.15,antibiotic,analgesic,18-30,none
441.75,27.78,29.97,analgesic,analgesic,31-50,mild
360.88,19.32,21.72,cardiovascular,analgesic,51-70,moderate
513.7,49.64,18.23,anti-inflammatory,antibiotic,51-70,moderate
324.46,7.38,12.87,antidepressant,cardiovascular,31-50,severe
658.73,18.12,68.04,antiviral,antiviral,31-50,none
238.07,0.44,29.09,anti-inflammatory,cardiovascular,51-70,none
364.2,16.8,58.9,antiviral,anti-inflammatory,18-30,none
280.55,15.78,69.48,antidepressant,antidepressant,51-70,moderate
561.39,48.39,56.52,antidepressant,cardiovascular,31-50,moderate
755.84,10.07,71.81,antibiotic,antiviral,51-70,mild
167.5,36.39,67.95,antibiotic,cardiovascular,51-70,none
701.06,39.77,48.78,antibiotic,antiviral,31-50,moderate
314.24,7.79,31.04,cardiovascular,analgesic,31-50,none
497.34,46.18,62.74,cardiovascular,anti-inflammatory,18-30,none
779.48,35.11,58.67,anti-inflammatory,antiviral,70+,mild
582.05,8.4,44.5,anti-inflammatory,antiviral,51-70,mild
409.75,37.66,69.57,cardiovascular,analgesic,18-30,mild
487.22,29.07,41.84,cardiovascular,antidepressant,31-50,severe
652.02,29.47,36.53,antidepressant,analgesic,31-50,none
205.81,41.58,52.84,antidepressant,antidepressant,31-50,moderate
659.78,26.1,25.73,analgesic,cardiovascular,51-70,mild
179.04,35.57,2.6,antidepressant,antiviral,18-30,none
670.03,46.5,53.57,anti-inflammatory,antibiotic,31-50,mild
450.34,39.91,45.71,antibiotic,antiviral,51-70,severe
407.13,36.9,63.7,cardiovascular,anti-inflammatory,31-50,mild
330.92,35.22,57.52,anti-inflammatory,analgesic,51-70,none
498.98,18.35,14.99,analgesic,antidepressant,51-70,none
353.71,19.49,28.87,analgesic,antidepressant,31-50,none
447.61,8.71,48.82,antidepressant,anti-inflammatory,31-50,none
305.07,5.94,27.5,antibiotic,anti-inflammatory,31-50,none
537.68,28.78,31.04,cardiovascular,antiviral,31-50,moderate
262.6,8.43,21.51,antibiotic,antidepressant,51-70,none
552.62,43.29,68.58,cardiovascular,antibiotic,18-30,none
574.5,20.52,35.91,antiviral,cardiovascular,31-50,mild
203.74,1.64,55.04,antidepressant,analgesic,31-50,none
447.26,37.15,55.38,anti-inflammatory,anti-inflammatory,18-30,none
224.23,38.78,59.45,antidepressant,anti-inflammatory,51-70,mild
505.13,49.49,8.27,antiviral,antibiotic,31-50,moderate
799.55,22.54,25.75,analgesic,cardiovascular,70+,severe
286.42,36.91,49.93,antiviral,anti-inflammatory,51-70,mild
257.89,7.05,15.67,antibiotic,analgesic,31-50,none
259.45,48.95,21.78,anti-inflammatory,antidepressant,70+,none
484.37,45.02,58.88,antibiotic,cardiovascular,70+,moderate
232.48,43.32,18.73,antiviral,antidepressant,51-70,none
644.96,33.84,35.75,anti-inflammatory,antiviral,31-50,none
561.86,44.02,7.61,anti-inflammatory,antiviral,31-50,mild
758.62,18.52,68.47,antidepressant,anti-inflammatory,18-30,none
625.11,22.98,48.15,antidepressant,analgesic,51-70,none
408.52,48.41,59.56,cardiovascular,antidepressant,31-50,moderate
234.89,42.64,56.97,antiviral,analgesic,18-30,mild
557.02,41.85,2.16,antibiotic,cardiovascular,31-50,mild
797.2,45.48,63.63,antidepressant,antibiotic,70+,mild
719.79,4.76,26.59,analgesic,antidepressant,51-70,none
556.64,36.33,54.62,cardiovascular,antiviral,18-30,none
211.87,10.75,6.53,anti-inflammatory,antibiotic,31-50,mild
373.32,6.12,62.08,antiviral,antibiotic,31-50,moderate
298.82,4.56,58.22,analgesic,antidepressant,31-50,none
678.69,43.74,46.55,antiviral,antibiotic,18-30,severe
516.14,30.55,12.65,antidepressant,antiviral,18-30,none
550.45,22.17,16.42,analgesic,antibiotic,51-70,none
533.22,19.26,69.39,antidepressant,antibiotic,18-30,none
540.65,36.09,21.23,antiviral,analgesic,51-70,none
577.96,15.15,37.76,anti-inflammatory,antibiotic,51-70,mild
733.64,47.74,36.14,analgesic,antibiotic,31-50,mild
536.05,26.46,70.42,antidepressant,antidepressant,18-30,mild
387.52,34.18,55.15,analgesic,analgesic,31-50,none
158.97,10.87,66.5,cardiovascular,anti-inflammatory,31-50,none
425.32,20.17,46.48,anti-inflammatory,anti-inflammatory,18-30,none
204.34,4.04,66.39,antibiotic,anti-inflammatory,31-50,none
572.4,32.19,23.02,cardiovascular,antiviral,70+,none
305.11,12.3,66.65,analgesic,cardiovascular,51-70,severe
577.73,8.86,1.9,antibiotic,antiviral,18-30,moderate
472.67,17.4,37.72,antiviral,antidepressant,18-30,mild
324.7,44.33,55.77,analgesic,antidepressant,51-70,mild
326.79,3.29,51.57,anti-inflammatory,antiviral,18-30,none
474.75,28.39,27.11,antidepressant,analgesic,70+,mild
588.18,5.86,53.6,analgesic,analgesic,70+,mild
386.58,46.02,13.71,analgesic,anti-inflammatory,51-70,none
614.11,32.82,16.94,antibiotic,cardiovascular,70+,none
521.5,6.06,48.81,analgesic,antibiotic,18-30,moderate
485.25,2.39,29.47,cardiovascular,antidepressant,51-70,moderate
446.89,18.51,21.7,antidepressant,antiviral,51-70,none
451.55,29.63,36.03,antibiotic,antiviral,70+,moderate
154.15,20.56,17.54,antidepressant,antiviral,51-70,none
720.18,47.55,1.1,antiviral,cardiovascular,51-70,none
494.38,11.98,35.93,analgesic,antibiotic,51-70,none
210.47,46.07,64.71,anti-inflammatory,cardiovascular,51-70,none
205.19,4.87,10.48,cardiovascular,analgesic,31-50,severe
190.48,33.16,10.28,antidepressant,antidepressant,70+,mild
690.73,16.38,33.15,antibiotic,analgesic,70+,none
238.47,38.53,8.74,analgesic,antibiotic,31-50,none
382.89,38.54,33.09,cardiovascular,antidepressant,70+,severe
208.77,40.4,22.6,antiviral,antiviral,51-70,none
